"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Gratification of Lust","9","0","","9","3.42"
"Peeping Tom","2","0","","2",".76"
"Rape","25","0","","25","9.51"
"Rape with a Weapon","1","0","","1",".38"
"Sex Assault","5","0","","5","1.90"
"Sex Offense","1","0","","1",".38"
"Sexual Battery","76","4","","80","30.42"
"Statutory Rape","30","0","","30","11.41"
"Unlawful Touching of Child","21","0","","21","7.98"
"Violation of Sex Offender Registry Law","1","0","","1",".38"
