"","","","Drug Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","42","2.75","Montgomery","21","1.38"
"","Attala","29","1.90","Panola","75","4.91"
"","Benton","24","1.57","Pontotoc","74","4.85"
"","Bolivar","18","1.18","Prentiss","59","3.86"
"","Calhoun","39","2.55","Quitman","16","1.05"
"","Carroll","10",".65","Sunflower","25","1.64"
"","Chickasaw","59","3.86","Tallahatchie","27","1.77"
"Northern","Choctaw","17","1.11","Tate","16","1.05"
"Counties","","","","","",""
"","Coahoma","50","3.27","Tippah","52","3.41"
"","Desoto","130","8.51","Tishomingo","6",".39"
"","Grenada","59","3.86","Tunica","27","1.77"
"","Itawamba","31","2.03","Union","72","4.72"
"","Lafayette","44","2.88","Washington","48","3.14"
"","Lee","199","13.03","Webster","16","1.05"
"","Leflore","49","3.21","Winston","16","1.05"
"","Marshall","83","5.44","Yalobusha","16","1.05"
"","Monroe","78","5.11","TOTAL","1,527","34.92"
