"MALE","BLACK","WHITE","HISPANIC","OTHER","UNKNOWN","TOTAL"
"14","1","0","0","1","0","2"
"15","5","0","0","0","0","5"
"16","11","3","0","0","0","14"
"17","46","4","0","0","0","50"
"18 - 19","399","119","5","3","1","527"
"20 - 29","5,895","1,964","72","27","6","7,964"
"30 - 39","4,803","1,904","67","19","0","6,793"
"40 - 49","2,792","1,599","36","10","1","4,438"
"50 - 59","1,287","729","5","2","0","2,023"
"60 - 69","177","202","4","0","0","383"
"70 - 79","33","48","1","0","0","82"
"80+","5","6","0","0","0","11"
"Verification Pending","3","4","0","1","0","8"
"TOTAL","15,457","6,582","190","63","8","22,300"
