"FACILITY","MAR","APR","MAY","JUN"
"Mississippi State Penitentiary","4,108","4,115","4,108","4,104"
"Central Mississippi Correctional Facility","3,533","3,495","3,444","3,315"
"South Mississippi Correctional Institution","3,101","3,101","3,092","3,030"
"County Jails","1,702","1,709","1,663","1,539"
"Community Work Centers","1,758","1,672","1,558","1,601"
"County/Regional Facilities","2,924","2,928","2,923","2,911"
"Private Prisons","5,444","5,483","5,491","5,491"
"Restitution Centers","11","12","10","10"
"Governor's Mansion","6","6","6","6"
"*E-CODE","29","21","24","24"
"TOTAL","22,616","22,542","22,319","22,031"
"ACTUAL CAPACITY","24,203","24,193","24,178","23,984"
