"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","10","5.10","Lincoln","10","5.10"
"","Amite","3","1.53","Madison","20","10.20"
"","Claiborne","0",".00","Pike","27","13.78"
"","Copiah","9","4.59","Rankin","32","16.33"
"Central","","","","","",""
"","Franklin","1",".51","Sharkey","1",".51"
"Counties","","","","","",""
"","Hinds","49","25.00","Walthall","7","3.57"
"","Holmes","2","1.02","Warren","10","5.10"
"","Humphreys","1",".51","Wilkinson","2","1.02"
"","Issaquena","1",".51","Yazoo","8","4.08"
"","Jefferson","3","1.53","TOTAL","196","20.68"
