"","Verification Pending 
2",".47"
"","TOTAL 
 
428","100.00"
"","Northern County with highest number convictions","Desoto 
21"
"","Central County with highest number convictions","Hinds 
31"
"","Southern County with highest number convictions","Harrison 
23"
"","","Benton, Quitman, Tate,"
"","Northern Counties with lowest number convictions","1"
"RECAP","","Tunica, Webster"
"","","Claiborne, Franklin,"
"","Central Counties with lowest number convictions","Holmes, Jefferson, 
1"
"","","Walthall"
"","","Clarke, Covington,"
"","","Greene, Lawrence, Ne-"
"","Southern Counties with lowest number convictions","1"
"","","shoba Perry, Simpson,"
"","","Smith"
