"MALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Burglary","883","520","9","6","1,418"
"Homicide/Manslaughter","162","61","3","0","226"
"Property","1,131","920","19","9","2,079"
"Possession of Drugs","1,374","820","30","5","2,229"
"Robbery","384","79","2","1","466"
"Sale of Drugs","1,304","238","2","1","1,545"
"Sex Offense","119","137","2","1","259"
"Violent","334","136","3","3","476"
"TOTAL","5,691","2,911","70","26","8,698"
