"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"7,768 
  
1,056 
  
8,824","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","2,589","580","","3,169","35.92"
"Black","5,058","463","","5,521","62.58"
"Hispanic","88","6","","94","1.07"
"Other","30","7","","37",".42"
"Unknown Race","2","0","","2",".02"
"","","","","",""
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"13","1","0","","1",".01"
"15","4","0","","4",".05"
"16","13","1","","14",".14"
"17","59","0","","59",".67"
"18 - 19","486","20","","506","5.74"
"20-29","3,295","367","","3,662","41.51"
"30-39","2,064","328","","2,392","27.11"
"40-49","1,302","264","","1,566","17.75"
"50-59","478","72","","550","6.23"
"60-69","57","4","","61",".69"
"70 - 79","8","0","","8",".09"
"80+","1","0","","1",".01"
"","","","","",""
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","1,289","72","","1,361","15.42"
"Homicide/Manslaughter","192","23","","215","2.43"
"Property","2,064","477","","2,541","28.80"
"Possession of Drugs","1,866","295","","2,161","24.49"
"Robbery","479","29","","508","5.76"
"Sale of Drugs","954","112","","1,066","12.08"
"Sex Offense","424","4","","428","4.85"
"Violent","500","44","","544","6.17"
