"COUNTY","OFFENDERS","%"
"Alcorn","13","3.94"
"Montgomery","6","1.82"
"Attala","12","3.64"
"Panola","8","2.42"
"Benton","3",".91"
"Pontotoc","21","6.36"
"Bolivar","10","3.03"
"Prentiss","6","1.82"
"Calhoun","7","2.12"
"Quitman","1",".30"
"Carroll","3",".91"
"Sunflower","10","3.03"
"Chickasaw","17","5.15"
"Tallahatchie","5","1.52"
"Choctaw","7","2.12"
"Tate","10","3.03"
"Coahoma","10","3.03"
"Tippah","6","1.82"
"Desoto","36","10.91"
"Tishomingo","3",".91"
"Grenada","12","3.64"
"Tunica","9","2.73"
"Itawamba","9","2.73"
"Union","16","4.85"
"Lafayette","9","2.73"
"Washington","12","3.64"
"Lee","29","8.79"
"Webster","4","1.21"
"Leflore","3",".91"
"Winston","4","1.21"
"Marshall","12","3.64"
"Yalobusha","1",".30"
"Monroe","16","4.85"
"TOTAL","330","34.81"
