"COUNTY","OFFENDERS","%"
"Clarke","3","2.44"
"Lawrence","0",".00"
"Clay","2","1.63"
"Leake","0",".00"
"Covington","0",".00"
"Lowndes","8","6.50"
"Forrest","8","6.50"
"Marion","1",".81"
"George","4","3.25"
"Neshoba","2","1.63"
"Greene","0",".00"
"Newton","1",".81"
"Hancock","3","2.44"
"Noxubee","1",".81"
"Harrison","30","24.39"
"Oktibbeha","4","3.25"
"Jackson","13","10.57"
"Pearl River","4","3.25"
"Jasper","0",".00"
"Perry","1",".81"
"Jeff Davis","0",".00"
"Scott","3","2.44"
"Jones","5","4.07"
"Simpson","2","1.63"
"Kemper","1",".81"
"Smith","1",".81"
"Lamar","6","4.88"
"Stone","2","1.63"
"Lauderdale","13","10.57"
"Wayne","5","4.07"
"TOTAL","123","46.77"
