"","","","Offenders Age 50 and Over","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","4","1.49","Lawrence","2",".70"
"","Clay","10","3.73","Leake","2",".75"
"","Covington","1",".37","Lowndes","14","5.22"
"","Forrest","29","10.82","Marion","6","2.24"
"","George","5","1.87","Neshoba","4","1.49"
"","Greene","3","1.12","Newton","4","1.49"
"","Hancock","7","2.61","Noxubee","0",".00"
"Southern","","","","","",""
"","Harrison","69","25.75","Oktibbeha","17","6.34"
"Counties","","","","","",""
"","Jackson","22","8.21","Pearl River","6","2.24"
"","Jasper","5","1.87","Perry","2",".75"
"","Jeff Davis","3","1.12","Scott","2",".75"
"","Jones","16","5.97","Simpson","1",".37"
"","Kemper","0",".00","Smith","4","1.49"
"","Lamar","6","2.24","Stone","3","1.12"
"","Lauderdale","18","6.72","Wayne","3","1.12"
"","","","","TOTAL","268","43.23"
