"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","2,807","154","2,961","12.05"
"Homicide/Manslaughter","2,394","195","2,589","10.54"
"Property","3,195","773","3,968","16.15"
"Possession of Drugs","3,644","513","4,157","16.92"
"Robbery","2,819","122","2,941","11.97"
"Sale of Drugs","3,445","358","3,803","15.48"
"Sex Offense","2,374","36","2,410","9.81"
"Violent","1,622","121","1,743","7.09"
"TOTAL","22,300","2,272","24,572","100.00"
