"OFFENSE 
AVERAGE AGE AT TIME OF OFFENSE","",""
"Child Molestation","36.21",""
"Child Pornography","51.54",""
"Entice Child for Indecent Purposes","29.76",""
"Exploitation of Child","40.42",""
"Failure to Register as a Sex Offender","41.38",""
"Fondling","39.16",""
"Fondling a Child","39.36",""
"Forcible Sexual Intercourse","40.88",""
"Gratification of Lust","33.90",""
"Peeping Tom","31.98",""
"Rape","33.25",""
"Sexual Offense","52.21",""
"Sexual Battery","31.80",""
"Statutory Rape","28.82",""
"Unlawful Touching of Child","41.93",""
"Violation of Sex Offender Registry","30.95",""
