"COUNTY","OFFENDERS","%"
"Alcorn","4","1.85"
"Montgomery","1",".46"
"Attala","9","4.17"
"Panola","7","3.24"
"Benton","0",".00"
"Pontotoc","9","4.17"
"Bolivar","5","2.31"
"Prentiss","2",".93"
"Calhoun","2",".93"
"Quitman","2",".93"
"Carroll","1",".46"
"Sunflower","4","1.85"
"Chickasaw","12","5.56"
"Tallahatchie","3","1.39"
"Choctaw","3","1.39"
"Tate","7","3.24"
"Coahoma","7","3.24"
"Tippah","5","2.30"
"Desoto","27","12.50"
"Tishomingo","1",".46"
"Grenada","7","3.24"
"Tunica","8","3.70"
"Itawamba","2",".93"
"Union","10","4.63"
"Lafayette","12","5.56"
"Washington","14","6.48"
"Lee","26","12.04"
"Webster","3","1.39"
"Leflore","2",".93"
"Winston","4","1.85"
"Marshall","13","6.02"
"Yalobusha","1",".46"
"Monroe","3","1.39"
"TOTAL","216","34.84"
