"COUNTY","OFFENDERS","%"
"Alcorn","1","2.94"
"Montgomery","1","2.94"
"Attala","0",".00"
"Panola","1","2.94"
"Benton","1","2.94"
"Pontotoc","5","14.71"
"Bolivar","0",".00"
"Prentiss","0",".00"
"Calhoun","2","5.88"
"Quitman","0",".00"
"Carroll","0",".00"
"Sunflower","3","8.82"
"Chickasaw","0",".00"
"Tallahatchie","1","2.94"
"Choctaw","0",".00"
"Tate","1","2.94"
"Coahoma","4","11.76"
"Tippah","1","2.94"
"Desoto","3","8.82"
"Tishomingo","0",".00"
"Grenada","3","8.82"
"Tunica","0",".00"
"Itawamba","0",".00"
"Union","3","8.82"
"Lafayette","0",".00"
"Washington","1","2.94"
"Lee","1","2.94"
"Webster","0",".00"
"Leflore","1","2.94"
"Winston","0",".00"
"Marshall","0",".00"
"Yalobusha","0",".00"
"Monroe","1","2.94"
"TOTAL","34","43.59"
