"Offenders Supervised in Mississippi for Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","474","","1,304","","1,778"
"AUG","","491","","1,314","","1,805"
"SEP","","503","","1,300","","1,803"
"OCT","","492","","1,288","","1,780"
"NOV","","487","","1,277","","1,764"
"DEC","","472","","1,254","","1,726"
"JAN","","470","","1,252","","1,722"
"FEB","","443","","1,279","","1,722"
"MAR","","460","","1,308","","1,768"
"APR","","481","","1,355","","1,836"
"MAY","","488","","1,391","","1,879"
"JUN","","498","","1,391","","1,889"
