"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","28","3.82","Lincoln","43","5.87"
"","Amite","5",".68","Madison","108","14.74"
"","Claiborne","1",".14","Pike","115","15.69"
"","Copiah","33","4.50","Rankin","137","18.69"
"Central","","","","","",""
"","Franklin","7",".95","Sharkey","8","1.09"
"Counties","","","","","",""
"","Hinds","140","19.10","Walthall","31","4.23"
"","Holmes","10","1.36","Warren","44","6.00"
"","Humphreys","5",".68","Wilkinson","0",".00"
"","Issaquena","0",".00","Yazoo","17","2.32"
"","Jefferson","1",".14","TOTAL","733","22.71"
