"MALE","BLACK","WHTIE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","64","47","0","1","112",".50"
"1 - 2 Years","1,095","670","25","8","1,798","8.07"
"3 - 5 Years","2,897","1,445","35","16","4,393","19.71"
"6 - 10 Years","4,122","1,727","54","14","5,917","26.54"
"11 - 20 Years","3,503","1,255","36","11","4,805","21.55"
"21 -30 Years","937","270","12","2","1,221","5.48"
"Greater Than 30 Years","573","134","5","2","714","3.20"
"Life","1,317","464","7","4","1,792","8.04"
"Death","31","25","0","1","57",".26"
"Verification Pending","918","545","16","12","1,491","6.68"
"TOTAL","15,457","6,582","190","71","22,300","100.00"
