date,probation,compact_probation,nonadjudicated,post_release,TVC_probation,probation_total,parole,compact_parole,suspension,TVC_parole,parole_total,ISP_court,ISP_prison,ISP,earned_release_supervision,medical_release,FTR_monitoring,conditional_release,TVC,RRP,transitional_housing,community_inmate_total,total
2001-04-01,10987,1069,1872,1484,,15412,1239,418,9,,1666,825,390,,887,2,,,,,,2104,19182
2001-06-01,11148,1088,1887,1549,,15672,1247,418,9,,1674,815,388,,936,2,,,,,,2141,19487
2001-07-01,11162,1083,1897,1607,,15749,1212,424,9,,1645,830,373,,922,1,,,,,,2126,19520
2001-08-01,11041,1100,1870,1677,,15688,1168,432,8,,1608,861,319,,971,1,,,,,,2152,19448
2001-09-04,11018,1124,1912,1742,,15796,1196,434,8,,1638,892,333,,1013,1,,,,,,2239,19673
2001-10-01,10938,1131,1902,1820,,15791,1233,433,8,,1674,937,306,,983,1,,,,,,2227,19692
2001-11-01,10913,1120,1901,1877,,15811,1226,436,8,,1670,963,281,,983,1,,,,,,2228,19709
2001-12-01,10766,1117,1890,1956,,15729,1246,437,8,,1691,997,301,,1045,0,,,,,,2343,19763
2002-01-01,10636,1100,1861,1980,,15577,1304,444,8,,1756,1020,299,,1042,1,,,,,,2362,19695
2002-02-01,10718,1059,1862,2053,,15692,1315,424,8,,1747,1032,303,,981,1,,,,,,2317,19756
2002-03-01,10762,1047,1908,2114,,15831,1333,424,8,,1765,1031,322,,991,0,,,,,,2344,19940
2002-04-01,10552,1052,1860,2108,,15572,1354,427,8,,1789,1103,304,,1027,0,,,,,,2434,19795
2002-05-01,10567,1033,1912,2177,,15689,1358,435,8,,1801,1150,307,,1040,0,,,,,,2497,19987
2002-06-01,10345,1036,1879,2206,,15466,1422,429,8,,1859,1178,299,,991,0,,,,,,2468,19793
2002-07-01,10106,1037,1869,2212,,15224,1449,404,8,,1861,1168,264,,1050,0,,,,,,2482,19567
2002-08-01,10217,1034,1930,2271,,15452,1474,395,8,,1877,1183,270,,1046,0,,,,,,2499,19828
2002-09-01,10311,1040,2019,2434,,15804,1480,395,8,,1883,1168,283,,1080,0,,,,,,2531,20218
2002-10-01,10614,1017,2142,2513,,16286,1479,385,8,,1872,1192,289,,1116,0,,,,,,2597,20755
2002-11-01,10575,1024,2155,2505,,16259,1460,391,7,,1858,1174,268,,1106,0,,,,,,2548,20665
2002-12-01,10673,1042,2190,2459,,16364,1429,392,7,,1828,1159,273,,1050,0,,,,,,2482,20674
2003-01-01,10785,1043,2201,2604,,16633,1411,398,7,,1816,1170,272,,1047,0,,,,,,2489,20938
2003-02-01,10827,1043,2215,2784,,16869,1372,395,7,,1774,1151,279,,1038,0,,,,,,2468,21111
2003-03-01,10924,1073,2314,2819,,17130,1366,387,7,,1760,1187,281,,1094,0,,,,,,2562,21452
2003-04-01,10885,1061,2320,2845,,17111,1344,393,8,,1745,1176,296,,1117,0,,,,,,2589,21445
2003-05-01,10826,1073,2293,2835,,17027,1346,413,9,,1768,1117,294,,1171,0,,,,,,2582,21377
2003-06-01,10864,1080,2330,2893,,17167,1373,399,9,,1781,1065,283,,1128,0,,,,,,2476,21424
2003-07-01,11251,1082,2370,3217,,17920,1345,405,7,,1757,1071,283,,1206,0,,,,,,2560,22237
2003-08-01,11200,1080,2288,3643,,18211,1366,401,10,,1777,1050,319,,1182,0,,,,,,2551,22539
2003-09-01,11408,1074,2296,3817,,18595,1378,409,10,,1797,1053,320,,1247,0,,,,,,2620,23012
2003-10-01,11614,1057,2336,3977,,18984,1375,404,10,,1789,1037,353,,1257,0,,,,,,2647,23420
2003-11-01,11459,1054,2321,4151,,18985,1399,408,6,,1813,1029,343,,1240,0,,,,,,2612,23410
2003-12-01,11472,1064,2327,4253,,19116,1391,419,6,,1816,1010,301,,1285,0,,,,,,2596,23528
2004-03-01,18384,,,,,18384,1910,,,,1910,283,276,,1256,0,,,,,,1815,22109
2004-04-01,18744,1051,425,885,,21105,1934,405,0,,2339,1979,581,,1224,0,,,,,,3784,27228
2004-05-01,19005,1061,541,1150,,21757,1927,406,0,,2333,1998,570,,1315,0,,,,,,3883,27973
2004-06-01,19262,1062,612,1300,,22236,1935,409,0,,2344,2036,599,,1297,0,,,,,,3932,28512
2004-07-06,16234,1024,706,1686,,19650,1564,394,0,,1958,,,1306,1274,0,,,,,,3185,24793
2004-08-02,16272,1018,722,1765,,19777,1601,390,0,,1991,928,374,,1270,0,,,,,,2572,24340
2004-09-01,16208,1055,794,2082,,20139,1642,390,0,,2032,575,731,,1362,0,,,,,,2668,24839
2004-10-01,16390,1083,871,2278,,20622,1656,411,0,,2067,909,361,,1431,3,,,,,,2704,25393
2004-11-01,16518,1062,928,2389,,20897,1684,414,0,,2098,899,359,,1566,3,,,,,,2827,25822
2004-12-01,16632,1057,996,2466,,21151,1725,411,0,,2136,950,385,,1705,3,,,,,,3043,26330
2005-01-04,16701,1061,1071,2603,,21436,1758,416,0,,2174,1003,403,,1748,4,,,,,,3158,26768
2005-02-01,16792,1067,1089,2758,,21706,1814,416,0,,2230,1016,410,,1711,5,,,,,,3142,27078
2005-03-01,16827,1075,1158,2851,,21911,1871,422,0,,2293,1050,401,,1778,5,,,,,,3234,27438
2005-04-01,16904,1100,1230,2993,,22227,1926,436,0,,2362,1108,393,,1880,5,,,,,,3386,27975
2005-05-01,16893,1138,1254,3150,,22435,1957,455,0,,2412,1147,389,,1887,7,,,,,,3430,28277
2005-06-01,17050,1135,1305,3248,,22738,1981,466,0,,2447,1177,358,,1863,7,,,,,,3405,28590
2005-07-01,17516,1184,1454,3350,,23504,1953,475,0,,2428,1247,395,,1881,7,,,,,,3530,29462
2005-08-01,17712,1211,1569,3488,,23980,1977,502,0,,2479,1282,379,,1877,7,,,,,,3545,30004
2005-09-06,17879,1243,1657,3609,,24388,1984,515,0,,2499,1288,365,,1883,8,,,,,,3544,30431
2005-10-01,17904,1235,1699,3808,,24646,1986,507,0,,2493,1311,362,,1857,8,,,,,,3538,30677
2005-11-01,18008,1246,1770,4037,,25061,1970,511,0,,2481,1308,349,,1832,8,,,,,,3497,31039
2005-12-01,17809,1249,1791,4282,,25131,1988,509,0,,2497,1283,326,,1821,11,,,,,,3441,31069
2006-01-01,17615,1239,1816,4433,,25103,1970,511,0,,2481,1272,311,,1839,11,,,,,,3433,31017
2006-02-01,17551,1235,1870,4600,,25256,1975,504,0,,2479,1322,309,,1790,11,,,,,,3432,31167
2006-03-02,16403,1238,1854,4767,,24262,1976,512,0,,2488,1315,291,,1791,11,,,,,,3408,30158
2006-04-01,16242,1215,1909,5024,,24390,2006,495,0,,2501,1288,291,,1774,10,,,,,,3363,30254
