date,armed_robbery_mandatory,lifers,habitual_offenders,habitual_lifers,death_row
2001-04-01,1711,1650,1391,255,63
2001-06-01,1719,1652,1390,256,63
2001-07-01,1720,1648,1395,256,63
2001-08-01,1723,1651,1414,259,63
2001-09-04,1719,1652,1421,261,63
2001-10-01,1733,1657,1421,261,65
2001-11-01,1742,1668,1416,264,65
2001-12-01,1743,1671,1424,265,65
2002-01-01,1743,1673,1424,265,65
2002-02-01,1735,1673,1420,266,65
2002-03-01,1744,1673,1724,268,65
2002-04-01,1762,1683,1443,270,64
2002-05-01,1774,1694,1446,275,65
2002-06-01,1770,1689,1443,277,66
2002-07-01,1786,1692,1448,280,66
2002-08-01,1802,1697,1453,280,66
2002-09-01,1816,1701,1449,282,67
2002-10-01,1819,1701,1447,281,67
2002-11-01,1820,1711,1442,284,67
2002-12-01,1829,1718,1437,285,67
2003-01-01,1828,1727,1440,289,67
2003-02-01,1836,1732,1432,290,67
2003-03-01,1841,1744,1437,293,67
2003-04-01,1847,1753,1446,294,69
2003-05-01,1856,1759,1445,297,68
2003-06-01,1856,1768,1454,299,68
2003-07-01,1866,1778,1464,301,25
2003-08-01,1877,1783,1460,300,69
2003-09-01,1881,1786,1458,299,69
2003-10-01,1890,1795,1458,299,69
2003-11-01,1905,1799,1459,299,68
2003-12-01,1910,1804,1468,302,68
2004-03-01,1685,1804,816,120,23
2004-04-01,1699,1807,826,120,69
2004-05-01,1678,1816,832,121,22
2004-06-01,1685,1822,843,124,24
2004-07-06,1685,1828,855,125,24
2004-08-02,1685,1840,869,127,18
2004-09-01,1696,1849,877,131,19
2004-10-01,1576,1647,843,123,69
2004-11-01,1586,1648,866,125,69
2004-12-01,1593,1645,868,126,70
2005-01-04,1606,1647,872,127,70
2005-02-01,1605,1649,870,128,70
2005-03-01,1613,1657,891,129,70
2005-04-01,1621,1650,907,130,70
2005-05-01,1626,1651,907,131,69
2005-06-01,1635,1644,914,132,70
2005-07-01,1642,1650,919,133,70
2005-08-01,1641,1647,920,134,70
2005-09-06,1655,1655,922,135,70
2005-10-01,1660,1654,924,138,70
2005-11-01,1674,1656,927,140,69
2005-12-01,1672,1658,925,141,69
2006-01-01,1661,1662,920,141,69
2006-02-01,1685,1650,920,144,69
2006-03-02,1718,1660,920,146,69
2006-04-01,1720,1656,922,145,69
2006-05-01,1728,1654,929,147,69
2006-06-01,1724,1663,938,148,70
2006-07-03,1747,1656,957,151,70
2006-08-01,1752,1657,973,151,69
2006-09-01,1747,1656,979,151,69
2006-10-01,1754,1652,983,150,69
2006-11-01,1772,1656,995,155,69
2006-12-01,1777,1648,996,156,69
2007-01-01,1769,1647,1010,157,69
2007-02-01,1764,1646,1019,157,69
2007-03-01,1761,1643,1020,159,68
2007-04-02,1766,1649,1036,161,68
2007-05-01,1766,1648,1038,164,68
2007-06-01,1765,1652,1043,164,68
2007-07-01,1776,1653,1052,163,68
2007-08-01,1769,1649,1061,164,68
2007-09-01,1770,1650,1064,166,67
2007-10-01,1786,1653,1083,171,66
2007-11-01,1792,1666,1097,172,65
2007-12-01,1800,1664,1099,172,65
2008-01-01,1811,1660,1108,173,65
2008-02-01,1811,1665,1117,174,65
2008-03-01,1816,1670,1128,175,65
2008-04-01,1817,1667,1145,177,65
2008-05-01,1828,1674,1161,179,65
2008-06-01,1840,1669,1174,183,64
2008-07-01,1849,1668,1193,184,64
2008-08-01,1860,1663,1194,186,61
2008-09-01,1869,1651,1212,188,61
2008-10-01,1880,1648,1225,191,61
2008-11-01,1886,1644,1231,193,61
2008-12-01,1885,1646,1240,193,61
2009-01-01,1896,1641,1246,194,61
2009-02-01,1904,1644,1245,194,60
2009-03-01,1913,1646,1258,194,60
2009-04-01,1920,1647,1269,197,60
2009-05-01,1931,1642,1288,200,60
2009-06-01,1935,1634,1317,201,60
2009-07-01,1941,1632,1326,203,60
2009-08-01,1946,1637,1328,203,60
2009-09-01,1946,1633,1325,204,60
2009-10-01,1949,1642,1339,205,59
2009-11-01,1954,1661,1385,208,60
2009-12-01,1947,1665,1380,210,60
2010-01-01,1939,1669,1388,213,60
2010-02-01,1943,1675,1399,212,60
2010-03-01,1947,1680,1412,213,60
2010-04-01,1970,1681,1422,216,61
2010-05-01,1963,1729,1516,231,61
2010-06-01,1971,1729,1512,232,59
2010-07-01,1981,1727,1529,232,60
2010-08-01,1978,1724,1532,237,59
2010-09-01,1978,1722,1546,236,59
2010-10-01,1985,1727,1556,236,60
2010-11-01,1986,1730,1578,236,61
2010-12-01,1984,1739,1587,239,60
2011-01-03,1981,1736,1584,237,60
2011-02-01,1980,1731,1573,237,60
2011-03-02,1970,1729,1578,237,59
2011-04-01,1980,1731,1585,238,59
2011-05-01,1977,1732,1587,239,59
2011-06-01,1989,1740,1594,242,57
2011-07-01,2002,1747,1616,241,57
2011-08-01,2006,1742,1607,242,57
2011-09-01,2007,1745,1615,246,57
2011-10-01,2002,1752,1627,246,57
2011-11-01,2014,1756,1637,247,57
2011-12-01,2024,1756,1643,247,57
2012-01-01,2024,1750,1647,247,57
2012-02-01,2030,1745,1653,249,57
2012-03-01,2051,1761,1664,257,53
2012-04-02,2046,1748,1655,255,53
2012-05-01,2052,1757,1663,256,53
2012-06-01,2051,1761,1664,257,53
2012-07-02,2068,1764,1677,260,50
2012-08-01,2059,1762,1677,261,51
2012-10-01,2067,1757,1685,259,51
2012-11-01,2066,1766,1691,259,49
2012-12-01,2063,1770,1707,263,50
2013-01-02,2060,1773,1713,269,50
2013-02-01,2060,1773,1713,269,50
2013-03-01,2067,1777,1723,270,49
2013-04-01,2076,1781,1742,272,48
2013-05-01,2078,1781,1749,273,48
2013-06-03,2082,1782,1746,274,49
2013-07-01,2109,1784,1769,274,49
2013-08-01,2097,1782,1767,275,49
2013-09-03,2102,1785,1785,274,50
2013-10-01,2112,1791,1798,274,50
2013-11-01,2111,1794,1817,277,50
2013-12-02,2114,1798,1828,277,50
2014-01-02,2108,1799,1843,279,50
2014-02-03,2101,1796,1854,279,50
2014-03-03,2099,1793,1860,284,50
2014-04-01,2113,1793,1874,286,50
2014-05-01,2108,1799,1874,287,49
2014-06-02,2113,1797,1884,284,49
2014-07-01,2108,1797,1894,286,49
2014-08-01,2105,1793,1896,294,49
2014-09-01,2122,1796,1897,295,49
2014-10-01,2122,1796,1897,295,49
2014-11-03,2127,1805,1888,295,49
2014-12-01,2130,1801,1891,295,49
2015-01-05,2131,1802,1901,297,48
2015-02-02,2121,1803,1892,300,47
2015-03-04,2122,1799,1900,302,47
2015-04-01,2131,1804,1904,304,47
2015-05-01,2131,1806,1898,303,47
2015-06-01,2146,1810,1907,308,47
2015-07-06,2144,1809,1917,309,48
2015-08-03,2132,1810,1911,332,48
2015-09-01,2136,1787,1922,334,48
2015-10-03,2137,1794,1929,334,48
2015-11-02,2150,1794,1940,334,47
2015-12-01,2152,1791,1951,337,47
2016-01-04,2145,1793,1957,337,47
2016-02-01,2153,1792,1957,338,47
2016-03-01,2164,1791,1957,338,47
2016-04-01,2155,1795,1956,341,47
2016-05-02,2169,1793,1959,342,47
2016-06-01,2161,1800,1959,342,47
2016-07-08,2164,1801,1981,342,47
2016-08-01,2160,1799,1980,342,47
2016-09-01,2168,1801,1988,345,47
2016-10-03,2170,1803,2006,349,47
2016-11-01,2166,1805,2013,349,47
2016-12-01,2155,1808,2029,352,47
2017-01-03,2154,1804,2037,352,47
2017-02-01,2156,1803,2026,357,48
2017-03-01,2150,1804,2032,359,48
2017-04-03,2156,1809,2045,361,48
2017-05-01,2150,1801,2052,360,48
2017-06-01,2145,1803,2050,362,48
