date,inmate total,parole,TVC parole,probation,TVC probation
2001-04-01,20456,1666,,15412,
2001-06-01,20672,1674,,15672,
2001-07-01,20743,1645,,15749,
2001-08-01,21000,1608,,15688,
2001-09-04,21114,1638,,15796,
2001-10-01,21219,1674,,15791,
2001-11-01,21401,1670,,15811,
2001-12-01,21541,1691,,15729,
2002-01-01,21543,1756,,15577,
2002-02-01,21301,1747,,15692,
2002-03-01,21396,1765,,15831,
2002-04-01,21642,1789,,15572,
2002-05-01,21751,1801,,15689,
2002-06-01,21855,1859,,15466,
2002-07-01,22089,1861,,15224,
2002-08-01,22117,1877,,15452,
2002-09-01,22205,1883,,15804,
2002-10-01,22254,1872,,16286,
2002-11-01,22518,1858,,16259,
2002-12-01,22689,1828,,16364,
2003-01-01,22816,1816,,16633,
2003-02-01,22754,1774,,16869,
2003-03-01,23081,1760,,17130,
2003-04-01,23188,1745,,17111,
2003-05-01,23311,1770,,17027,
2003-06-01,23282,1781,,17167,
2003-07-01,23473,1758,,17920,
2003-08-01,23456,1777,,18211,
2003-09-01,23506,1797,,18595,
2003-10-01,23522,1789,,18984,
2003-11-01,23546,1813,,18985,
2003-12-01,23571,1816,,19116,
2004-03-01,23674,1910,,18384,
2004-04-01,23738,1934,,18744,
2004-05-01,24009,1927,,19005,
2004-06-01,24096,1935,,19262,
2004-07-06,24126,1958,,19650,
2004-08-02,23973,1991,,19777,
2004-09-01,24123,2032,,20139,
2004-10-01,24381,2067,,20622,
2004-11-01,24453,2098,,20897,
2004-12-01,24552,2136,,21151,
2005-01-04,24651,2174,,21436,
2005-02-01,24472,2230,,21706,
2005-03-01,24525,2293,,21911,
2005-04-01,24790,2362,,22227,
2005-05-01,24825,2412,,22435,
2005-06-01,24869,2447,,22738,
2005-07-01,24745,2428,,23504,
2005-08-01,24718,2479,,23980,
2005-09-06,24693,2499,,24388,
2005-10-01,24745,2493,,24646,
2005-11-01,24706,2481,,25061,
2005-12-01,24575,2497,,25131,
2006-01-01,24300,2481,,25103,
2006-02-01,24580,2479,,25256,
2006-03-02,24614,2488,,24262,
2006-04-01,24708,2501,,24390,
2006-05-01,24635,2503,,24242,
2006-06-01,24672,2459,,24697,
2006-07-03,24792,2439,,24612,
2006-08-01,24871,2452,,24639,
2006-09-01,25072,2396,,24749,
2006-10-01,25191,2405,,24659,
2006-11-01,25306,2397,,24834,
2006-12-01,25287,2375,,25091,
2007-01-01,25289,2342,,25201,
2007-02-01,25251,2355,,25294,
2007-03-01,25294,2354,,25319,
2007-04-02,25569,2375,,25460,
2007-05-01,25492,2411,,25596,
2007-06-01,25194,2427,,25673,
2007-07-01,25314,2466,,24707,
2007-08-01,25254,2426,,24256,
2007-09-01,25223,2438,,23154,
2007-10-01,25452,2452,,22807,
2007-11-01,25611,2457,,22881,
2007-12-01,25614,2458,,22876,
2008-01-01,25690,2493,,22867,
2008-02-01,25663,2553,,22965,
2008-03-01,25788,2557,,22692,
2008-04-01,25847,2602,,22539,
2008-05-01,26063,2628,,22533,
2008-06-01,26107,2580,,22385,
2008-07-01,26208,2637,,22844,
2008-08-01,26205,2705,,22363,
2008-09-01,26274,2822,,22600,
2008-10-01,26399,2935,,22910,
2008-11-01,26484,3005,,23052,
2008-12-01,26528,3076,,23245,
2009-01-01,26234,3399,,23557,
