"Location","Capacity","10-Aug-12","11-Aug-12","12-Aug-12","13-Aug-12","14-Aug-12","15-Aug-12","16-Aug-12","17-Aug-12","18-Aug-12"
"Mississippi State Penitentiary","4,648","3,358","3,356","3,352","3,355","3,361","3,365","3,379","3,369","3,367"
"Central Mississippi Correctional Facility","3,665","3,215","3,214","3,214","3,216","3,224","3,208","3,213","3,195","3,194"
"South Mississippi Correctional Institution","3,282","3,215","3,215","3,214","3,204","3,213","3,212","3,213","3,206","3,205"
"County Jails","1,736","2,084","2,084","2,084","2,079","2,091","2,083","2,088","2,131","2,131"
"COMMUNITY WORK CENTERS","1,848","1,596","1,591","1,589","1,612","1,606","1,582","1,585","1,561","1,559"
"Alcorn Satellite Facility","92","90","90","90","90","90","90","91","90","90"
"Bolivar Satellite Facility","102","78","78","78","79","79","75","75","75","75"
"Forrest Satellite Facility","96","77","77","77","76","75","72","72","73","72"
"George Satellite Facility","102","85","85","85","84","84","86","86","85","85"
"Harrison Satellite Facility","102","78","78","78","78","78","72","72","68","68"
"Jackson Satellite Facility","102","78","78","78","79","78","77","77","73","73"
"Jefferson Satellite Facility","102","80","79","79","79","78","78","78","81","81"
"Leflore Satellite Facility","102","78","78","78","84","85","84","83","82","82"
"Madison Satellite Facility","102","95","95","95","95","93","91","93","91","90"
"Noxubee Satellite Facility","92","80","80","80","81","81","78","75","70","70"
"Pike Satellite Facility","93","88","87","87","92","93","93","93","92","92"
"Quitman Satellite Facility","93","92","92","92","91","90","90","92","90","90"
"Rankin Satellite Facility","260","246","246","246","248","248","244","244","240","240"
"Simpson Satellite Facility","102","99","98","98","101","100","100","100","101","101"
"Washington Satellite Facility","102","86","86","85","84","84","81","81","80","80"
"Wilkinson Satellite Facility","102","70","70","70","76","75","74","74","72","72"
"Yazoo Satellite Facility","102","96","94","93","95","95","97","99","98","98"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,356","4,352","4,347","4,350","4,352","4,358","4,357","4,355","4,353"
"Alcorn County","300","301","301","301","300","300","300","300","300","300"
"Bolivar County","369","369","368","367","368","369","369","369","369","369"
"Carroll County","280","280","279","279","279","282","281","280","280","279"
"Chickasaw County","300","298","297","297","299","298","300","300","299","299"
"George County","280","280","280","280","279","279","280","280","280","280"
"Holmes County","280","280","280","280","279","279","280","280","280","280"
"Issaquena County","274","274","274","273","274","272","274","274","273","273"
"Jefferson County","280","280","280","280","280","279","277","276","279","279"
"Kemper County","355","339","339","338","339","338","340","339","337","336"
"Leake County","280","280","280","280","281","281","281","280","280","280"
"Marion County","280","280","280","279","279","280","280","279","278","278"
"Stone County","280","279","279","279","280","280","281","280","280","280"
"Washington County","300","238","237","237","237","237","236","240","239","239"
"Winston County","280","280","280","280","278","277","278","280","280","280"
"Yazoo County","300","298","298","297","298","301","301","300","301","301"
"PRIVATE PRISONS","5,972","4,220","4,217","4,216","4,221","4,224","4,214","4,211","4,210","4,206"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,266","1,267","1,266","1,266","1,267","1,258","1,257","1,254","1,254"
"Marshall County","1,000","999","999","999","999","997","997","997","1,000","1,000"
"Walnut Grove","1,500","1,051","1,049","1,049","1,054","1,055","1,054","1,053","1,053","1,051"
"Wilkinson County","1,000","904","902","902","902","905","905","904","903","901"
"RESTITUTION CENTERS","16","10","10","10","10","11","11","12","13","13"
"Greenwood","6","5","5","5","5","5","5","5","6","6"
"Hinds","6","2","2","2","2","3","3","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","23","23","23","8","7","7","4","22","24"
"TOTALS","25,611","22,077","22,062","22,049","22,055","22,089","22,040","22,062","22,062","22,052"
"","","10-Aug-12","11-Aug-12","12-Aug-12","13-Aug-12","14-Aug-12","15-Aug-12","16-Aug-12","17-Aug-12","18-Aug-12"
