"Location","Capacity","10-Mar-09","11-Mar-09","12-Mar-09","13-Mar-09","14-Mar-09","15-Mar-09","16-Mar-09","17-Mar-09","18-Mar-09"
"Mississippi State Penitentiary","4,627","4,125","4,118","4,123","4,129","4,124","4,123","4,115","4,110","4,118"
"Central Mississippi Correctional Facility","3,665","3,488","3,523","3,531","3,535","3,534","3,534","3,541","3,559","3,543"
"South Mississippi Correctional Institution","3,204","3,122","3,117","3,091","3,102","3,099","3,099","3,087","3,094","3,106"
"County Jails","1,777","1,710","1,695","1,698","1,698","1,698","1,698","1,676","1,674","1,673"
"COMMUNITY WORK CENTERS","1,848","1,789","1,795","1,794","1,751","1,748","1,746","1,789","1,778","1,773"
"Alcorn Satellite Facility","92","88","87","86","83","83","82","90","90","90"
"Bolivar Satellite Facility","102","102","102","100","93","93","93","99","99","99"
"Forrest Satellite Facility","96","94","96","96","94","94","93","95","94","94"
"George Satellite Facility","102","101","102","102","101","101","101","102","102","101"
"Harrison Satellite Facility","102","99","99","102","102","101","101","101","101","101"
"Jackson Satellite Facility","102","98","98","102","100","99","99","100","100","99"
"Jefferson Satellite Facility","102","100","102","100","96","96","96","99","99","98"
"Leflore Satellite Facility","102","98","96","96","93","93","93","96","95","92"
"Madison Satellite Facility","102","101","101","100","95","95","95","101","93","100"
"Noxubee Satellite Facility","92","84","83","83","86","86","86","85","85","87"
"Pike Satellite Facility","93","85","88","88","85","85","85","89","87","87"
"Quitman Satellite Facility","93","91","91","89","88","88","88","85","86","86"
"Rankin Satellite Facility","260","253","253","252","242","242","242","249","251","249"
"Simpson Satellite Facility","102","99","101","100","101","101","101","102","102","98"
"Washington Satellite Facility","102","97","97","96","94","94","94","96","95","95"
"Wilkinson Satellite Facility","102","97","97","102","101","100","100","101","100","99"
"Yazoo Satellite Facility","102","102","102","100","97","97","97","99","99","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,923","2,925","2,927","2,927","2,926","2,921","2,929","2,933","2,926"
"Bolivar County","294","278","277","280","280","280","279","280","280","280"
"Carroll County","280","265","266","264","264","264","264","266","267","266"
"George County","280","263","263","265","264","264","264","264","266","266"
"Holmes County","280","265","265","264","264","264","263","266","266","266"
"Issaquena County","274","258","259","261","261","261","261","261","260","260"
"Jefferson County","280","265","265","264","265","265","264","265","266","265"
"Kemper County","280","266","266","266","265","264","264","265","266","266"
"Leake County","280","265","266","266","266","266","265","265","266","263"
"Marion County","280","265","265","264","265","265","265","266","265","265"
"Stone County","280","266","266","266","266","266","265","264","264","264"
"Winston County","280","267","267","267","267","267","267","267","267","265"
"PRIVATE PRISONS","5,972","5,436","5,437","5,438","5,433","5,425","5,422","5,456","5,463","5,451"
"Delta","972","954","955","954","952","949","949","956","959","955"
"East Mississippi","1,500","1,361","1,361","1,359","1,357","1,355","1,355","1,354","1,353","1,352"
"Marshall County","1,000","983","982","983","983","983","983","983","983","981"
"Walnut Grove","1,500","1,161","1,162","1,166","1,167","1,164","1,161","1,190","1,192","1,188"
"Wilkinson County","1,000","977","977","976","974","974","974","973","976","975"
"RESTITUTION CENTERS","16","12","12","12","11","11","11","11","11","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","7","9","11","54","52","54","11","15","17"
"TOTALS","24,203","22,618","22,637","22,631","22,646","22,623","22,614","22,621","22,643","22,624"
