"Location","Capacity","10-Jul-10","11-Jul-10","12-Jul-10","13-Jul-10","14-Jul-10","15-Jul-10","16-Jul-10","17-Jul-10","18-Jul-10"
"Mississippi State Penitentiary","4,435","3,421","3,421","3,413","3,452","3,445","3,448","3,437","3,437","3,438"
"Central Mississippi Correctional Facility","3,449","3,277","3,276","3,309","3,307","3,300","3,284","3,278","3,278","3,280"
"South Mississippi Correctional Institution","3,204","3,158","3,156","3,160","3,161","3,174","3,169","3,159","3,156","3,156"
"County Jails","1,481","1,593","1,593","1,594","1,613","1,608","1,630","1,631","1,631","1,631"
"COMMUNITY WORK CENTERS","1,848","1,625","1,623","1,643","1,639","1,644","1,596","1,596","1,593","1,593"
"Alcorn Satellite Facility","92","74","74","76","76","81","80","79","79","79"
"Bolivar Satellite Facility","102","86","86","86","83","85","81","78","77","77"
"Forrest Satellite Facility","96","70","70","70","70","70","68","70","70","70"
"George Satellite Facility","102","96","96","98","97","97","96","95","95","95"
"Harrison Satellite Facility","102","80","80","81","81","81","77","76","76","76"
"Jackson Satellite Facility","102","92","92","95","95","93","91","90","90","90"
"Jefferson Satellite Facility","102","95","95","95","95","95","92","90","90","89"
"Leflore Satellite Facility","102","87","87","89","89","89","88","88","87","87"
"Madison Satellite Facility","102","99","99","100","99","98","96","96","96","96"
"Noxubee Satellite Facility","92","84","84","86","87","87","82","80","80","80"
"Pike Satellite Facility","93","77","77","75","75","79","79","79","79","79"
"Quitman Satellite Facility","93","91","91","92","93","93","90","89","89","89"
"Rankin Satellite Facility","260","232","231","234","234","234","223","222","221","221"
"Simpson Satellite Facility","102","91","91","94","94","97","96","96","96","96"
"Washington Satellite Facility","102","85","85","86","86","85","80","87","87","87"
"Wilkinson Satellite Facility","102","87","86","89","89","89","86","85","85","85"
"Yazoo Satellite Facility","102","99","99","97","96","91","91","96","96","97"
"REGIONAL CORRECTIONAL FACILITIES","3,138","2,523","2,521","2,514","2,510","2,522","2,519","2,520","2,519","2,519"
"Bolivar County","294","235","234","235","235","235","235","234","234","234"
"Carroll County","280","224","224","223","223","223","223","224","224","224"
"George County","280","224","224","222","222","223","223","224","224","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","218","218","217","217","219","218","219","219","219"
"Jefferson County","280","223","223","222","222","224","223","223","223","223"
"Kemper County","330","278","278","278","276","279","279","279","279","279"
"Leake County","280","226","226","224","224","224","223","223","223","223"
"Marion County","280","224","224","224","224","224","224","224","223","223"
"Stone County","280","223","223","223","223","224","224","224","224","224"
"Winston County","280","224","223","222","220","223","223","222","222","222"
"PRIVATE PRISONS","5,972","5,316","5,314","5,301","5,298","5,310","5,312","5,312","5,309","5,306"
"Delta","972","906","906","905","905","905","904","903","903","903"
"East Mississippi","1,500","1,359","1,358","1,358","1,356","1,355","1,360","1,363","1,362","1,360"
"Marshall County","1,000","902","902","899","899","899","899","899","899","899"
"Walnut Grove","1,500","1,202","1,202","1,194","1,193","1,200","1,200","1,195","1,194","1,193"
"Wilkinson County","1,000","947","946","945","945","951","949","952","951","951"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","9","9"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","44","44","4","4","5","5","25","25","25"
"TOTALS","23,549","20,972","20,963","20,953","20,999","21,023","20,978","20,973","20,963","20,963"
"","","10-Jul-10","11-Jul-10","12-Jul-10","13-Jul-10","14-Jul-10","15-Jul-10","16-Jul-10","17-Jul-10","18-Jul-10"
