"Location","Capacity 1-Jan-19","","2-Jan-19","3-Jan-19","4-Jan-19","5-Jan-19","6-Jan-19","7-Jan-19","8-Jan-19","9-Jan-19","10-Jan-19","11-Jan-19","12-Jan-19","13-Jan-19","14-Jan-19","15-Jan-19","16-Jan-19","17-Jan-19"
"Mississippi State Penitentiary","3,560","3,275","3,268","3,273","3,266","3,261","3,259","3,251","3,248","3,246","3,245","3,250","3,250","3,250","3,249","3,246","3,245","3,242"
"Central Mississippi Correctional Facility","4,131","3,864","3,882","3,863","3,889","3,889","3,888","3,874","3,874","3,870","3,870","3,856","3,856","3,854","3,850","3,848","3,843","3,830"
"Youthful Offender Unit","58","36","36","36","36","36","36","36","36","35","35","34","34","36","36","36","36","36"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,056","3,055","3,051","3,055","3,055","3,051","3,045","3,045","3,042","3,040","3,034","3,034","3,033","3,029","3,025","3,026","3,019"
"County Jails","1,781","1,147","1,118","1,105","1,074","1,074","1,074","1,074","1,096","1,110","1,117","1,147","1,147","1,147","1,170","1,200","1,273","1,273"
"COMMUNITY WORK CENTERS","1,454","1,008","1,026","1,021","1,028","1,028","1,024","1,019","1,011","1,005","998","989","987","979","966","956","942","937"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","84","84","84","84","84","84","84","84","83","83","83","83","83","83","83","80","79"
"Delta TVC","324","263","273","267","265","265","263","260","254","252","249","243","241","233","228","219","213","212"
"Forrest Satellite Facility","96","50","60","62","62","62","62","62","62","62","61","61","61","61","61","61","61","60"
"George Satellite Facility","102","73","73","72","77","77","77","77","76","76","76","76","76","76","76","75","74","74"
"Harrison Satellite Facility","102","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","47"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","70","68","68","68","68","68","68","68","68","67","66","66","66","66","66","66","66"
"Noxubee Satellite Facility","58","53","53","53","53","53","53","52","52","52","52","52","52","52","52","52","52","52"
"Pike Satellite Facility","93","73","73","72","72","72","72","72","71","71","71","70","70","70","69","69","68","68"
