"Location","Capacity","1-Apr-04","2-Apr-04","3-Apr-04","4-Apr-04","5-Apr-04","6-Apr-04","7-Apr-04","8-Apr-04","9-Apr-04","10-Apr-04","11-Apr-04","12-Apr-04","13-Apr-04"
"MS STATE PENITENTIARY","5,768","5,714","5,714","5,714","5,713","5,707","5,660","5,676","5,614","5,613","5,612","5,609","5,609","5,569"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,246","3,240","3,241","3,239","3,204","3,227","3,221","3,219","3,193","3,193","3,192","3,184","3,202"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,045","2,065","2,065","2,066","2,084","2,100","2,096","2,122","2,111","2,111","2,111","2,148","2,144"
"COUNTY JAILS","2,176","2,178","2,162","2,162","2,162","2,199","2,204","2,202","2,175","2,177","2,177","2,177","2,193","2,172"
"COMMUNITY WORK CENTERS","1,816","1,641","1,611","1,610","1,612","1,635","1,636","1,636","1,642","1,604","1,603","1,604","1,642","1,627"
"Alcorn Satellite Facility","92","86","85","85","85","85","86","86","85","85","85","85","90","90"
"Bolivar Satellite Facility","102","99","98","98","98","99","99","99","99","99","99","99","101","98"
"Forrest Satellite Facility","96","96","92","92","92","91","91","96","96","96","96","96","96","94"
"George Satellite Facility","102","77","76","76","76","75","75","74","74","75","75","75","77","77"
"Harrison Satellite Facility","102","91","89","89","89","91","91","91","91","89","89","89","90","90"
"Jackson Satellite Facility","102","82","80","80","80","82","82","82","82","79","79","79","78","78"
"Jefferson Satellite Facility","102","91","86","85","87","89","91","90","90","87","87","87","89","88"
"Leflore Satellite Facility","102","100","97","97","97","99","100","100","99","93","93","93","102","101"
"Madison Satellite Facility","102","102","99","99","99","102","102","102","102","97","96","97","102","102"
"Noxubee Satellite Facility","92","90","86","86","86","89","89","89","89","86","86","86","89","89"
"Pike Satellite Facility","93","58","58","58","58","65","65","65","68","68","68","68","68","67"
"Quitman Satellite Facility","93","78","78","78","78","77","77","76","78","74","74","74","77","76"
"Rankin Satellite Facility","228","207","202","202","202","204","202","201","201","198","198","198","198","196"
"Simpson Satellite Facility","102","101","102","102","102","102","102","101","102","97","97","97","101","101"
"Washington Satellite Facility","102","98","98","98","98","98","98","98","100","100","100","100","99","97"
"Wilkinson Satellite Facility","102","86","85","85","85","85","84","84","84","82","82","82","84","83"
"Yazoo Satellite Facility","102","99","100","100","100","102","102","102","102","99","99","99","101","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,748","2,746","2,745","2,744","2,744","2,745","2,748","2,748","2,746","2,745","2,744","2,727","2,727"
"Bolivar County","250","249","250","249","249","250","250","250","251","250","250","250","250","250"
"Carroll County","250","250","250","250","249","249","250","250","250","249","249","249","248","248"
"George County","250","250","250","250","250","250","249","250","249","248","248","248","231","230"
"Holmes County","250","250","249","249","249","249","249","249","250","250","249","249","250","250"
"Issaquena County","250","250","250","250","250","250","249","249","248","250","250","250","250","250"
"Jefferson County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Kemper County","250","250","249","249","249","248","250","250","250","249","249","249","250","250"
"Leake County","250","249","250","250","250","250","250","250","250","250","250","249","250","250"
"Marion County","250","250","249","249","249","248","249","250","250","251","251","251","250","250"
"Stone County","250","250","249","249","249","250","249","250","250","249","249","249","249","250"
"Winston County","250","250","250","250","250","250","250","250","250","250","250","250","249","249"
"PRIVATE PRISONS","4,700","3,455","3,453","3,451","3,449","3,460","3,500","3,502","3,553","3,551","3,548","3,547","3,556","3,597"
"Delta       (Reopened 04-01-04)","950","41","41","41","41","41","83","83","128","128","128","128","128","173"
"East MS","1,000","727","725","725","724","724","723","723","723","721","720","720","720","718"
"Marshall County","1,000","987","995","994","993","994","993","992","995","995","995","994","994","993"
"Walnut Grove","750","710","704","704","704","713","710","712","716","712","712","712","718","719"
"Wilkinson County","1,000","990","988","987","987","988","991","992","991","995","993","993","996","994"
"RESITITUTION CENTERS","24","14","14","14","14","14","14","14","14","10","10","10","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","2","2","2","6","6"
"Hinds","12","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"E-CODE","","8","36","36","34","6","7","9","9","54","58","55","7","6"
"TOTALS","22,687","21,053","21,045","21,042","21,037","21,057","21,097","21,108","21,100","21,063","21,061","21,053","21,084","21,062"
