"Location","Capacity","1-Jul-16","2-Jul-16","3-Jul-16","4-Jul-16","5-Jul-16","6-Jul-16","7-Jul-16","8-Jul-16","9-Jul-16"
"Mississippi State Penitentiary","3,590","3,404","3,403","3,401","3,396","3,394","3,388","3,390","3,402","3,400"
"Central Mississippi Correctional Facility","3,506","3,045","3,045","3,045","3,044","3,073","3,071","3,092","3,090","3,088"
"Youthful Offender Unit","58","33","33","33","33","33","33","33","33","33"
"CMCF TVC","","6","6","6","6","6","6","6","8","8"
"South Mississippi Correctional Institution","3,082","2,999","2,998","2,997","2,996","2,985","2,989","2,993","2,992","2,990"
"County Jails","1,986","1,535","1,535","1,535","1,535","1,548","1,564","1,561","1,566","1,566"
"COMMUNITY WORK CENTERS","1,848","1,143","1,141","1,139","1,135","1,118","1,119","1,112","1,103","1,100"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","15","15","15","15","15","15","0","0","0"
"Forrest Satellite Facility","96","66","66","66","66","63","63","71","68","68"
"George Satellite Facility","102","95","95","95","94","93","94","94","91","91"
"Harrison Satellite Facility","102","71","71","71","71","72","72","72","70","70"
"Jackson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","73","71","71","68","67","67","64","64","62"
"Leflore TVC Support","20","16","16","16","16","16","16","16","19","19"
"Madison Satellite Facility","102","96","96","96","95","93","93","97","90","90"
"Noxubee Satellite Facility","92","89","89","89","89","88","88","88","81","81"
"Pike Satellite Facility","93","91","91","91","91","90","90","90","89","89"
"Quitman Satellite Facility","93","84","84","83","84","83","84","84","91","91"
"Rankin Satellite Facility","260","170","170","170","170","169","173","172","170","170"
"Flowood TVC","","31","31","30","30","28","28","27","27","27"
"Simpson TVC","82","66","66","66","66","64","62","62","65","64"
"Simpson TVC Support","20","15","15","15","15","15","15","15","16","16"
"Washington Satellite Facility","102","95","95","95","95","93","92","94","94","94"
"Wilkinson Satellite Facility","102","70","70","70","70","69","67","66","68","68"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,512","3,512","3,512","3,511","3,497","3,505","3,507","3,507","3,507"
"Alcorn County","240","239","239","239","239","238","239","239","239","239"
"Bolivar County","369","293","293","293","293","292","294","293","293","293"
"Carroll County","280","240","240","240","240","238","239","240","239","239"
"Chickasaw County","300","239","239","239","239","238","240","240","240","240"
"George County","280","197","197","197","197","196","200","202","201","201"
"Holmes County","280","200","200","200","200","199","200","200","197","197"
"Issaquena County","274","270","270","270","270","268","270","270","268","268"
"Jefferson County","280","270","270","270","270","268","268","269","270","270"
"Kemper County","355","260","260","260","259","258","260","260","260","260"
"Leake County","280","199","199","199","199","198","200","200","199","199"
"Marion County","280","200","200","200","200","201","201","200","200","200"
"Stone County","280","240","240","240","240","240","240","240","240","240"
"Washington County","300","227","227","227","227","227","224","224","222","222"
"Winston County","280","199","199","199","199","199","190","190","199","199"
"Yazoo County","300","239","239","239","239","237","240","240","240","240"
"PRIVATE PRISONS","5,972","3,877","3,877","3,876","3,876","3,866","3,864","3,872","3,869","3,870"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,145","1,145","1,144","1,144","1,143","1,144","1,143","1,141","1,142"
"Marshall County","1,000","1,000","1,000","1,000","1,000","999","999","999","999","999"
"Walnut Grove","1,500","838","838","838","838","834","832","831","830","830"
"Wilkinson County","1,000","894","894","894","894","890","889","899","899","899"
"RESTITUTION CENTERS","16","17","17","17","17","17","16","16","13","13"
"Greenwood","6","6","6","6","6","6","5","5","4","4"
"Hinds","6","6","6","6","6","6","6","6","5","5"
"Pascagoula","4","5","5","5","5","5","5","5","4","4"
"TOTALS","24,436","19,571","19,567","19,561","19,549","19,537","19,555","19,582","19,583","19,575"
