"Location","Capacity","14-Nov-03","15-Nov-03","16-Nov-03","17-Nov-03","18-Nov-03","19-Nov-03","20-Nov-03","21-Nov-03","22-Nov-03","23-Nov-03","24-Nov-03","25-Nov-03","26-Nov-03"
"MS STATE PENITENTIARY","5,768","5,683","5,682","5,682","5,662","5,658","5,661","5,678","5,668","5,668","5,667","5,657","5,656","5,656"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,057","3,053","3,054","3,083","3,074","3,092","3,062","3,099","3,099","3,097","3,123","3,117","3,106"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,110","2,110","2,110","2,106","2,118","2,133","2,132","2,132","2,132","2,133","2,114","2,108","2,106"
"COUNTY JAILS","2,176","1,915","1,915","1,915","1,893","1,924","1,937","1,961","1,936","1,936","1,936","1,934","1,941","1,954"
"COMMUNITY WORK CENTERS","1,816","1,433","1,430","1,430","1,524","1,525","1,525","1,519","1,509","1,509","1,509","1,502","1,506","1,494"
"Alcorn Satellite Facility","92","81","81","81","92","92","92","92","92","92","92","89","89","89"
"Bolivar Satellite Facility","102","65","65","65","71","71","70","70","69","69","69","69","69","69"
"Forrest Satellite Facility","96","87","86","86","94","95","95","94","94","94","94","93","93","93"
"George Satellite Facility","102","74","74","74","76","75","75","74","71","71","71","70","70","70"
"Harrison Satellite Facility","102","65","65","65","67","67","67","66","66","66","66","66","64","64"
"Jackson Satellite Facility","102","75","75","75","75","75","75","75","75","75","75","75","72","72"
"Jefferson Satellite Facility","102","69","69","68","78","78","78","78","78","78","78","78","78","75"
"Leflore Satellite Facility","102","84","84","84","93","93","93","93","92","92","92","93","99","99"
"Madison Satellite Facility","102","98","98","99","102","102","102","102","101","101","101","102","102","102"
"Noxubee Satellite Facility","92","85","85","85","91","91","90","88","88","88","88","90","90","90"
"Pike Satellite Facility","93","34","34","34","40","40","40","40","40","40","40","40","40","40"
"Quitman Satellite Facility","93","72","71","71","73","73","73","72","71","71","71","69","69","68"
"Rankin Satellite Facility","228","219","219","219","226","224","226","226","223","223","223","221","219","213"
"Simpson Satellite Facility","102","84","84","84","91","90","90","90","91","91","91","91","94","93"
"Washington Satellite Facility","102","84","83","83","86","85","85","85","85","85","85","84","85","85"
"Wilkinson Satellite Facility","102","65","65","65","74","73","73","73","72","72","72","72","72","72"
"Yazoo Satellite Facility","102","92","92","92","95","101","101","101","101","101","101","100","101","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,745","2,744","2,744","2,741","2,737","2,734","2,745","2,746","2,743","2,743","2,744","2,740","2,747"
"Bolivar County","250","246","246","247","248","247","246","249","250","250","250","249","249","250"
"Carroll County","250","250","250","250","248","248","248","250","250","250","250","250","247","249"
"George County (opened on May 10th)","250","250","250","250","250","248","249","250","250","250","250","249","249","249"
"Holmes County","250","250","250","250","250","250","248","250","250","248","248","248","250","250"
"Issaquena County","250","250","250","249","249","248","247","248","250","250","250","249","249","249"
"Jefferson County","250","250","250","250","249","249","249","250","250","250","250","249","248","250"
"Kemper County","250","250","249","249","249","249","249","250","250","250","250","250","249","250"
"Leake County","250","250","250","250","249","249","249","250","249","249","249","249","250","250"
"Marion County","250","250","250","250","250","250","250","249","250","249","249","252","250","250"
"Stone County","250","249","249","249","249","249","249","249","248","248","248","250","250","250"
"Winston County","250","250","250","250","250","250","250","250","249","249","249","249","249","250"
"PRIVATE PRISONS","3,750","3,442","3,442","3,441","3,437","3,436","3,435","3,436","3,435","3,434","3,434","3,434","3,439","3,436"
"East MS","1,000","718","718","718","717","716","716","716","716","715","715","714","729","728"
"Marshall County","1,000","990","990","990","990","990","994","992","992","992","992","989","988","992"
"Walnut Grove","750","740","740","740","738","738","733","737","737","737","737","737","728","725"
"Wilkinson County","1,000","994","994","993","992","992","992","991","990","990","990","994","994","991"
"RESITITUTION CENTERS","24","15","15","15","16","16","16","16","16","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","6","6","6","7","7","7","7","7","7","7","7","7","7"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","92","95","92","8","8","7","8","5","5","3","5","7","6"
"TOTALS","21,737","20,498","20,492","20,489","20,476","20,502","20,546","20,563","20,552","20,548","20,544","20,535","20,536","20,527"
