"Location","Capacity","1-Nov-03","2-Nov-03","3-Nov-03","4-Nov-03","5-Nov-03","6-Nov-03","7-Nov-03","8-Nov-03","9-Nov-03","10-Nov-03","11-Nov-03","12-Nov-03","13-Nov-03"
"MS STATE PENITENTIARY","5,768","5,706","5,704","5,701","5,662","5,680","5,674","5,680","5,675","5,671","5,662","5,660","5,681","5,677"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,098","3,095","3,078","3,108","3,090","3,086","3,095","3,093","3,093","3,051","3,051","3,045","3,045"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,037","2,036","2,062","2,057","2,055","2,085","2,075","2,075","2,075","2,101","2,100","2,088","2,115"
"COUNTY JAILS","2,176","1,933","1,933","1,937","1,923","1,919","1,907","1,910","1,910","1,910","1,936","1,942","1,933","1,915"
"COMMUNITY WORK CENTERS","1,816","1,507","1,508","1,540","1,532","1,543","1,526","1,511","1,511","1,511","1,526","1,526","1,518","1,515"
"Alcorn Satellite Facility","92","86","86","90","88","88","88","86","86","86","89","89","90","90"
"Bolivar Satellite Facility","102","73","73","72","72","72","72","70","70","70","71","71","71","71"
"Forrest Satellite Facility","96","88","88","88","88","96","95","95","95","95","95","95","95","95"
"George Satellite Facility","102","91","91","92","92","92","81","80","80","80","80","80","78","76"
"Harrison Satellite Facility","102","68","68","70","68","66","66","64","64","64","66","66","66","67"
"Jackson Satellite Facility","102","67","67","72","71","71","71","73","73","73","74","74","73","73"
"Jefferson Satellite Facility","102","80","80","80","80","80","80","81","81","81","79","79","79","79"
"Leflore Satellite Facility","102","91","91","93","93","92","92","91","91","91","91","91","91","90"
"Madison Satellite Facility","102","101","101","102","101","101","99","102","102","102","102","102","102","102"
"Noxubee Satellite Facility","92","85","85","89","89","92","92","92","92","92","92","92","91","91"
"Pike Satellite Facility","93","40","40","43","43","42","41","41","41","41","41","41","40","40"
"Quitman Satellite Facility","93","73","73","73","73","73","72","72","72","72","72","72","71","71"
"Rankin Satellite Facility","228","226","226","227","227","227","226","221","221","221","227","227","227","227"
"Simpson Satellite Facility","102","89","90","93","92","92","92","89","89","89","92","92","92","91"
"Washington Satellite Facility","102","88","88","91","90","90","91","89","89","89","89","89","88","88"
"Wilkinson Satellite Facility","102","66","66","69","69","69","69","67","67","67","69","69","69","69"
"Yazoo Satellite Facility","102","95","95","96","96","100","99","98","98","98","97","97","95","95"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,739","2,738","2,738","2,736","2,735","2,737","2,743","2,744","2,742","2,742","2,742","2,737","2,746"
"Bolivar County","250","249","249","249","248","248","247","249","250","250","249","249","247","248"
"Carroll County","250","249","249","248","248","248","248","250","250","250","250","250","249","250"
"George County (opened on May 10th)","250","246","246","246","249","250","250","249","249","248","248","249","249","250"
"Holmes County","250","250","250","250","250","250","250","251","251","250","250","250","250","250"
"Issaquena County","250","245","245","250","248","245","249","249","249","249","250","250","249","248"
"Jefferson County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Kemper County","250","250","250","247","246","249","248","250","250","250","249","248","247","250"
"Leake County","250","250","250","250","250","249","249","249","249","249","250","250","250","250"
"Marion County","250","250","249","248","247","247","250","249","249","249","249","249","249","250"
"Stone County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Winston County","250","250","250","250","250","249","246","247","247","247","247","247","247","250"
"PRIVATE PRISONS","3,750","3,411","3,411","3,409","3,448","3,446","3,442","3,438","3,438","3,437","3,445","3,443","3,439","3,437"
"East MS","1,000","725","725","724","724","722","721","721","721","720","722","720","719","718"
"Marshall County","1,000","991","991","991","991","991","996","996","996","996","994","994","993","992"
"Walnut Grove","750","741","741","740","741","742","735","731","731","731","740","740","740","740"
"Wilkinson County","1,000","954","954","954","992","991","990","990","990","990","989","989","987","987"
"RESITITUTION CENTERS","24","16","16","16","16","16","16","13","13","13","16","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","7","7","7","7","7","7","4","4","4","7","7","7","7"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","40","40","3","3","2","3","23","23","23","4","6","7","6"
"TOTALS","21,737","20,493","20,487","20,490","20,491","20,492","20,482","20,494","20,488","20,481","20,489","20,492","20,470","20,478"
