"Location","Capacity","10-Dec-13","11-Dec-13","12-Dec-13","13-Dec-13","14-Dec-13","15-Dec-13","16-Dec-13","17-Dec-13","18-Dec-13"
"Mississippi State Penitentiary","4,648","3,349","3,363","3,362","3,360","3,360","3,359","3,359","3,362","3,348"
"Central Mississippi Correctional Facility","3,557","3,303","3,300","3,287","3,271","3,270","3,267","3,272","3,252","3,244"
"Youthful Offender Unit","42","41","41","41","40","40","40","40","40","40"
"South Mississippi Correctional Institution","3,282","3,184","3,195","3,195","3,199","3,199","3,199","3,200","3,206","3,218"
"County Jails","2,017","2,080","2,077","2,086","2,086","2,086","2,086","2,085","2,083","2,068"
"COMMUNITY WORK CENTERS","1,848","1,372","1,380","1,378","1,374","1,374","1,372","1,358","1,359","1,354"
"Alcorn Satellite Facility","92","92","92","92","92","92","92","89","89","89"
"Bolivar Satellite Facility","102","65","64","64","64","64","64","63","63","63"
"Forrest Satellite Facility","96","75","75","77","77","77","77","77","77","79"
"George Satellite Facility","102","69","70","70","69","69","69","68","68","66"
"Harrison Satellite Facility","102","73","74","74","75","75","75","75","74","74"
"Jackson Satellite Facility","102","63","63","63","63","63","63","62","62","62"
"Jefferson Satellite Facility","102","70","70","70","68","68","68","68","69","71"
"Leflore Satellite Facility","102","67","67","66","66","66","66","65","64","63"
"Madison Satellite Facility","102","70","70","68","70","70","70","68","65","65"
"Noxubee Satellite Facility","92","81","81","80","80","80","79","79","78","78"
"Pike Satellite Facility","93","91","92","92","92","92","92","89","92","90"
"Quitman Satellite Facility","93","89","89","91","91","91","91","89","90","89"
"Rankin Satellite Facility","260","217","218","217","216","216","216","216","219","218"
"Simpson Satellite Facility","102","79","85","83","82","82","82","82","82","82"
"Washington Satellite Facility","102","69","68","66","66","66","66","66","65","65"
"Wilkinson Satellite Facility","102","50","50","53","53","53","52","52","52","50"
"Yazoo Satellite Facility","102","52","52","52","50","50","50","50","50","50"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,421","4,421","4,431","4,436","4,436","4,433","4,427","4,427","4,418"
"Alcorn County","300","279","279","278","278","278","278","278","302","299"
"Bolivar County","369","368","369","369","369","369","369","369","369","369"
"Carroll County","280","280","280","280","280","280","280","280","280","280"
"Chickasaw County","300","300","299","299","298","298","298","297","300","297"
"George County","280","280","280","277","278","278","278","277","277","278"
"Holmes County","280","279","279","280","280","280","280","278","280","279"
"Issaquena County","274","273","274","274","274","274","274","274","274","273"
"Jefferson County","280","279","278","279","278","278","278","278","280","280"
"Kemper County","355","355","354","355","355","355","355","355","355","355"
"Leake County","280","280","280","280","278","277","277","276","276","280"
"Marion County","280","299","299","314","314","315","313","312","278","279"
"Stone County","280","280","280","280","280","280","279","279","279","278"
"Washington County","300","290","290","288","296","296","296","296","298","296"
"Winston County","280","280","280","279","279","279","279","278","279","278"
"Yazoo County","300","299","300","299","299","299","299","300","300","297"
"PRIVATE PRISONS","5,972","4,404","4,410","4,410","4,408","4,405","4,402","4,402","4,402","4,402"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,198","1,200","1,201","1,197","1,196","1,195","1,196","1,198","1,198"
"Marshall County","1,000","1,000","1,000","998","998","998","997","997","996","996"
"Walnut Grove","1,500","1,309","1,308","1,309","1,312","1,311","1,310","1,309","1,309","1,309"
"Wilkinson County","1,000","897","902","902","901","900","900","900","899","899"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","13","13"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","4","4","4","4","4","4","4","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,826","22,166","22,199","22,202","22,186","22,182","22,170","22,155","22,144","22,105"
