"Location","Capacity","10-Jan-08","11-Jan-08","12-Jan-08","13-Jan-08","14-Jan-08","15-Jan-08","16-Jan-08","17-Jan-08","18-Jan-08"
"Mississippi State Penitentiary","4,527","4,310","4,310","4,307","4,306","4,301","4,297","4,284","4,271","4,267"
"Central Mississippi Correctional Facility","3,665","3,510","3,512","3,509","3,507","3,494","3,492","3,493","3,491","3,444"
"South Mississippi Correctional Institution","3,204","3,144","3,118","3,118","3,116","3,110","3,110","3,106","3,106","3,115"
"County Jails","1,586","1,751","1,751","1,751","1,751","1,758","1,781","1,794","1,858","1,872"
"COMMUNITY WORK CENTERS","1,848","1,789","1,669","1,668","1,668","1,777","1,771","1,760","1,755","1,682"
"Alcorn Satellite Facility","92","91","83","83","83","90","90","90","90","81"
"Bolivar Satellite Facility","102","100","89","89","89","93","92","92","92","97"
"Forrest Satellite Facility","96","94","88","88","88","96","96","96","96","90"
"George Satellite Facility","102","100","92","92","92","98","98","98","97","91"
"Harrison Satellite Facility","102","91","86","86","86","91","91","91","91","88"
"Jackson Satellite Facility","102","100","93","93","93","99","98","98","98","89"
"Jefferson Satellite Facility","102","96","86","86","86","93","93","92","92","94"
"Leflore Satellite Facility","102","98","90","90","90","100","99","98","97","90"
"Madison Satellite Facility","102","98","98","98","98","100","100","97","97","96"
"Noxubee Satellite Facility","92","92","82","82","82","92","92","92","91","81"
"Pike Satellite Facility","93","87","77","77","77","86","85","83","84","82"
"Quitman Satellite Facility","93","87","81","81","81","91","91","91","90","83"
"Rankin Satellite Facility","260","257","248","248","248","253","252","252","251","247"
"Simpson Satellite Facility","102","100","94","94","94","100","99","96","96","92"
"Washington Satellite Facility","102","99","92","91","91","97","97","96","96","95"
"Wilkinson Satellite Facility","102","98","90","90","90","97","97","97","96","92"
"Yazoo Satellite Facility","102","101","100","100","100","101","101","101","101","94"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,086","3,084","3,083","3,081","3,077","3,072","3,079","3,074","3,072"
"Bolivar County","294","294","295","295","294","294","294","294","293","294"
"Carroll County","280","281","280","280","280","279","279","279","278","278"
"George County","280","280","280","280","280","280","280","280","279","279"
"Holmes County","280","280","280","280","280","279","279","279","279","278"
"Issaquena County","274","274","272","272","271","270","265","274","272","272"
"Jefferson County","280","280","279","278","278","278","278","277","277","276"
"Kemper County","280","280","280","280","280","280","280","280","280","280"
"Leake County","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","280","280","280","280","279","279","279","279","278"
"Stone County","280","278","279","279","279","279","279","279","279","279"
"Winston County","280","279","279","279","279","279","279","278","278","278"
"PRIVATE PRISONS","4,972","4,798","4,798","4,796","4,794","4,786","4,785","4,781","4,773","4,769"
"Delta","972","971","973","973","972","970","969","969","967","966"
"East Mississippi","1,000","876","875","875","875","874","874","873","872","872"
"Marshall County","1,000","1,000","1,000","999","998","996","996","996","995","993"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","955","954","953","953","951","951","949","946","945"
"Wilkinson County","1,000","996","996","996","996","995","995","994","993","993"
"RESTITUTION CENTERS","16","13","12","12","12","13","13","12","12","12"
"Greenwood","6","6","5","5","5","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","8","122","121","121","6","6","3","3","107"
"TOTALS","22,912","22,414","22,381","22,370","22,361","22,327","22,332","22,317","22,348","22,345"
"","","10-Jan-08","11-Jan-08","12-Jan-08","13-Jan-08","14-Jan-08","15-Jan-08","16-Jan-08","17-Jan-08","18-Jan-08"
