"Location","Capacity","1-Nov-04","2-Nov-04","3-Nov-04","4-Nov-04","5-Nov-04","6-Nov-04","7-Nov-04","8-Nov-04","9-Nov-04","10-Nov-04","11-Nov-04","12-Nov-04","13-Nov-04"
"MS STATE PENITENTIARY","4,760","4,697","4,693","4,671","4,686","4,674","4,673","4,671","4,653","4,647","4,645","4,644","4,653","4,649"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,121","3,126","3,116","3,127","3,119","3,117","3,116","3,110","3,107","3,100","3,097","3,061","3,059"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,166","2,162","2,171","2,169","2,165","2,164","2,163","2,151","2,184","2,174","2,171","2,171","2,170"
"COUNTY JAILS","2,203","1,933","1,950","1,946","1,947","1,953","1,953","1,953","1,937","1,920","1,904","1,903","1,899","1,899"
"COMMUNITY WORK CENTERS","1,816","1,732","1,730","1,722","1,717","1,681","1,679","1,674","1,709","1,697","1,675","1,668","1,609","1,606"
"Alcorn Satellite Facility","92","92","91","91","92","87","87","87","90","90","85","85","79","78"
"Bolivar Satellite Facility","102","98","97","92","93","87","87","86","96","96","97","97","90","89"
"Forrest Satellite Facility","96","93","93","93","92","94","94","94","93","95","96","94","92","92"
"George Satellite Facility","102","102","101","101","101","101","101","101","101","101","98","97","92","92"
"Harrison Satellite Facility","102","97","97","99","96","99","99","99","99","98","97","97","90","90"
"Jackson Satellite Facility","102","100","100","101","101","99","99","99","102","98","97","96","91","92"
"Jefferson Satellite Facility","102","102","100","99","98","95","95","95","97","97","96","96","95","95"
"Leflore Satellite Facility","102","100","101","100","100","99","99","98","99","98","94","92","88","88"
"Madison Satellite Facility","102","100","101","101","100","98","98","98","101","100","96","96","96","96"
"Noxubee Satellite Facility","92","92","92","90","90","86","86","86","89","87","90","90","82","82"
"Pike Satellite Facility","93","57","57","56","56","53","53","53","55","56","55","55","56","56"
"Quitman Satellite Facility","93","83","82","82","82","79","79","79","80","78","76","76","76","76"
"Rankin Satellite Facility","228","220","222","221","223","221","220","218","223","222","222","221","219","217"
"Simpson Satellite Facility","102","100","99","100","99","99","99","99","100","100","100","100","94","94"
"Washington Satellite Facility","102","102","102","101","100","96","95","94","96","94","93","93","92","92"
"Wilkinson Satellite Facility","102","93","93","93","92","86","86","86","88","87","84","84","81","81"
"Yazoo Satellite Facility","102","101","102","102","102","102","102","102","100","100","99","99","96","96"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,729","2,738","2,743","2,742","2,743","2,741","2,740","2,740","2,741","2,741","2,741","2,741","2,740"
"Bolivar County","250","248","250","249","248","250","250","250","249","248","249","249","247","247"
"Carroll County","250","249","248","249","248","248","247","247","250","250","249","249","250","250"
"George County","250","242","249","250","250","249","249","249","248","250","250","250","249","249"
"Holmes County","250","249","249","250","250","250","250","250","250","249","248","248","250","250"
"Issaquena County","250","246","245","250","249","247","246","246","245","250","250","250","250","250"
"Jefferson County","250","248","249","248","248","249","249","248","248","249","248","248","248","248"
"Kemper County","250","249","249","249","249","250","250","250","250","250","249","249","249","249"
"Leake County","250","249","250","250","250","250","250","250","250","250","250","250","250","250"
"Marion County","250","250","250","250","250","250","250","250","250","246","248","248","248","248"
"Stone County","250","249","250","249","250","250","250","250","250","249","250","250","250","249"
"Winston County","250","250","249","249","250","250","250","250","250","250","250","250","250","250"
"PRIVATE PRISONS","5,088","4,734","4,734","4,746","4,732","4,729","4,726","4,726","4,768","4,768","4,753","4,750","4,754","4,750"
"Delta","960","960","960","960","959","956","956","957","957","959","956","956","955","954"
"East MS","1,000","863","862","874","874","873","873","873","872","872","872","871","874","874"
"Marshall County","1,000","994","994","996","993","994","991","991","991","989","992","991","992","991"
"Tallahatchie County","128","86","86","86","86","86","86","86","127","127","127","127","127","127"
"Walnut Grove","1,000","838","837","835","827","827","827","826","828","828","818","817","816","816"
"Wilkinson County","1,000","993","995","995","993","993","993","993","993","993","988","988","990","988"
"RESITITUTION CENTERS","18","13","13","14","14","13","13","13","14","14","14","14","12","12"
"Greenwood","6","6","6","6","6","5","5","5","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","2","2"
"Pascagoula","6","3","3","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","4","4","4","4","44","43","42","4","2","2","3","80","79"
"TOTALS","22,088","21,134","21,155","21,138","21,143","21,126","21,114","21,103","21,091","21,085","21,013","20,996","20,985","20,969"
