"Location","Capacity","28-Jun-07","29-Jun-07","30-Jun-07","","Avg Population"
"Mississippi State Penitentiary","4,534","4,497","4,505","4,501","","4,520"
"Central Mississippi Correctional Facility","3,425","3,428","3,403","3,403","","3,378"
"South Mississippi Correctional Institution","2,684","2,593","2,599","2,598","","2,585"
"County Jails","1,793","1,834","1,833","1,833","","1,858"
"COMMUNITY WORK CENTERS","1,816","1,757","1,780","1,778","","1,726"
"Alcorn Satellite Facility","92","88","88","88","","85"
"Bolivar Satellite Facility","102","100","100","99","","98"
"Forrest Satellite Facility","96","91","95","95","","92"
"George Satellite Facility","102","100","102","102","","100"
"Harrison Satellite Facility","102","98","100","100","","98"
"Jackson Satellite Facility","102","98","101","101","","97"
"Jefferson Satellite Facility","102","102","101","101","","97"
"Leflore Satellite Facility","102","97","102","102","","98"
"Madison Satellite Facility","102","102","102","101","","100"
"Noxubee Satellite Facility","92","91","91","91","","89"
"Pike Satellite Facility","93","90","91","91","","86"
"Quitman Satellite Facility","93","90","89","89","","85"
"Rankin Satellite Facility","228","213","213","213","","206"
"Simpson Satellite Facility","102","102","102","102","","100"
"Washington Satellite Facility","102","98","102","102","","99"
"Wilkinson Satellite Facility","102","98","100","100","","99"
"Yazoo Satellite Facility","102","99","101","101","","99"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,068","3,073","3,070","","3,072"
"Bolivar County","294","292","294","294","","292"
"Carroll County","280","281","281","280","","280"
"George County","280","276","278","278","","278"
"Holmes County","280","280","280","279","","280"
"Issaquena County","274","271","272","271","","274"
"Jefferson County","274","272","273","273","","273"
"Kemper County","280","279","278","278","","279"
"Leake County","280","280","280","280","","279"
"Marion County","280","279","279","279","","279"
"Stone County","280","280","279","279","","280"
"Winston County","280","278","279","279","","279"
"PRIVATE PRISONS","5,100","4,902","4,902","4,898","","4,885"
"Delta","972","971","969","969","","969"
"East Mississippi","1,000","879","880","880","","878"
"Marshall County","1,000","994","994","992","","993"
"Tallahatchie County","128","128","128","128","","128"
"Walnut Grove","1,000","958","957","956","","950"
"Wilkinson County","1,000","972","974","973","","967"
"RESTITUTION CENTERS","16","12","12","12","","10"
"Greenwood","6","3","3","3","","4"
"Hinds","6","6","6","6","","4"
"Pascagoula","4","3","3","3","","3"
"GOVERNOR'S MANSION","6","5","5","5","","5"
"E-CODE","","14","17","17","","38"
"TOTALS","22,456","22,110","22,129","22,115","","22,077"
