"Location","Capacity","19-Jul-11","20-Jul-11","21-Jul-11","22-Jul-11","23-Jul-11","24-Jul-11","25-Jul-11","26-Jul-11","27-Jul-11"
"Mississippi State Penitentiary","3,356","3,097","3,109","3,105","3,103","3,104","3,103","3,094","3,101","3,105"
"Central Mississippi Correctional Facility","3,449","3,277","3,276","3,264","3,244","3,245","3,248","3,268","3,251","3,258"
"South Mississippi Correctional Institution","3,204","3,141","3,139","3,131","3,140","3,137","3,135","3,133","3,142","3,135"
"County Jails","1,629","1,786","1,796","1,830","1,851","1,851","1,851","1,847","1,872","1,902"
"COMMUNITY WORK CENTERS","1,848","1,570","1,568","1,587","1,562","1,561","1,561","1,581","1,578","1,575"
"Alcorn Satellite Facility","92","83","83","85","82","82","82","84","84","84"
"Bolivar Satellite Facility","102","71","71","71","71","71","71","71","71","70"
"Forrest Satellite Facility","96","89","89","92","90","90","90","91","90","90"
"George Satellite Facility","102","81","81","81","77","77","77","80","80","85"
"Harrison Satellite Facility","102","85","85","85","82","82","82","85","84","89"
"Jackson Satellite Facility","102","84","85","89","88","88","88","89","89","89"
"Jefferson Satellite Facility","102","83","83","83","82","82","82","82","82","81"
"Leflore Satellite Facility","102","84","83","81","81","81","81","81","80","80"
"Madison Satellite Facility","102","87","87","99","95","95","95","97","96","95"
"Noxubee Satellite Facility","92","91","89","90","84","84","84","89","89","89"
"Pike Satellite Facility","93","93","93","93","92","92","92","92","93","93"
"Quitman Satellite Facility","93","91","90","93","92","91","91","90","91","87"
"Rankin Satellite Facility","260","200","201","200","199","199","199","199","199","197"
"Simpson Satellite Facility","102","95","95","95","96","96","96","96","98","98"
"Washington Satellite Facility","102","91","92","92","89","89","89","92","92","87"
"Wilkinson Satellite Facility","102","74","74","74","78","78","78","77","77","76"
"Yazoo Satellite Facility","102","88","87","84","84","84","84","86","83","85"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,274","3,272","3,272","3,276","3,274","3,270","3,274","3,273","3,264"
"Alcorn County","300","250","249","250","251","251","251","251","251","251"
"Bolivar County","294","235","235","235","235","235","235","235","235","234"
"Carroll County","280","224","223","223","224","224","224","224","224","224"
"Chickasaw County","300","247","246","246","246","246","245","249","249","250"
"George County","280","224","224","224","223","223","223","223","224","223"
"Holmes County","280","223","224","224","221","221","221","224","224","222"
"Issaquena County","274","216","216","216","219","219","219","219","219","217"
"Jefferson County","280","224","223","223","224","224","224","224","223","219"
"Kemper County","355","284","283","285","285","284","283","284","284","284"
"Leake County","280","223","224","224","228","228","228","222","220","224"
"Marion County","280","224","224","224","224","223","223","224","224","224"
"Stone County","280","223","224","224","223","223","222","224","225","225"
"Winston County","280","223","224","223","223","223","223","223","223","223"
"Yazoo County","300","254","253","251","250","250","249","248","248","244"
"PRIVATE PRISONS","5,972","5,102","5,107","5,103","5,103","5,099","5,098","5,111","5,140","5,144"
"Delta","972","899","901","898","897","897","897","898","900","900"
"East Mississippi","1,500","1,349","1,348","1,347","1,351","1,349","1,349","1,348","1,354","1,353"
"Marshall County","1,000","998","997","997","997","995","994","1,000","999","998"
"Walnut Grove","1,500","972","975","975","972","972","972","971","991","1,001"
"Wilkinson County","1,000","884","886","886","886","886","886","894","896","892"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","9","9","9"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","3","3","3"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","11","10","4","32","32","30","5","5","3"
"TOTALS","23,543","21,273","21,292","21,311","21,326","21,318","21,311","21,327","21,376","21,400"
"","","19-Jul-11","20-Jul-11","21-Jul-11","22-Jul-11","23-Jul-11","24-Jul-11","25-Jul-11","26-Jul-11","27-Jul-11"
