"Location","Capacity","1-Dec-04","2-Dec-04","3-Dec-04","4-Dec-04","5-Dec-04","6-Dec-04","7-Dec-04","8-Dec-04","9-Dec-04","10-Dec-04","11-Dec-04","12-Dec-04","13-Dec-04"
"MS STATE PENITENTIARY","4,760","4,675","4,667","4,671","4,669","4,668","4,661","4,677","4,666","4,650","4,632","4,629","4,627","4,629"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,082","3,096","3,075","3,073","3,071","3,043","3,027","3,043","3,059","3,072","3,073","3,073","3,065"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,148","2,148","2,142","2,142","2,143","2,151","2,150","2,140","2,134","2,115","2,114","2,113","2,113"
"COUNTY JAILS","2,295","1,895","1,900","1,921","1,921","1,921","1,950","1,950","1,954","1,962","1,945","1,945","1,945","1,950"
"COMMUNITY WORK CENTERS","1,816","1,708","1,709","1,704","1,698","1,697","1,710","1,705","1,689","1,708","1,719","1,716","1,714","1,718"
"Alcorn Satellite Facility","92","88","88","88","88","88","88","88","87","87","88","88","88","88"
"Bolivar Satellite Facility","102","91","91","89","89","89","92","96","96","96","100","100","100","100"
"Forrest Satellite Facility","96","96","96","95","94","94","92","92","94","95","95","95","95","95"
"George Satellite Facility","102","101","101","99","98","98","98","98","101","101","101","101","101","99"
"Harrison Satellite Facility","102","101","102","101","101","101","102","101","101","102","102","102","102","102"
"Jackson Satellite Facility","102","99","100","102","102","102","102","100","98","102","102","102","101","101"
"Jefferson Satellite Facility","102","99","97","96","96","96","99","100","98","99","99","99","99","98"
"Leflore Satellite Facility","102","101","101","100","99","99","99","100","100","102","101","101","101","101"
"Madison Satellite Facility","102","101","101","102","101","101","102","102","101","100","102","102","102","102"
"Noxubee Satellite Facility","92","90","90","90","90","90","92","92","89","90","89","88","89","87"
"Pike Satellite Facility","93","56","56","56","56","56","56","56","55","58","60","60","60","60"
"Quitman Satellite Facility","93","76","78","78","78","78","78","69","71","74","75","74","74","73"
"Rankin Satellite Facility","228","223","222","224","223","223","225","225","217","224","224","223","223","222"
"Simpson Satellite Facility","102","102","102","102","102","102","102","102","99","94","102","102","102","102"
"Washington Satellite Facility","102","97","97","98","97","97","101","101","100","100","100","100","99","99"
"Wilkinson Satellite Facility","102","85","85","83","83","83","83","84","83","83","83","83","83","92"
"Yazoo Satellite Facility","102","102","102","101","101","100","99","99","99","101","96","96","95","97"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,741","2,740","2,740","2,737","2,736","2,736","2,741","2,737","2,734","2,736","2,735","2,734","2,736"
"Bolivar County","250","250","248","248","247","247","248","250","249","250","250","250","250","250"
"Carroll County","250","249","249","250","250","250","250","249","250","250","250","250","250","250"
"George County","250","250","250","250","250","250","250","250","247","244","246","246","246","248"
"Holmes County","250","250","249","250","248","248","250","250","250","250","249","249","248","249"
"Issaquena County","250","246","247","246","246","245","243","248","247","247","247","247","247","246"
"Jefferson County","250","249","249","249","249","249","249","249","248","247","247","247","247","247"
"Kemper County","250","249","249","250","250","250","250","249","250","249","249","248","248","250"
"Leake County","250","250","250","249","249","249","250","250","250","250","250","250","250","250"
"Marion County","250","248","250","250","250","250","247","247","248","249","249","249","249","249"
"Stone County","250","250","250","250","250","250","250","250","249","248","249","249","249","248"
"Winston County","250","250","249","248","248","248","249","249","249","250","250","250","250","249"
"PRIVATE PRISONS","5,088","4,750","4,757","4,752","4,752","4,750","4,748","4,759","4,764","4,767","4,772","4,768","4,767","4,767"
"Delta","960","955","958","956","956","956","955","954","957","956","957","956","956","959"
"East MS","1,000","874","873","873","873","873","871","871","870","874","874","874","874","874"
"Marshall County","1,000","990","993","995","995","993","993","994","993","995","995","995","995","991"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","820","820","818","818","818","822","829","835","830","837","836","835","833"
"Wilkinson County","1,000","983","985","982","982","982","979","983","981","984","981","979","979","982"
"RESITITUTION CENTERS","18","14","14","15","15","15","15","15","13","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","4","4","4","4","4","4"
"Hinds","6","4","4","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","4","4","4","5","4","4","4","4","6","6","6","7","6"
"TOTALS","22,180","21,022","21,040","21,029","21,017","21,010","21,023","21,033","21,015","21,038","21,015","21,004","20,998","21,002"
"","","1-Dec-04","2-Dec-04","3-Dec-04","4-Dec-04","5-Dec-04","6-Dec-04","7-Dec-04","8-Dec-04","9-Dec-04","10-Dec-04","11-Dec-04","12-Dec-04","13-Dec-04"
