"Location","Capacity","20-Sep-16","21-Sep-16","22-Sep-16","23-Sep-16","24-Sep-16","25-Sep-16","26-Sep-16","27-Sep-16"
"Mississippi State Penitentiary","3,590","3,380","3,373","3,384","3,400","3,398","3,398","3,395","3,386"
"Central Mississippi Correctional Facility","3,818","3,490","3,499","3,496","3,458","3,460","3,458","3,505","3,528"
"Youthful Offender Unit","58","37","37","38","38","38","38","36","36"
"CMCF TVC","","3","3","3","3","3","3","3","3"
"South Mississippi Correctional Institution","3,082","2,979","2,980","2,987","2,991","2,991","2,991","2,990","2,981"
"County Jails","1,781","1,397","1,374","1,369","1,398","1,398","1,398","1,373","1,404"
"COMMUNITY WORK CENTERS","1,348","996","985","986","993","991","985","990","973"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","65","65","65","65","65","65","64","64"
"George Satellite Facility","102","83","83","83","80","80","80","83","82"
"Harrison Satellite Facility","102","57","57","53","53","53","52","52","51"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","54","51","51","57","57","55","55","50"
"Leflore TVC Support","20","18","18","17","14","14","14","16","16"
"Madison Satellite Facility","102","74","75","74","73","71","71","71","70"
"Noxubee Satellite Facility","92","77","74","77","74","74","74","77","75"
"Pike Satellite Facility","93","88","87","87","84","84","84","87","88"
"Quitman Satellite Facility","93","77","76","79","79","79","78","74","73"
"Rankin Satellite Facility","182","155","154","153","155","155","155","155","152"
"Rankin RID","28","7","7","7","7","7","7","7","7"
"Flowood TVC","50","30","29","28","28","28","28","28","27"
"Simpson TVC","82","55","53","52","64","64","63","63","60"
"Simpson TVC Support","20","10","10","14","14","14","13","13","13"
"Washington Satellite Facility","102","77","77","79","79","79","79","79","79"
"Wilkinson Satellite Facility","102","69","69","67","67","67","67","66","66"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,951","3,948","3,950","3,951","3,949","3,949","3,953","3,948"
"Alcorn County","300","267","271","270","270","270","270","269","269"
"Bolivar County","369","293","290","291","290","290","290","289","291"
"Carroll County","280","269","268","270","270","269","269","269","270"
"Chickasaw County","300","269","269","270","270","270","270","270","270"
"George County","280","268","267","265","266","266","266","267","268"
"Holmes County","280","266","266","269","268","267","267","268","268"
"Issaquena County","274","266","269","269","269","269","269","269","268"
"Jefferson County","280","270","269","270","268","268","268","268","268"
"Kemper County","355","278","279","279","279","279","279","280","277"
"Leake County","280","200","200","199","199","199","199","200","199"
"Marion County","280","270","269","269","269","269","269","269","269"
"Stone County","280","269","269","269","270","270","270","270","269"
"Washington County","300","228","228","227","227","227","227","225","225"
"Winston County","280","268","264","263","269","269","269","270","267"
"Yazoo County","300","270","270","270","267","267","267","270","270"
"PRIVATE PRISONS","5,972","3,043","3,058","3,056","3,073","3,069","3,069","3,071","3,065"
"Delta","972","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,152","1,167","1,166","1,166","1,166","1,166","1,168","1,164"
"Marshall County","1,000","992","992","992","999","998","998","999","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","899","899","898","908","905","905","904","902"
"RESTITUTION CENTERS","16","11","13","11","12","12","12","9","12"
"Greenwood","6","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","5","5","5","2","5"
"Pascagoula","4","2","4","2","2","2","2","2","2"
"TOTALS","24,103","19,287","19,270","19,280","19,317","19,309","19,301","19,325","19,336"
"","","20-Sep-16","21-Sep-16","22-Sep-16","23-Sep-16","24-Sep-16","25-Sep-16","26-Sep-16","27-Sep-16"
