"Location","Capacity","28-Jan-09","29-Jan-09","30-Jan-09","31-Jan-09","","Avg Population"
"Mississippi State Penitentiary","4,627","4,084","4,086","4,094","4,094","","4,052"
"Central Mississippi Correctional Facility","3,665","3,470","3,476","3,490","3,492","","3,498"
"South Mississippi Correctional Institution","3,204","3,144","3,144","3,135","3,132","","3,133"
"County Jails","1,722","1,746","1,730","1,718","1,718","","1,751"
"COMMUNITY WORK CENTERS","1,848","1,779","1,775","1,732","1,726","","1,750"
"Alcorn Satellite Facility","92","88","85","83","83","","87"
"Bolivar Satellite Facility","102","99","99","99","98","","97"
"Forrest Satellite Facility","96","95","95","94","93","","94"
"George Satellite Facility","102","100","100","99","99","","98"
"Harrison Satellite Facility","102","102","102","102","102","","99"
"Jackson Satellite Facility","102","102","101","100","100","","98"
"Jefferson Satellite Facility","102","94","94","89","89","","94"
"Leflore Satellite Facility","102","97","97","96","96","","95"
"Madison Satellite Facility","102","102","102","100","99","","99"
"Noxubee Satellite Facility","92","88","92","90","90","","87"
"Pike Satellite Facility","93","86","86","85","85","","88"
"Quitman Satellite Facility","93","84","85","84","84","","86"
"Rankin Satellite Facility","260","253","252","244","243","","247"
"Simpson Satellite Facility","102","96","95","87","87","","93"
"Washington Satellite Facility","102","97","97","93","93","","96"
"Wilkinson Satellite Facility","102","98","96","94","92","","94"
"Yazoo Satellite Facility","102","98","97","93","93","","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,929","2,938","2,942","2,941","","2,997"
"Bolivar County","294","277","278","279","279","","280"
"Carroll County","280","263","268","268","268","","274"
"George County","280","266","266","266","266","","272"
"Holmes County","280","272","272","272","272","","276"
"Issaquena County","274","255","258","259","259","","262"
"Jefferson County","280","266","266","266","266","","273"
"Kemper County","280","266","266","266","266","","273"
"Leake County","280","266","266","266","266","","270"
"Marion County","280","267","267","267","267","","271"
"Stone County","280","266","266","266","265","","274"
"Winston County","280","265","265","267","267","","272"
"PRIVATE PRISONS","5,972","5,484","5,496","5,501","5,495","","5,490"
"Delta","972","949","954","954","953","","955"
"East Mississippi","1,500","1,363","1,363","1,364","1,362","","1,359"
"Marshall County","1,000","979","982","982","982","","981"
"Walnut Grove","1,500","1,221","1,222","1,225","1,222","","1,222"
"Wilkinson County","1,000","972","975","976","976","","974"
"RESTITUTION CENTERS","16","10","14","14","14","","11"
"Greenwood","6","5","5","5","5","","4"
"Hinds","6","3","6","6","6","","4"
"Pascagoula","4","2","3","3","3","","3"
"GOVERNOR'S MANSION","6","6","6","6","6","","6"
"E-CODE","0","7","7","46","48","","34"
"TOTALS","24,148","22,659","22,672","22,678","22,666","","22,723"
"","","28-Jan-09","29-Jan-09","30-Jan-09","31-Jan-09","",""
