"Location","Capacity","","27-May-03 28-May-03","29-May-03","30-May-03","31-May-03"
"MS STATE PENITENTIARY","5,768","5,711","5,725","5,713","5,692","5,691"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,164","3,165","3,158","3,167","3,168"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,147","2,145","2,165","2,142","2,142"
"COUNTY JAILS","2,133","2,069","2,079","2,094","2,094","2,094"
"COMMUNITY WORK CENTERS","1,350","1,289","1,295","1,305","1,232","1,232"
"Alcorn Satellite Facility","75","74","74","74","68","68"
"Bolivar Satellite Facility","75","75","75","72","68","68"
"Forrest Satellite Facility","75","74","74","74","68","68"
"George Satellite Facility","75","75","74","74","71","71"
"Harrison Satellite Facility","75","75","75","74","67","67"
"Jackson Satellite Facility","75","71","75","75","73","73"
"Jefferson Satellite Facility","75","73","75","75","73","73"
"Leflore Satellite Facility","75","71","71","75","73","73"
"Madison Satellite Facility","75","73","75","75","73","73"
"Noxubee Satellite Facility","75","72","72","72","64","64"
"Pike Satellite Facility","75","60","61","61","58","58"
"Quitman Satellite Facility","75","54","52","64","59","59"
"Rankin Satellite Facility","150","147","147","147","142","142"
"Simpson Satellite Facility","75","73","73","73","69","69"
"Washington Satellite Facility","75","73","73","72","66","66"
"Wilkinson Satellite Facility","75","74","74","74","71","71"
"Yazoo Satellite Facility","75","75","75","74","69","69"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,577","2,574","2,577","2,583","2,583"
"Bolivar County","250","235","234","233","235","235"
"Carroll County","250","235","235","235","236","236"
"George County (opened on May 10th)","250","235","234","234","234","234"
"Holmes County","250","235","235","235","235","235"
"Issaquena County","250","234","234","236","235","235"
"Jefferson County","250","234","234","234","235","235"
"Kemper County","250","236","235","236","236","236"
"Leake County","250","234","234","234","235","235"
"Marion County","250","232","230","234","234","234"
"Stone County","250","233","235","234","234","234"
"Winston County","250","234","234","232","234","234"
"PRIVATE PRISONS","3,750","3,376","3,374","3,360","3,376","3,376"
"East MS","1,000","681","680","683","683","683"
"Marshall County","1,000","986","985","969","983","983"
"Walnut Grove","750","716","716","716","716","716"
"Wilkinson County","1,000","993","993","992","994","994"
"RESITITUTION CENTERS","24","18","18","18","18","18"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","10","10","10","10","10"
"Pascagoula","6","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","5","5"
"E-CODE","","4","4","6","79","77"
"TOTALS","21,228","20,361","20,385","20,402","20,388","20,386"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","","27-May-03 28-May-03","29-May-03","30-May-03","31-May-03"
