"Location","Capacity","28-Jan-07","29-Jan-07","30-Jan-07","31-Jan-07","","Avg Population"
"Mississippi State Penitentiary","4,534","4,505","4,519","4,514","0","","4,507"
"Central Mississippi Correctional Facility","3,381","3,384","3,381","3,389","0","","3,364"
"South Mississippi Correctional Institution","2,404","2,288","2,268","2,258","0","","2,285"
"County Jails","1,744","1,809","1,809","1,813","0","","1,846"
"COMMUNITY WORK CENTERS","1,816","1,674","1,749","1,754","0","","1,714"
"Alcorn Satellite Facility","92","81","91","91","0","","88"
"Bolivar Satellite Facility","102","94","97","98","0","","97"
"Forrest Satellite Facility","96","86","94","94","0","","93"
"George Satellite Facility","102","96","100","98","0","","99"
"Harrison Satellite Facility","102","92","94","100","0","","98"
"Jackson Satellite Facility","102","94","101","101","0","","97"
"Jefferson Satellite Facility","102","100","101","100","0","","97"
"Leflore Satellite Facility","102","97","98","100","0","","99"
"Madison Satellite Facility","102","92","98","102","0","","96"
"Noxubee Satellite Facility","92","82","91","90","0","","88"
"Pike Satellite Facility","93","88","90","90","0","","86"
"Quitman Satellite Facility","93","82","83","82","0","","81"
"Rankin Satellite Facility","228","205","208","207","0","","207"
"Simpson Satellite Facility","102","97","102","102","0","","96"
"Washington Satellite Facility","102","95","99","99","0","","99"
"Wilkinson Satellite Facility","102","101","100","98","0","","96"
"Yazoo Satellite Facility","102","92","102","102","0","","97"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,052","3,055","3,074","0","","3,061"
"Bolivar County","294","289","294","294","0","","292"
"Carroll County","280","280","280","280","0","","278"
"George County","280","279","274","276","0","","278"
"Holmes County","280","280","280","280","0","","279"
"Issaquena County","274","273","267","274","0","","272"
"Jefferson County","274","263","266","275","0","","271"
"Kemper County","280","274","275","280","0","","278"
"Leake County","280","280","280","279","0","","279"
"Marion County","280","280","279","279","0","","279"
"Stone County","280","278","280","279","0","","277"
"Winston County","280","276","280","278","0","","279"
"PRIVATE PRISONS","5,100","4,837","4,836","4,828","0","","4,849"
"Delta","972","969","969","968","0","","968"
"East Mississippi","1,000","850","847","852","0","","853"
"Marshall County","1,000","991","988","993","0","","993"
"Tallahatchie County","128","128","128","128","0","","128"
"Walnut Grove","1,000","939","951","934","0","","945"
"Wilkinson County","1,000","960","953","953","0","","962"
"RESTITUTION CENTERS","16","12","12","12","0","","12"
"Greenwood","6","3","3","3","0","","3"
"Hinds","6","6","6","6","0","","6"
"Pascagoula","4","3","3","3","0","","3"
"GOVERNOR'S MANSION","6","5","5","5","0","","5"
"E-CODE","","80","5","8","0","","34"
"TOTALS","22,083","21,646","21,639","21,655","0","","21,677"
"","","28-Jan-07","29-Jan-07","30-Jan-07","31-Jan-07","",""
