"Location","Capacity","11-Sep-16","12-Sep-16","13-Sep-16","14-Sep-16","15-Sep-16","16-Sep-16","17-Sep-16","18-Sep-16","19-Sep-16"
"Mississippi State Penitentiary","3,590","3,353","3,370","3,372","3,383","3,382","3,385","3,384","3,383","3,379"
"Central Mississippi Correctional Facility","3,818","3,396","3,406","3,442","3,465","3,472","3,472","3,442","3,439","3,459"
"Youthful Offender Unit","58","35","35","36","37","37","37","37","37","37"
"CMCF TVC","","21","21","9","9","9","9","5","5","5"
"South Mississippi Correctional Institution","3,082","2,972","2,968","2,974","2,985","2,983","2,983","2,983","2,983","2,974"
"County Jails","1,781","1,441","1,456","1,432","1,406","1,397","1,397","1,392","1,392","1,405"
"COMMUNITY WORK CENTERS","1,348","1,003","1,015","1,021","1,006","993","993","1,007","1,002","997"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","71","71","71","69","62","62","64","64","65"
"George Satellite Facility","102","82","83","83","83","85","85","83","83","83"
"Harrison Satellite Facility","102","61","61","60","59","58","58","57","57","57"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","63","62","58","56","54","54","59","56","57"
"Leflore TVC Support","20","18","18","18","18","18","18","18","18","18"
"Madison Satellite Facility","102","66","69","68","69","71","71","74","74","74"
"Noxubee Satellite Facility","92","84","85","81","80","77","77","77","77","77"
"Pike Satellite Facility","93","87","87","87","87","85","85","89","89","88"
"Quitman Satellite Facility","93","71","71","71","73","79","79","78","78","76"
"Rankin Satellite Facility","182","156","158","156","157","157","157","155","155","155"
"Rankin RID","28","7","7","7","7","7","7","7","7","7"
"Flowood TVC","50","18","17","28","27","27","27","30","30","30"
"Simpson TVC","82","67","65","63","60","57","57","61","59","55"
"Simpson TVC Support","20","12","12","12","12","10","10","10","10","10"
"Washington Satellite Facility","102","74","77","87","78","76","76","76","76","76"
"Wilkinson Satellite Facility","102","66","72","71","71","70","70","69","69","69"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,858","3,891","3,925","3,946","3,956","3,956","3,952","3,952","3,952"
"Alcorn County","300","263","270","269","269","268","268","268","268","267"
"Bolivar County","369","292","292","294","292","291","291","290","290","293"
"Carroll County","280","236","245","254","263","270","270","270","270","269"
"Chickasaw County","300","267","266","266","265","270","270","269","269","269"
"George County","280","253","261","266","265","267","267","265","265","269"
"Holmes County","280","258","269","269","270","269","269","268","268","266"
"Issaquena County","274","269","269","268","271","269","269","268","268","267"
"Jefferson County","280","261","261","259","264","269","269","269","269","270"
"Kemper County","355","280","278","280","275","277","277","276","276","278"
"Leake County","280","197","196","195","199","201","201","200","200","200"
"Marion County","280","269","269","269","269","270","270","270","270","270"
"Stone County","280","271","271","271","272","271","271","271","271","269"
"Washington County","300","216","215","233","233","230","230","230","230","228"
"Winston County","280","266","263","267","271","270","270","269","269","268"
"Yazoo County","300","260","266","265","268","264","264","269","269","269"
"PRIVATE PRISONS","5,972","3,167","3,112","3,054","3,025","3,030","3,030","3,050","3,050","3,047"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,152","1,148","1,147","1,144","1,152","1,152","1,159","1,159","1,155"
"Marshall County","1,000","994","994","994","994","992","992","992","992","993"
"Walnut Grove","1,500","125","75","24","0","0","0","0","0","0"
"Wilkinson County","1,000","896","895","889","887","886","886","899","899","899"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","10","10","11"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","4","4","4","4","4","4","3","3","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"TOTALS","24,103","19,257","19,285","19,276","19,273","19,270","19,273","19,262","19,253","19,266"
