"Location","Capacity","","19-Oct-04 20-Oct-04 21-Oct-04 22-Oct-04 23-Oct-04 24-Oct-04 25-Oct-04 26-Oct-04 27-Oct-04 28-Oct-04 29-Oct-04 30-Oct-04 31-Oct-04","","","","","","","","","","",""
"MS STATE PENITENTIARY","4,760","4,781","4,773","4,793","4,784","4,779","4,778","4,715","4,741","4,724","4,729","4,718","4,713","4,708"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,135","3,161","3,148","3,140","3,137","3,135","3,165","3,174","3,188","3,173","3,162","3,160","3,159"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,181","2,189","2,189","2,183","2,180","2,180","2,174","2,173","2,169","2,156","2,163","2,169","2,168"
"COUNTY JAILS","2,203","2,018","2,000","2,001","2,007","2,007","2,007","1,986","1,966","1,946","1,951","1,949","1,949","1,949"
"COMMUNITY WORK CENTERS","1,816","1,694","1,695","1,698","1,639","1,639","1,640","1,697","1,696","1,710","1,714","1,681","1,679","1,678"
"Alcorn Satellite Facility","92","92","92","92","90","90","90","92","92","92","92","87","87","87"
"Bolivar Satellite Facility","102","96","96","96","86","86","86","95","95","101","101","100","100","100"
"Forrest Satellite Facility","96","92","93","95","89","89","89","95","94","94","94","92","92","92"
"George Satellite Facility","102","99","98","96","93","93","93","95","96","96","96","95","95","95"
"Harrison Satellite Facility","102","88","88","88","87","87","87","87","87","92","93","92","92","92"
"Jackson Satellite Facility","102","98","98","98","94","94","94","99","100","99","98","96","96","96"
"Jefferson Satellite Facility","102","101","100","101","98","98","98","101","101","101","101","98","98","98"
"Leflore Satellite Facility","102","95","95","100","95","95","95","101","101","101","100","96","96","96"
"Madison Satellite Facility","102","101","101","101","100","100","100","100","101","101","100","102","102","101"
"Noxubee Satellite Facility","92","90","90","90","90","90","90","92","91","91","90","88","88","88"
"Pike Satellite Facility","93","59","58","57","54","54","54","54","53","58","58","56","56","56"
"Quitman Satellite Facility","93","83","85","84","82","82","82","83","83","83","83","81","81","81"
"Rankin Satellite Facility","228","219","218","219","216","216","216","218","219","219","219","216","214","214"
"Simpson Satellite Facility","102","100","102","102","96","96","97","101","101","99","100","100","100","100"
"Washington Satellite Facility","102","88","87","87","88","88","88","95","96","96","102","99","99","99"
"Wilkinson Satellite Facility","102","93","92","91","88","88","88","88","85","85","85","82","82","82"
"Yazoo Satellite Facility","102","100","102","101","93","93","93","101","101","102","102","101","101","101"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,747","2,742","2,742","2,743","2,741","2,740","2,745","2,743","2,743","2,739","2,748","2,736","2,735"
"Bolivar County","250","250","250","248","249","249","249","249","248","248","250","249","249","249"
"Carroll County","250","249","248","250","250","250","250","250","250","250","247","250","250","250"
"George County","250","250","249","249","250","250","249","249","250","250","250","250","242","241"
"Holmes County","250","249","249","249","249","249","249","250","250","250","250","250","249","249"
"Issaquena County","250","250","247","246","249","249","249","250","248","247","246","250","250","250"
"Jefferson County","250","250","250","250","250","250","250","250","250","250","249","249","248","248"
"Kemper County","250","249","249","250","248","247","247","249","249","250","250","250","250","250"
"Leake County","250","250","250","250","250","250","250","250","250","249","250","250","250","250"
"Marion County","250","250","250","250","250","250","250","249","250","250","250","250","250","250"
"Stone County","250","250","250","250","249","248","248","250","249","250","249","250","249","249"
"Winston County","250","250","250","250","249","249","249","249","249","249","248","250","249","249"
"PRIVATE PRISONS","5,088","4,629","4,628","4,620","4,626","4,623","4,623","4,686","4,689","4,695","4,691","4,687","4,683","4,683"
"Delta","960","960","960","957","957","956","956","957","959","957","957","957","957","957"
"East MS","1,000","865","864","864","861","860","860","860","860","868","868","866","865","865"
"Marshall County","1,000","994","994","992","995","995","995","994","994","993","993","992","991","991"
"Tallahatchie County","128","0","0","0","0","0","0","56","56","56","56","56","56","56"
"Walnut Grove","1,000","815","815","813","820","820","820","824","826","827","825","828","827","827"
"Wilkinson County","1,000","995","995","994","993","992","992","995","994","994","992","988","987","987"
"RESITITUTION CENTERS","18","13","13","13","13","13","13","13","12","12","13","13","13","13"
"Greenwood","6","5","5","5","5","5","5","5","5","5","6","6","6","6"
"Hinds","6","5","5","5","5","5","5","5","4","4","4","4","4","4"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","2","4","2","71","71","71","7","8","8","7","46","45","45"
"TOTALS","22,088","21,205","21,210","21,211","21,211","21,195","21,192","21,193","21,207","21,200","21,178","21,172","21,152","21,143"
"","","","19-Oct-04 20-Oct-04 21-Oct-04 22-Oct-04 23-Oct-04 24-Oct-04 25-Oct-04 26-Oct-04 27-Oct-04 28-Oct-04 29-Oct-04 30-Oct-04 31-Oct-04","","","","","","","","","","",""
