"Location","Capacity","1-Aug-12","2-Aug-12","3-Aug-12","4-Aug-12","5-Aug-12","6-Aug-12","7-Aug-12","8-Aug-12","9-Aug-12"
"Mississippi State Penitentiary","4,648","3,343","3,337","3,347","3,346","3,344","3,340","3,337","3,354","3,356"
"Central Mississippi Correctional Facility","3,665","3,186","3,184","3,193","3,190","3,191","3,205","3,255","3,232","3,246"
"South Mississippi Correctional Institution","3,282","3,199","3,212","3,210","3,209","3,208","3,209","3,215","3,212","3,215"
"County Jails","1,736","2,004","2,018","2,043","2,043","2,043","2,049","2,059","2,054","2,064"
"COMMUNITY WORK CENTERS","1,848","1,603","1,603","1,590","1,588","1,589","1,607","1,598","1,604","1,597"
"Alcorn Satellite Facility","92","91","91","92","92","92","92","92","92","90"
"Bolivar Satellite Facility","102","80","80","75","75","75","76","74","73","74"
"Forrest Satellite Facility","96","82","81","80","80","80","80","80","80","78"
"George Satellite Facility","102","79","79","79","79","79","80","78","85","85"
"Harrison Satellite Facility","102","82","81","77","77","77","80","80","79","78"
"Jackson Satellite Facility","102","82","81","81","80","81","80","81","81","80"
"Jefferson Satellite Facility","102","75","74","79","79","79","79","77","77","76"
"Leflore Satellite Facility","102","83","83","80","80","80","82","79","79","79"
"Madison Satellite Facility","102","97","95","97","97","97","96","95","95","95"
"Noxubee Satellite Facility","92","78","78","76","76","76","78","79","81","83"
"Pike Satellite Facility","93","93","93","92","92","92","93","93","91","92"
"Quitman Satellite Facility","93","91","91","91","90","90","90","90","90","88"
"Rankin Satellite Facility","260","237","239","239","239","239","242","242","247","246"
"Simpson Satellite Facility","102","94","97","91","91","91","98","100","99","99"
"Washington Satellite Facility","102","90","89","88","88","88","89","88","87","87"
"Wilkinson Satellite Facility","102","71","70","73","73","73","72","71","71","71"
"Yazoo Satellite Facility","102","98","101","100","100","100","100","99","97","96"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,341","4,342","4,341","4,338","4,335","4,345","4,346","4,356","4,355"
"Alcorn County","300","299","298","298","297","297","301","301","301","301"
"Bolivar County","369","369","368","368","368","368","368","369","369","369"
"Carroll County","280","280","280","280","280","280","280","278","278","278"
"Chickasaw County","300","300","299","299","298","297","301","301","301","300"
"George County","280","279","280","280","280","280","280","280","280","280"
"Holmes County","280","279","278","278","278","278","279","280","280","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","278","279","278","278","278","279","280","280","280"
"Kemper County","355","339","340","339","338","338","338","340","340","340"
"Leake County","280","279","278","280","280","279","279","279","280","280"
"Marion County","280","280","280","280","280","280","280","279","279","280"
"Stone County","280","280","280","280","280","280","280","280","280","279"
"Washington County","300","229","228","227","227","227","227","225","235","236"
"Winston County","280","277","279","279","279","278","279","280","279","279"
"Yazoo County","300","299","301","301","301","301","300","300","300","299"
"PRIVATE PRISONS","5,972","4,263","4,253","4,247","4,246","4,245","4,239","4,233","4,229","4,222"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,303","1,295","1,288","1,288","1,288","1,288","1,280","1,271","1,264"
"Marshall County","1,000","998","996","995","995","995","992","992","999","999"
"Walnut Grove","1,500","1,056","1,058","1,060","1,060","1,059","1,056","1,056","1,055","1,055"
"Wilkinson County","1,000","906","904","904","903","903","903","905","904","904"
"RESTITUTION CENTERS","16","12","13","11","11","11","13","11","11","11"
"Greenwood","6","5","6","4","4","4","6","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4","4","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","10","11","32","32","33","9","10","10","7"
"TOTALS","25,611","21,961","21,973","22,014","22,003","21,999","22,016","22,064","22,062","22,073"
"","","1-Aug-12","2-Aug-12","3-Aug-12","4-Aug-12","5-Aug-12","6-Aug-12","7-Aug-12","8-Aug-12","9-Aug-12"
