"Location","Capacity","18-Jul-19","19-Jul-19","20-Jul-19","21-Jul-19","22-Jul-19","23-Jul-19","24-Jul-19","25-Jul-19","26-Jul-19","27-Jul-19","28-Jul-19","29-Jul-19","30-Jul-19","31-Jul-19","Avg Population"
"Mississippi State Penitentiary","3,560","3,211","3,221","3,219","3,217","3,215","3,211","3,227","3,223","3,234","3,233","3,233","3,241","3,245","3,237","3,226"
"Central Mississippi Correctional Facility","4,131","3,754","3,745","3,747","3,743","3,765","3,758","3,718","3,738","3,732","3,731","3,731","3,716","3,736","3,728","3753"
"Youthful Offender Unit","58","25","23","23","23","23","23","22","22","23","23","23","23","23","23","25"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,645","2,649","2,649","2,649","2,650","2,648","2,645","2,641","2,647","2,646","2,645","2,647","2,642","2,643","2655"
"County Jails","1,793","1,256","1,258","1,258","1,258","1,211","1,192","1,212","1,196","1,216","1,216","1,216","1,199","1,171","1,213","1262"
"COMMUNITY WORK CENTERS","1,372","1,056","1,094","1,091","1,039","1,043","1,038","1,057","1,055","1,053","1,052","1,050","1,054","1,036","1,042","1050"
"Alcorn Satellite Facility","0","86","82","82","0","0","0","0","0","0","0","0","0","0","0","11"
"Bolivar Satellite Facility","0","319","317","315","0","0","0","0","0","0","0","0","0","0","0","41"
"Delta Satellite Facility","124","86","85","85","82","82","82","82","82","82","82","82","87","87","85","84"
"Delta TVC","324","0","0","0","315","320","310","321","319","318","317","316","315","301","313","271"
"Forrest Satellite Facility","96","0","48","48","84","84","84","83","83","83","83","83","84","84","82","79"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","0","0","0","48","48","49","49","49","48","48","48","48","47","47","37"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","77","75","75","0","0","0","0","0","0","0","0","0","0","0","10"
"Leflore TVC Support","0","49","49","49","0","0","0","0","0","0","0","0","0","0","0","6"
"Madison Satellite Facility","62","81","79","79","75","75","75","73","73","78","78","78","79","79","82","77"
"Noxubee Satellite Facility","58","69","67","67","49","49","49","49","48","48","48","48","48","48","47","52"
"Pike Satellite Facility","93","144","147","146","79","79","78","78","78","77","77","77","78","78","79","87"
"Quitman Satellite Facility","93","13","17","17","67","67","69","69","67","67","67","67","64","64","62","63"
"Rankin Satellite Facility","178","24","24","24","146","146","150","151","149","145","145","145","147","146","143","132"
"Rankin RID","28","0","0","0","17","16","16","15","15","16","16","16","15","15","15","12"
"Flowood TVC","50","0","0","0","24","24","23","32","32","32","32","31","31","29","30","27"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","54","52","52","0","0","0","0","0","0","0","0","0","0","0","7"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","54","52","52","53","53","53","55","60","59","59","59","58","58","57","56"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,288","4,290","4,290","4,289","4,291","4,302","4,306","4,306","4,301","4,301","4,299","4,290","4,307","4,303","4293"
"Alcorn County","300","291","291","291","290","290","300","300","300","300","300","300","300","300","300","296"
"Bolivar County","369","294","293","293","293","291","290","292","293","293","293","293","293","292","294","292"
"Carroll County","280","278","280","280","280","279","279","279","277","277","278","278","276","275","275","276"
"Chickasaw County","310","310","307","307","307","306","310","310","309","309","309","309","309","309","308","309"
"George County","342","323","324","324","324","321","321","325","328","328","328","326","325","329","328","324"
"Holmes County","280","274","275","274","274","274","274","274","279","278","278","278","278","278","279","278"
"Issaquena County","297","312","325","325","325","325","325","323","321","316","316","316","316","315","314","320"
"Jefferson County","280","280","279","279","279","280","279","279","279","280","280","280","278","279","277","279"
"Kemper County","355","349","345","345","345","350","349","351","349","348","348","348","347","349","349","348"
"Leake County","280","280","279","280","280","280","280","280","280","281","280","280","277","276","277","279"
"Marion County","280","279","279","279","279","279","279","278","278","278","278","278","278","280","280","278"
"Stone County","326","279","277","277","277","280","280","280","280","280","280","280","280","278","278","279"
"Washington County","300","160","160","160","160","159","159","159","159","159","159","159","159","169","169","162"
"Winston County","280","279","278","278","278","278","278","277","276","274","274","274","274","278","276","276"
"Yazoo County","300","300","298","298","298","299","299","299","298","300","300","300","300","300","299","298"
"PRIVATE PRISONS","5,472","3,174","3,173","3,171","3,170","3,175","3,186","3,186","3,178","3,182","3,182","3,180","3,175","3,174","3,170","3169"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,256","1,255","1,254","1,253","1,251","1,265","1,263","1,257","1,248","1,248","1,248","1,245","1,245","1,241","1254"
"Marshall County","1,000","997","997","996","996","996","995","995","994","999","999","998","997","998","998","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","921","921","921","921","928","926","928","927","935","935","934","933","931","931","918"
"RESTITUTION CENTERS","10","9","9","9","9","9","9","9","9","8","8","8","9","9","9","9"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","2","2","2","3","3","3","3"
"TRANSITIONAL HOUSING","122","32","32","32","32","32","32","32","33","33","33","33","34","37","37","31"
"Madison","40","1","1","1","1","1","1","1","2","2","2","2","3","4","4","1"
"Noxubee","34","28","28","28","28","28","28","28","28","28","28","28","28","28","28","27"
"Rankin/Flowood","8","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1"
"TOTALS","24,179","19,450","19,494","19,489","19,429","19,414","19,399","19,414","19,401","19,429","19,425","19,418","19,388","19,380","19,405","19474"
"","","18-Jul-19","19-Jul-19","20-Jul-19","21-Jul-19","22-Jul-19","23-Jul-19","24-Jul-19","25-Jul-19","26-Jul-19","27-Jul-19","28-Jul-19","29-Jul-19","30-Jul-19","31-Jul-19","Avg Population"
