"Location","Capacity","28-Nov-14","29-Nov-14","","30-Nov-14 Avg Population"
"Mississippi State Penitentiary","4,648","3,156","3,151","3,151","3,142"
"Central Mississippi Correctional Facility","3,469","2,224","2,224","2,220","2,245"
"Youthful Offender Unit","58","34","34","34","35"
"CMCF TVC","350","84","84","84","97"
"South Mississippi Correctional Institution 3,282","","2,617","2,615","2,614","2,713"
"County Jails","1,973","1,515","1,511","1,511","1,510"
"COMMUNITY WORK CENTERS","1,848","1,103","1,103","1,103","1,086"
"Alcorn Satellite Facility","92","77","77","77","84"
"Bolivar Satellite Facility","102","52","52","52","51"
"Forrest Satellite Facility","96","58","58","58","52"
"George Satellite Facility","102","53","53","53","51"
"Harrison Satellite Facility","102","48","48","48","45"
"Jackson Satellite Facility","102","47","47","47","46"
"Jefferson Satellite Facility","102","47","47","47","44"
"Leflore Satellite Facility","102","53","53","53","52"
"Madison Satellite Facility","102","51","51","51","53"
"Noxubee Satellite Facility","92","68","68","68","65"
"Pike Satellite Facility","93","82","82","82","83"
"Quitman Satellite Facility","93","51","51","51","54"
"Rankin Satellite Facility","260","181","181","181","178"
"Simpson Satellite Facility","102","90","90","90","93"
"Washington Satellite Facility","102","54","54","54","51"
"Wilkinson Satellite Facility","102","40","40","40","41"
"Yazoo Satellite Facility","102","51","51","51","44"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,220","4,220","4,218","4,227"
"Alcorn County","300","300","300","299","298"
"Bolivar County","369","360","360","360","359"
"Carroll County","280","263","263","263","262"
"Chickasaw County","300","300","300","300","299"
"George County","280","262","261","261","264"
"Holmes County","280","265","265","265","263"
"Issaquena County","274","257","256","256","256"
"Jefferson County","280","259","259","259","262"
"Kemper County","355","330","330","330","332"
"Leake County","280","254","254","254","255"
"Marion County","280","276","275","274","277"
"Stone County","280","269","269","269","274"
"Washington County","300","282","282","282","275"
"Winston County","280","264","264","264","265"
"Yazoo County","300","279","282","282","286"
"PRIVATE PRISONS","5,972","4,323","4,320","4,319","4,316"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,178","1,176","1,176","1,186"
"Marshall County","1,000","1,000","999","999","999"
"Walnut Grove","1,500","1,292","1,292","1,291","1,284"
"Wilkinson County","1,000","853","853","853","847"
"RESTITUTION CENTERS","16","6","6","6","7"
"Greenwood","6","3","3","3","3"
"Hinds","6","3","3","3","3"
"Pascagoula","4","0","0","0","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0"
"E-CODE","0","0","0","0","0"
"TOTALS","25,710","19,282","19,268","19,260","19,379"
"","","28-Nov-14","29-Nov-14","30-Nov-14",""
