"Location","Capacity","10-Jan-11","11-Jan-11","12-Jan-11","13-Jan-11","14-Jan-11","15-Jan-11","16-Jan-11","17-Jan-11","18-Jan-11"
"Mississippi State Penitentiary","4,435","3,267","3,266","3,260","3,255","3,244","3,243","3,243","3,242","3,247"
"Central Mississippi Correctional Facility","3,449","3,204","3,210","3,195","3,196","3,201","3,197","3,194","3,191","3,149"
"South Mississippi Correctional Institution","3,204","3,160","3,155","3,148","3,140","3,117","3,115","3,115","3,114","3,149"
"County Jails","1,543","1,569","1,565","1,589","1,625","1,647","1,647","1,647","1,654","1,616"
"COMMUNITY WORK CENTERS","1,848","1,495","1,487","1,471","1,465","1,391","1,390","1,389","1,456","1,460"
"Alcorn Satellite Facility","92","73","71","70","70","65","65","65","70","69"
"Bolivar Satellite Facility","102","79","79","78","78","73","73","73","77","77"
"Forrest Satellite Facility","96","70","70","69","69","67","67","67","69","74"
"George Satellite Facility","102","86","86","86","86","81","81","81","83","84"
"Harrison Satellite Facility","102","72","72","71","71","66","66","66","68","72"
"Jackson Satellite Facility","102","79","79","78","78","70","70","70","77","81"
"Jefferson Satellite Facility","102","89","89","88","88","82","82","82","88","87"
"Leflore Satellite Facility","102","74","73","71","71","69","69","68","70","69"
"Madison Satellite Facility","102","98","93","92","92","88","88","88","92","91"
"Noxubee Satellite Facility","92","86","85","85","83","81","81","81","83","77"
"Pike Satellite Facility","93","79","79","79","79","77","77","77","78","78"
"Quitman Satellite Facility","93","82","83","84","85","83","83","83","84","83"
"Rankin Satellite Facility","260","191","191","190","189","186","186","186","193","192"
"Simpson Satellite Facility","102","92","92","92","90","84","84","84","90","88"
"Washington Satellite Facility","102","85","85","84","84","81","81","81","84","84"
"Wilkinson Satellite Facility","102","82","82","79","78","70","70","70","77","82"
"Yazoo Satellite Facility","102","78","78","75","74","68","67","67","73","72"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,006","3,008","3,000","3,001","2,997","2,992","2,990","2,990","2,994"
"Bolivar County","294","235","235","235","235","234","234","233","233","229"
"Carroll County","280","224","224","224","224","224","223","223","223","224"
"Chickasaw County","300","240","249","248","248","247","245","245","245","245"
"George County","280","222","222","221","220","220","220","220","220","221"
"Holmes County","280","224","224","223","223","223","223","223","223","224"
"Issaquena County","274","218","215","215","217","217","217","217","217","219"
"Jefferson County","280","225","224","224","224","224","223","223","223","223"
"Kemper County","355","284","283","282","282","282","282","281","281","282"
"Leake County","280","225","224","224","224","224","224","224","224","225"
"Marion County","280","222","222","221","221","221","221","221","221","222"
"Stone County","280","224","224","222","222","222","222","222","222","224"
"Winston County","280","221","221","221","221","220","220","220","220","215"
"Yazoo County","300","242","241","240","240","239","238","238","238","241"
"PRIVATE PRISONS","5,972","5,209","5,207","5,205","5,195","5,191","5,186","5,183","5,179","5,209"
"Delta","972","907","907","907","906","904","903","902","901","900"
"East Mississippi","1,500","1,356","1,355","1,355","1,353","1,352","1,352","1,351","1,350","1,357"
"Marshall County","1,000","900","899","898","898","898","897","897","897","896"
"Walnut Grove","1,500","1,163","1,163","1,163","1,158","1,158","1,155","1,154","1,154","1,169"
"Wilkinson County","1,000","883","883","882","880","879","879","879","877","887"
"RESTITUTION CENTERS","16","8","8","8","8","7","7","7","8","8"
"Greenwood","6","4","4","4","4","3","3","3","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","10","11","10","6","74","74","76","8","11"
"TOTALS","24,236","20,933","20,922","20,891","20,896","20,874","20,856","20,849","20,847","20,848"
