"Location","Capacity","10-Jul-15","11-Jul-15","12-Jul-15","13-Jul-15","14-Jul-15","15-Jul-15","16-Jul-15","17-Jul-15","18-Jul-15"
"Mississippi State Penitentiary","4,648","3,118","3,117","3,117","3,117","3,117","3,117","3,115","3,117","3,117"
"MSP TVC","108","91","90","90","90","90","90","88","90","90"
"Central Mississippi Correctional Facility","3,469","2,536","2,533","2,533","2,533","2,533","2,533","2,529","2,533","2,533"
"Youthful Offender Unit","58","23","22","22","22","22","22","20","22","22"
"CMCF TVC","158","136","133","133","133","133","133","129","133","133"
"South Mississippi Correctional Institution 3,282","","2,529","2,528","2,528","2,528","2,528","2,528","2,526","2,528","2,528"
"SMCI TVC","0","98","97","97","97","97","97","95","97","97"
"County Jails","2,006","1,190","1,198","1,198","1,198","1,198","1,198","1,194","1,198","1,198"
"COMMUNITY WORK CENTERS","1,848","1,101","1,095","1,086","1,086","1,086","1,086","1,055","1,086","1,086"
"Alcorn Satellite Facility","92","51","50","50","50","50","50","48","50","50"
"Bolivar Satellite Facility","102","67","66","66","66","66","66","65","67","67"
"Forrest Satellite Facility","96","55","54","54","54","54","54","52","54","54"
"George Satellite Facility","102","52","51","51","51","51","51","49","51","51"
"Harrison Satellite Facility","102","50","49","49","49","49","49","47","49","49"
"Jackson Satellite Facility","102","60","59","59","59","59","59","57","59","59"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","50","50","49","49","49","49","47","48","48"
"Madison Satellite Facility","102","69","69","68","68","68","68","66","68","68"
"Noxubee Satellite Facility","92","71","71","70","70","70","70","68","70","70"
"Pike Satellite Facility","93","72","72","71","71","71","71","69","71","71"
"Quitman Satellite Facility","93","62","62","61","61","61","61","59","61","61"
"Rankin Satellite Facility","260","187","187","187","187","187","187","185","187","187"
"Simpson Satellite Facility","102","74","74","73","73","73","73","71","73","73"
"Washington Satellite Facility","102","63","63","62","62","62","62","60","62","62"
"Wilkinson Satellite Facility","102","46","46","45","45","45","45","43","45","45"
"Yazoo Satellite Facility","102","72","72","71","71","71","71","69","71","71"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,212","4,212","4,205","4,211","4,208","4,200","4,189","4,216","4,213"
"Alcorn County","300","299","299","298","298","298","298","297","300","300"
"Bolivar County","369","368","368","367","367","367","367","366","368","367"
"Carroll County","280","268","268","267","267","267","267","266","268","267"
"Chickasaw County","300","300","300","299","299","299","299","298","300","299"
"George County","280","258","258","257","257","257","257","256","258","258"
"Holmes County","280","264","264","263","263","263","263","262","264","264"
"Issaquena County","274","264","264","263","263","263","262","261","263","263"
"Jefferson County","280","257","257","257","257","257","256","255","257","257"
"Kemper County","355","340","340","340","341","341","340","339","339","339"
"Leake County","280","269","269","269","270","270","269","269","271","271"
"Marion County","280","272","272","272","273","273","272","272","274","274"
"Stone County","280","274","274","274","275","274","273","273","275","275"
"Washington County","300","224","224","224","224","224","224","222","224","224"
"Winston County","280","268","268","268","269","268","267","267","269","269"
"Yazoo County","300","287","287","287","288","287","286","286","286","286"
"PRIVATE PRISONS","5,972","3,847","3,847","3,847","3,849","3,849","3,841","3,841","3,849","3,849"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,134","1,134","1,134","1,135","1,135","1,133","1,133","1,135","1,135"
"Marshall County","1,000","995","995","995","996","996","994","994","996","996"
"Walnut Grove","1,500","911","911","911","911","911","909","909","911","911"
"Wilkinson County","1,000","807","807","807","807","807","805","805","807","807"
"RESTITUTION CENTERS","16","11","11","11","11","11","7","7","13","13"
"Greenwood","6","3","3","3","3","3","2","2","4","4"
"Hinds","6","6","6","6","6","6","4","4","6","6"
"Pascagoula","4","2","2","2","2","2","1","1","3","3"
"TOTALS","25,737","18,892","18,883","18,867","18,875","18,872","18,852","18,788","18,882","18,879"
"","","10-Jul-15","11-Jul-15","12-Jul-15","13-Jul-15","14-Jul-15","15-Jul-15","16-Jul-15","17-Jul-15","18-Jul-15"
