"Location","Capacity","","28-Feb-11 Avg Population"
"Mississippi State Penitentiary","3,356","3,242","3,215"
"Central Mississippi Correctional Facility","3,449","3,205","3,185"
"South Mississippi Correctional Institution","3,204","3,176","3,176"
"County Jails","1,608","1,686","1,684"
"COMMUNITY WORK CENTERS","1,848","1,401","1,400"
"Alcorn Satellite Facility","92","64","62"
"Bolivar Satellite Facility","102","74","73"
"Forrest Satellite Facility","96","74","74"
"George Satellite Facility","102","81","83"
"Harrison Satellite Facility","102","76","69"
"Jackson Satellite Facility","102","83","81"
"Jefferson Satellite Facility","102","65","75"
"Leflore Satellite Facility","102","77","75"
"Madison Satellite Facility","102","81","84"
"Noxubee Satellite Facility","92","74","75"
"Pike Satellite Facility","93","74","70"
"Quitman Satellite Facility","93","68","69"
"Rankin Satellite Facility","260","180","186"
"Simpson Satellite Facility","102","92","86"
"Washington Satellite Facility","102","79","78"
"Wilkinson Satellite Facility","102","77","82"
"Yazoo Satellite Facility","102","82","77"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,011","3,014"
"Bolivar County","294","235","234"
"Carroll County","280","224","223"
"Chickasaw County","300","247","247"
"George County","280","224","223"
"Holmes County","280","224","224"
"Issaquena County","274","217","219"
"Jefferson County","280","222","224"
"Kemper County","355","284","284"
"Leake County","280","223","225"
"Marion County","280","224","224"
"Stone County","280","223","224"
"Winston County","280","223","223"
"Yazoo County","300","241","240"
"PRIVATE PRISONS","5,972","5,216","5,200"
"Delta","972","899","900"
"East Mississippi","1,500","1,360","1,359"
"Marshall County","1,000","918","921"
"Walnut Grove","1,500","1,156","1,136"
"Wilkinson County","1,000","883","886"
"RESTITUTION CENTERS","16","8","8"
"Greenwood","6","5","4"
"Hinds","6","3","4"
"Pascagoula","4","0","0"
"GOVERNOR'S MANSION","6","5","5"
"E-CODE","0","11","24"
"TOTALS","23,222","20,961","20,911"
"","","28-Feb-11",""
