"Location","Capacity","10-Jul-09","11-Jul-09","12-Jul-09","13-Jul-09","14-Jul-09","15-Jul-09","16-Jul-09","17-Jul-09","18-Jul-09"
"Mississippi State Penitentiary","4,435","3,988","3,986","3,984","3,973","3,974","3,987","3,979","3,960","3,960"
"Central Mississippi Correctional Facility","3,665","3,232","3,228","3,228","3,240","3,244","3,214","3,233","3,210","3,208"
"South Mississippi Correctional Institution","3,204","2,997","2,995","2,995","2,997","3,004","3,028","3,013","3,025","3,024"
"County Jails","1,503","1,533","1,533","1,533","1,530","1,516","1,497","1,512","1,519","1,519"
"COMMUNITY WORK CENTERS","1,848","1,603","1,602","1,601","1,663","1,664","1,641","1,654","1,636","1,634"
"Alcorn Satellite Facility","92","72","72","72","78","80","79","79","82","82"
"Bolivar Satellite Facility","102","88","88","88","91","90","89","85","85","85"
"Forrest Satellite Facility","96","82","81","81","86","86","87","88","86","86"
"George Satellite Facility","102","87","87","87","90","89","90","87","87","87"
"Harrison Satellite Facility","102","84","84","84","90","88","86","85","83","83"
"Jackson Satellite Facility","102","91","91","91","90","90","88","94","93","92"
"Jefferson Satellite Facility","102","85","85","85","89","89","88","88","87","87"
"Leflore Satellite Facility","102","91","91","91","93","93","91","91","89","89"
"Madison Satellite Facility","102","96","96","96","97","96","95","95","94","94"
"Noxubee Satellite Facility","92","76","76","76","84","84","84","85","82","82"
"Pike Satellite Facility","93","78","78","78","82","84","82","81","80","80"
"Quitman Satellite Facility","93","71","71","71","75","75","76","78","69","69"
"Rankin Satellite Facility","260","240","240","240","241","244","236","247","248","248"
"Simpson Satellite Facility","102","92","92","91","96","98","97","98","96","96"
"Washington Satellite Facility","102","85","85","85","88","86","84","84","88","88"
"Wilkinson Satellite Facility","102","93","93","93","96","95","95","95","95","94"
"Yazoo Satellite Facility","102","92","92","92","97","97","94","94","92","92"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,913","2,913","2,913","2,909","2,911","2,906","2,907","2,915","2,912"
"Bolivar County","294","280","280","280","279","280","279","279","280","278"
"Carroll County","280","266","266","266","266","266","265","266","266","266"
"George County","280","266","266","266","266","266","266","266","266","265"
"Holmes County","280","250","250","250","250","250","249","249","250","250"
"Issaquena County","274","259","259","259","257","257","258","256","258","258"
"Jefferson County","280","265","265","265","264","265","264","264","269","269"
"Kemper County","280","266","266","266","266","266","266","266","266","266"
"Leake County","280","265","265","265","265","266","266","266","266","266"
"Marion County","280","265","265","265","266","264","264","264","264","264"
"Stone County","280","265","265","265","265","265","264","265","266","266"
"Winston County","280","266","266","266","265","266","265","266","264","264"
"PRIVATE PRISONS","5,972","5,484","5,481","5,475","5,481","5,497","5,491","5,492","5,495","5,493"
"Delta","972","951","949","949","952","956","953","953","954","954"
"East Mississippi","1,500","1,357","1,357","1,355","1,356","1,359","1,357","1,358","1,360","1,360"
"Marshall County","1,000","981","981","980","982","983","983","984","982","982"
"Walnut Grove","1,500","1,226","1,225","1,224","1,225","1,226","1,225","1,224","1,223","1,221"
"Wilkinson County","1,000","969","969","967","966","973","973","973","976","976"
"RESTITUTION CENTERS","16","8","8","8","9","9","9","10","10","10"
"Greenwood","6","4","4","4","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","4","4","4"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","76","79","78","10","11","13","8","30","29"
"TOTALS","23,737","21,840","21,831","21,821","21,818","21,836","21,792","21,814","21,806","21,795"
