"Location","Capacity","28-Sep-08","29-Sep-08","30-Sep-08","","Avg Population"
"Mississippi State Penitentiary","4,527","4,108","4,090","0","","4,158"
"Central Mississippi Correctional Facility","3,665","3,598","3,631","0","","3,589"
"South Mississippi Correctional Institution","3,204","3,090","3,099","0","","3,093"
"County Jails","1,690","2,256","2,213","0","","2,208"
"COMMUNITY WORK CENTERS","1,848","1,788","1,805","0","","1,777"
"Alcorn Satellite Facility","92","88","90","0","","89"
"Bolivar Satellite Facility","102","97","99","0","","99"
"Forrest Satellite Facility","96","94","96","0","","93"
"George Satellite Facility","102","101","100","0","","99"
"Harrison Satellite Facility","102","101","101","0","","98"
"Jackson Satellite Facility","102","100","101","0","","101"
"Jefferson Satellite Facility","102","97","98","0","","98"
"Leflore Satellite Facility","102","99","99","0","","100"
"Madison Satellite Facility","102","101","100","0","","99"
"Noxubee Satellite Facility","92","89","92","0","","89"
"Pike Satellite Facility","93","91","91","0","","89"
"Quitman Satellite Facility","93","91","93","0","","91"
"Rankin Satellite Facility","260","240","242","0","","243"
"Simpson Satellite Facility","102","102","101","0","","98"
"Washington Satellite Facility","102","99","102","0","","101"
"Wilkinson Satellite Facility","102","99","99","0","","96"
"Yazoo Satellite Facility","102","99","101","0","","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,076","3,082","0","","3,081"
"Bolivar County","294","293","294","0","","293"
"Carroll County","280","279","278","0","","279"
"George County","280","279","279","0","","280"
"Holmes County","280","279","280","0","","280"
"Issaquena County","274","268","273","0","","272"
"Jefferson County","280","279","279","0","","280"
"Kemper County","280","280","280","0","","280"
"Leake County","280","280","280","0","","280"
"Marion County","280","280","280","0","","280"
"Stone County","280","279","279","0","","279"
"Winston County","280","280","280","0","","279"
"PRIVATE PRISONS","5,472","4,984","4,984","0","","4,913"
"Delta","972","968","972","0","","970"
"East Mississippi","1,000","892","891","0","","895"
"Marshall County","1,000","998","998","0","","999"
"Walnut Grove","1,500","1,144","1,143","0","","1,065"
"Wilkinson County","1,000","982","980","0","","984"
"RESTITUTION CENTERS","16","13","13","0","","11"
"Greenwood","6","6","6","0","","6"
"Hinds","6","6","6","0","","4"
"Pascagoula","4","1","1","0","","1"
"GOVERNOR'S MANSION","6","6","6","0","","6"
"E-CODE","0","34","8","0","","26"
"TOTALS","23,516","22,953","22,931","0","","22,863"
