"Location","Capacity","10-Jul-06","11-Jul-06","12-Jul-06","13-Jul-06","14-Jul-06","15-Jul-06","16-Jul-06","17-Jul-06","18-Jul-06"
"Mississippi State Penitentiary","4,529","4,427","4,417","4,454","4,456","4,478","4,476","4,471","4,468","4,468"
"Central Mississippi Correctional Facility","3,293","3,268","3,270","3,274","3,268","3,247","3,243","3,244","3,252","3,263"
"South Mississippi Correctional Institution","2,075","2,025","2,033","2,016","2,028","2,020","2,019","2,018","2,021","2,021"
"County Jails","1,953","1,745","1,730","1,756","1,724","1,705","1,705","1,705","1,691","1,679"
"COMMUNITY WORK CENTERS","1,816","1,775","1,775","1,768","1,766","1,737","1,732","1,731","1,747","1,760"
"Alcorn Satellite Facility","92","91","91","90","90","83","84","84","90","92"
"Bolivar Satellite Facility","102","99","99","98","98","97","97","97","102","101"
"Forrest Satellite Facility","96","96","95","96","96","93","93","93","92","95"
"George Satellite Facility","102","99","98","97","97","94","94","94","94","98"
"Harrison Satellite Facility","102","101","101","98","97","97","96","96","94","93"
"Jackson Satellite Facility","102","98","98","99","98","97","97","97","95","101"
"Jefferson Satellite Facility","102","102","102","102","102","100","100","100","102","100"
"Leflore Satellite Facility","102","101","101","99","100","100","99","99","98","101"
"Madison Satellite Facility","102","101","102","102","102","100","100","100","101","97"
"Noxubee Satellite Facility","92","90","90","90","89","90","89","89","90","90"
"Pike Satellite Facility","93","83","84","83","83","85","84","83","85","85"
"Quitman Satellite Facility","93","88","87","86","85","85","85","85","83","83"
"Rankin Satellite Facility","228","224","224","225","224","225","224","224","227","225"
"Simpson Satellite Facility","102","98","100","99","101","98","98","98","96","102"
"Washington Satellite Facility","102","102","101","102","102","99","98","98","99","99"
"Wilkinson Satellite Facility","102","102","102","102","102","97","97","97","99","99"
"Yazoo Satellite Facility","102","100","100","100","100","97","97","97","100","99"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,043","3,055","3,042","3,044","3,045","3,044","3,043","3,041","3,046"
"Bolivar County","294","289","294","293","293","294","294","294","294","294"
"Carroll County","280","277","280","279","279","279","279","278","281","280"
"George County","280","280","279","277","273","272","272","272","277","280"
"Holmes County","280","278","279","279","280","278","278","278","275","277"
"Issaquena County","274","272","273","268","273","274","274","274","274","274"
"Jefferson County","250","250","250","250","249","249","249","249","246","247"
"Kemper County","280","279","280","280","280","280","280","280","278","280"
"Leake County","280","281","281","280","280","280","280","280","279","280"
"Marion County","280","278","279","278","279","279","278","278","277","279"
"Stone County","280","279","280","279","279","280","280","280","280","279"
"Winston County","280","280","280","279","279","280","280","280","280","276"
"PRIVATE PRISONS","5,100","4,862","4,853","4,867","4,878","4,879","4,875","4,875","4,883","4,884"
"Delta","972","960","959","970","971","970","969","969","974","973"
"East Mississippi","1,000","865","865","866","869","866","866","866","866","866"
"Marshall County","1,000","995","994","994","994","993","992","992","995","995"
"Tallahatchie County","128","128","128","128","128","128","128","128","127","127"
"Walnut Grove","1,000","947","945","942","949","952","950","950","951","951"
"Wilkinson County","1,000","967","962","967","967","970","970","970","970","972"
"RESTITUTION CENTERS","16","11","11","12","13","12","12","12","13","13"
"Greenwood","6","3","3","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","6","5","5","5","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","5","1","1","2","27","27","28","3","2"
"TOTALS","21,846","21,166","21,150","21,195","21,184","21,155","21,138","21,132","21,124","21,141"
"","","10-Jul-06","11-Jul-06","12-Jul-06","13-Jul-06","14-Jul-06","15-Jul-06","16-Jul-06","17-Jul-06","18-Jul-06"
