"Location","Capacity","1-Aug-07","2-Aug-07","3-Aug-07","4-Aug-07","5-Aug-07","6-Aug-07","7-Aug-07","8-Aug-07","9-Aug-07"
"Mississippi State Penitentiary","4,527","4,479","4,481","4,479","4,475","4,472","4,472","4,466","4,480","4,472"
"Central Mississippi Correctional Facility","3,425","3,486","3,469","3,454","3,454","3,449","3,447","3,470","3,459","3,496"
"South Mississippi Correctional Institution","2,884","2,655","2,629","2,645","2,642","2,643","2,650","2,637","2,640","2,639"
"County Jails","1,787","1,782","1,784","1,779","1,779","1,779","1,787","1,769","1,763","1,783"
"COMMUNITY WORK CENTERS","1,816","1,777","1,788","1,749","1,748","1,747","1,783","1,788","1,789","1,784"
"Alcorn Satellite Facility","92","90","90","89","89","89","89","90","90","89"
"Bolivar Satellite Facility","102","102","102","100","100","100","102","102","102","102"
"Forrest Satellite Facility","96","96","96","94","94","94","94","96","96","95"
"George Satellite Facility","102","99","99","97","97","97","102","102","102","102"
"Harrison Satellite Facility","102","100","100","96","96","96","100","102","102","102"
"Jackson Satellite Facility","102","102","102","100","100","100","102","101","100","99"
"Jefferson Satellite Facility","102","101","101","98","98","98","99","99","102","102"
"Leflore Satellite Facility","102","99","102","101","101","101","102","102","102","102"
"Madison Satellite Facility","102","102","102","99","99","99","101","101","102","101"
"Noxubee Satellite Facility","92","91","91","86","86","86","90","90","89","88"
"Pike Satellite Facility","93","88","88","90","90","90","89","91","90","88"
"Quitman Satellite Facility","93","88","92","89","89","89","91","90","92","92"
"Rankin Satellite Facility","228","222","221","215","214","213","217","217","216","218"
"Simpson Satellite Facility","102","101","101","99","99","99","101","101","101","101"
"Washington Satellite Facility","102","97","102","97","97","97","102","102","102","102"
"Wilkinson Satellite Facility","102","97","102","99","99","99","101","101","100","100"
"Yazoo Satellite Facility","102","102","97","100","100","100","101","101","101","101"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,062","3,076","3,075","3,070","3,070","3,077","3,077","3,075","3,074"
"Bolivar County","294","286","293","293","292","292","294","295","292","292"
"Carroll County","280","278","280","280","280","280","279","279","280","280"
"George County","280","280","280","278","277","277","278","280","280","279"
"Holmes County","280","277","280","280","279","279","280","280","280","278"
"Issaquena County","274","272","274","273","272","272","274","273","273","272"
"Jefferson County","274","272","273","274","274","274","274","274","274","274"
"Kemper County","280","280","280","279","278","278","280","280","280","280"
"Leake County","280","280","279","280","280","280","280","279","278","280"
"Marion County","280","279","279","280","280","280","278","277","279","280"
"Stone County","280","279","280","280","280","280","280","280","280","280"
"Winston County","280","279","278","278","278","278","280","280","279","279"
"PRIVATE PRISONS","4,972","4,780","4,780","4,787","4,786","4,784","4,767","4,778","4,776","4,757"
"Delta","972","971","971","971","971","970","970","972","972","971"
"East Mississippi","1,000","883","887","891","890","890","890","889","886","878"
"Marshall County","1,000","992","996","996","996","995","994","994","995","995"
"Tallahatchie County","0","1","1","1","1","1","1","1","1","1"
"Walnut Grove","1,000","947","940","943","943","943","925","937","937","937"
"Wilkinson County","1,000","986","985","985","985","985","987","985","985","975"
"RESTITUTION CENTERS","16","11","11","13","13","13","13","13","13","13"
"Greenwood","6","3","3","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","4","4"
"E-CODE","","10","11","49","50","49","15","14","13","14"
"TOTALS","22,515","22,047","22,034","22,035","22,022","22,011","22,016","22,017","22,012","22,036"
