"Location","Capacity","22-Aug-14","23-Aug-14","24-Aug-14","25-Aug-14","26-Aug-14","27-Aug-14","28-Aug-14","29-Aug-14","30-Aug-14","31-Aug-14","Avg Pop"
"Mississippi State Penitentiary","4,648","3,334","3,335","3,335","3,262","3,296","3,302","3,310","3,288","3,289","3,289","3,314"
"Central Mississippi Correctional Facility","3,665","2,489","2,485","2,486","2,426","2,507","2,428","2,396","2,348","2,347","2,348","2,465"
"Youthful Offender Unit","58","41","41","41","41","40","40","39","39","39","39","40"
"CMCF TVC","350","112","112","112","109","110","127","126","124","124","124","98"
"South Mississippi Correctional Institution","3,282","3,177","3,176","3,175","3,138","3,164","3,171","3,173","3,143","3,143","3,142","3,193"
"County Jails","1,973","1,698","1,701","1,702","1,664","1,666","1,712","1,733","1,757","1,758","1,758","1,728"
"COMMUNITY WORK CENTERS","1,848","1,196","1,195","1,193","1,174","1,175","1,175","1,176","1,184","1,183","1,181","1,184"
"Alcorn Satellite Facility","92","88","88","88","86","85","84","88","87","86","86","89"
"Bolivar Satellite Facility","102","53","53","53","51","51","55","55","55","55","55","52"
"Forrest Satellite Facility","96","53","53","53","51","51","58","57","58","58","58","55"
"George Satellite Facility","102","64","64","64","65","64","64","64","62","62","62","63"
"Harrison Satellite Facility","102","53","53","53","52","52","52","53","51","51","51","52"
"Jackson Satellite Facility","102","56","56","55","50","50","50","51","52","52","52","53"
"Jefferson Satellite Facility","102","46","46","46","45","45","45","45","51","51","51","45"
"Leflore Satellite Facility","102","53","52","52","52","52","52","53","53","53","53","50"
"Madison Satellite Facility","102","57","57","57","55","57","57","57","55","55","55","60"
"Noxubee Satellite Facility","92","75","75","74","74","74","70","69","68","68","68","74"
"Pike Satellite Facility","93","84","84","84","84","84","84","84","88","88","88","85"
"Quitman Satellite Facility","93","67","67","67","66","65","64","63","60","60","58","68"
"Rankin Satellite Facility","260","187","187","187","186","188","186","182","190","190","190","188"
"Simpson Satellite Facility","102","101","101","101","101","101","100","102","102","102","102","99"
"Washington Satellite Facility","102","54","54","54","52","52","52","50","49","49","49","52"
"Wilkinson Satellite Facility","102","53","53","53","53","53","51","51","51","51","51","49"
"Yazoo Satellite Facility","102","52","52","52","51","51","51","52","52","52","52","48"
"REGIONAL CORRECTIONAL FACILITIES","4,500","4,420","4,416","4,414","4,393","4,388","4,385","4,395","4,394","4,391","4,389","4,402"
"Alcorn County","300","299","299","299","298","297","296","296","296","296","296","298"
"Bolivar County","369","368","368","367","366","368","368","368","366","366","366","368"
"Carroll County","280","276","276","276","276","279","279","280","277","277","277","278"
"Chickasaw County","362","298","298","298","300","300","300","298","300","299","299","299"
"George County","280","280","280","279","279","280","279","276","279","278","278","278"
"Holmes County","280","280","280","280","280","280","280","276","280","280","280","279"
"Issaquena County","274","274","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","280","280","280","279","273","273","278","275","275","274","277"
"Kemper County","355","355","354","354","354","354","351","351","351","351","351","352"
"Leake County","280","278","278","278","274","275","277","279","279","279","279","277"
"Marion County","280","280","280","280","278","278","280","279","280","280","280","280"
"Stone County","280","279","279","279","276","278","280","281","279","279","279","279"
"Washington County","300","289","289","289","287","282","279","286","283","283","282","286"
"Winston County","280","281","281","281","273","271","271","276","280","279","279","278"
"Yazoo County","300","303","300","300","299","299","298","297","295","295","295","299"
"PRIVATE PRISONS","5000","4149","4148","4146","4133","4135","4133","4137","4115","4109","4107","4,164"
"East Mississippi","1,500","1,200","1,199","1,199","1,198","1,200","1,198","1,198","1,198","1,196","1195","1,198"
"Marshall County","1,000","998","998","998","998","998","998","998","1000","1000","1000","997"
"Walnut Grove","1,500","1,120","1,120","1,119","1,112","1,112","1,109","1,102","1,091","1,088","1087","1,145"
"Wilkinson County","1,000","831","831","830","825","825","828","839","826","825","825","824"
"RESTITUTION CENTERS","16","6","6","6","6","5","5","6","6","6","6","6"
"Greenwood","6","4","4","4","4","3","3","4","4","4","4","4"
"Hinds","6","1","1","1","1","1","1","1","1","1","1","1"
"Pascagoula","4","1","1","1","1","1","1","1","1","1","1","1"
"TOTALS","25,340","20,622","20,615","20,610","20,346","20,486","20,478","20,491","20,398","20,389","20,383","20,581"
