Location,Capacity,19-Jan-10,20-Jan-10,21-Jan-10,22-Jan-10,23-Jan-10,24-Jan-10,25-Jan-10,26-Jan-10,27-Jan-10
Mississippi State Penitentiary,"4,435","3,872","3,897","3,922","3,913","3,911","3,911","3,919","3,931","3,923"
Central Mississippi Correctional Facility,"3,665","3,137","3,058","3,051","3,024","3,021","3,021","3,066","3,039","3,048"
South Mississippi Correctional Institution,"3,204","3,021","3,063","3,077","3,058","3,058","3,058","3,051","3,081","3,071"
County Jails,"1,466","1,635","1,630","1,624","1,635","1,635","1,635","1,605","1,595","1,611"
COMMUNITY WORK CENTERS,"1,848","1,659","1,703","1,707","1,695","1,692","1,691","1,709","1,723","1,721"
Alcorn Satellite Facility,92,82,84,84,83,83,83,85,85,86
Bolivar Satellite Facility,102,91,91,94,89,88,88,87,87,87
Forrest Satellite Facility,96,92,93,91,90,89,89,89,88,93
George Satellite Facility,102,87,88,88,89,89,89,88,88,88
Harrison Satellite Facility,102,101,101,100,99,98,98,98,98,97
Jackson Satellite Facility,102,92,91,91,87,87,87,91,91,98
Jefferson Satellite Facility,102,94,89,93,92,92,92,89,96,96
Leflore Satellite Facility,102,96,93,87,88,89,89,91,91,91
Madison Satellite Facility,102,88,102,102,101,101,100,100,100,94
Noxubee Satellite Facility,92,88,86,86,86,86,86,88,88,88
Pike Satellite Facility,93,86,85,87,91,91,91,93,93,93
Quitman Satellite Facility,93,89,91,90,91,90,90,91,89,86
Rankin Satellite Facility,260,234,234,232,233,233,233,235,237,233
Simpson Satellite Facility,102,82,99,99,95,95,95,101,102,102
Washington Satellite Facility,102,89,89,96,93,93,93,94,94,92
Wilkinson Satellite Facility,102,86,86,86,89,89,89,91,98,97
Yazoo Satellite Facility,102,82,101,101,99,99,99,98,98,100
REGIONAL CORRECTIONAL FACILITIES,"3,163","2,722","2,731","2,728","2,725","2,724","2,721","2,730","2,731","2,733"
Bolivar County,294,255,255,255,255,255,253,253,253,255
Carroll County,280,240,241,241,242,242,242,242,241,241
George County,280,241,241,240,240,240,240,243,242,242
Holmes County,280,238,242,242,242,242,242,242,242,242
Issaquena County,274,237,237,237,237,237,237,237,237,236
Jefferson County,280,242,241,240,239,239,238,242,240,242
Kemper County,355,308,308,308,309,309,309,310,310,309
Leake County,280,237,241,241,242,242,242,242,241,241
Marion County,280,242,242,241,240,239,239,240,241,241
Stone County,280,241,242,242,237,237,237,237,242,242
Winston County,280,241,241,241,242,242,242,242,242,242
PRIVATE PRISONS,"5,972","5,239","5,242","5,232","5,236","5,233","5,233","5,227","5,223","5,217"
Delta,972,898,897,899,898,898,898,900,900,900
East Mississippi,"1,500","1,296","1,296","1,288","1,289","1,288","1,288","1,280","1,280","1,270"
Marshall County,"1,000",900,898,897,900,899,899,900,897,900
Walnut Grove,"1,500","1,194","1,200","1,198","1,199","1,198","1,198","1,195","1,194","1,194"
Wilkinson County,"1,000",951,951,950,950,950,950,952,952,953
RESTITUTION CENTERS,16,10,10,10,9,9,9,10,10,10
Greenwood,6,6,6,6,5,5,5,6,6,6
Hinds,6,3,3,3,3,3,3,3,3,3
Pascagoula,4,1,1,1,1,1,1,1,1,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6
E-CODE,0,15,16,13,51,51,52,14,13,18
TOTALS,"23,775","21,316","21,356","21,370","21,352","21,340","21,337","21,337","21,352","21,358"
