"Location","Capacity","28-Dec-06","29-Dec-06","30-Dec-06","31-Dec-06"
"Mississippi State Penitentiary","4,534","4,505","4,516","4,509","4,505"
"Central Mississippi Correctional Facility","3,381","3,357","3,357","3,354","3,352"
"South Mississippi Correctional Institution","2,395","2,304","2,315","2,315","2,314"
"County Jails","1,786","1,834","1,820","1,820","1,820"
"COMMUNITY WORK CENTERS","1,816","1,754","1,763","1,762","1,762"
"Alcorn Satellite Facility","92","89","90","90","90"
"Bolivar Satellite Facility","102","100","100","100","100"
"Forrest Satellite Facility","96","96","96","96","96"
"George Satellite Facility","102","100","100","100","100"
"Harrison Satellite Facility","102","98","101","101","101"
"Jackson Satellite Facility","102","101","100","100","100"
"Jefferson Satellite Facility","102","101","101","101","100"
"Leflore Satellite Facility","102","101","101","101","101"
"Madison Satellite Facility","102","97","102","102","102"
"Noxubee Satellite Facility","92","92","92","92","92"
"Pike Satellite Facility","93","88","88","87","87"
"Quitman Satellite Facility","93","78","78","78","78"
"Rankin Satellite Facility","228","215","214","214","214"
"Simpson Satellite Facility","102","98","98","98","98"
"Washington Satellite Facility","102","101","101","101","101"
"Wilkinson Satellite Facility","102","100","99","99","100"
"Yazoo Satellite Facility","102","99","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,080","3,081","3,076","3,074"
"Bolivar County","294","293","294","293","293"
"Carroll County","280","280","279","279","277"
"George County","280","280","280","279","279"
"Holmes County","280","280","280","280","280"
"Issaquena County","274","274","274","272","272"
"Jefferson County","274","274","274","273","273"
"Kemper County","280","280","280","280","280"
"Leake County","280","279","280","280","280"
"Marion County","280","280","280","280","280"
"Stone County","280","280","280","280","280"
"Winston County","280","280","280","280","280"
"PRIVATE PRISONS","5,100","4,867","4,860","4,856","4,851"
"Delta","972","972","971","969","969"
"East Mississippi","1,000","857","856","857","857"
"Marshall County","1,000","990","989","989","989"
"Tallahatchie County","128","128","128","128","128"
"Walnut Grove","1,000","952","951","950","948"
"Wilkinson County","1,000","968","965","963","960"
"RESTITUTION CENTERS","16","13","13","13","13"
"Greenwood","6","4","4","4","4"
"Hinds","6","6","6","6","6"
"Pascagoula","4","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","3","5","4","3"
"TOTALS","22,116","21,722","21,735","21,714","21,699"
"","","28-Dec-06","29-Dec-06","30-Dec-06","31-Dec-06"
