"Location","Capacity","19-Jan-13","20-Jan-13","21-Jan-13","22-Jan-13","23-Jan-13","24-Jan-13","25-Jan-13","26-Jan-13","27-Jan-13"
"Mississippi State Penitentiary","4,648","3,318","3,315","3,310","3,341","3,335","3,351","3,346","3,346","3,342"
"Central Mississippi Correctional Facility","3,557","3,358","3,353","3,353","3,165","3,253","3,242","3,226","3,220","3,220"
"Youthful Offender Unit","42","18","19","19","19","19","19","17","19","19"
"South Mississippi Correctional Institution 3,282","","3,207","3,206","3,204","3,224","3,241","3,240","3,251","3,250","3,249"
"County Jails","1,818","2,246","2,246","2,261","2,228","2,194","2,184","2,204","2,204","2,204"
"COMMUNITY WORK CENTERS","1,848","1,421","1,420","1,451","1,469","1,460","1,442","1,428","1,429","1,428"
"Alcorn Satellite Facility","92","86","86","88","88","87","70","92","92","92"
"Bolivar Satellite Facility","102","64","64","64","68","68","68","64","64","64"
"Forrest Satellite Facility","96","67","67","70","74","71","71","70","70","70"
"George Satellite Facility","102","68","68","71","78","77","76","76","76","76"
"Harrison Satellite Facility","102","62","62","65","65","66","64","58","59","59"
"Jackson Satellite Facility","102","53","53","60","63","60","60","58","58","58"
"Jefferson Satellite Facility","102","73","73","76","76","75","75","74","74","74"
"Leflore Satellite Facility","102","67","67","69","67","67","69","64","64","64"
"Madison Satellite Facility","102","85","84","84","82","82","81","80","80","79"
"Noxubee Satellite Facility","92","74","74","77","77","77","77","72","72","72"
"Pike Satellite Facility","93","91","91","91","93","92","92","92","92","92"
"Quitman Satellite Facility","93","87","87","89","89","89","88","84","84","84"
"Rankin Satellite Facility","260","229","229","232","230","230","228","228","228","228"
"Simpson Satellite Facility","102","95","95","96","99","102","102","100","100","100"
"Washington Satellite Facility","102","73","73","73","77","77","76","72","72","72"
"Wilkinson Satellite Facility","102","59","59","57","56","55","60","68","68","68"
"Yazoo Satellite Facility","102","88","88","89","87","85","85","76","76","76"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,281","4,278","4,273","4,346","4,346","4,354","4,353","4,349","4,348"
"Alcorn County","300","299","299","298","298","298","300","300","299","299"
"Bolivar County","369","355","355","354","367","366","366","366","365","365"
"Carroll County","280","271","271","271","280","280","279","279","279","279"
"Chickasaw County","300","300","300","300","300","300","300","300","300","300"
"George County","280","271","271","271","279","277","279","280","280","280"
"Holmes County","280","272","271","271","279","280","280","280","280","280"
"Issaquena County","274","272","272","271","274","274","273","274","274","274"
"Jefferson County","280","278","278","278","280","280","279","279","278","277"
"Kemper County","355","330","330","329","335","334","336","333","333","333"
"Leake County","280","275","274","274","278","278","277","277","277","277"
"Marion County","280","278","277","277","277","278","278","280","280","280"
"Stone County","280","274","274","274","279","279","280","279","279","279"
"Washington County","300","249","249","248","247","248","248","248","247","247"
"Winston County","280","264","264","264","278","278","276","275","275","275"
"Yazoo County","300","293","293","293","295","296","303","303","303","303"
"PRIVATE PRISONS","5,972","4,274","4,269","4,267","4,286","4,281","4,283","4,282","4,282","4,278"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,111","1,110","1,109","1,109","1,107","1,115","1,115","1,115","1,113"
"Marshall County","1,000","999","999","999","999","999","997","997","997","997"
"Walnut Grove","1,500","1,264","1,261","1,260","1,275","1,272","1,275","1,274","1,274","1,273"
"Wilkinson County","1,000","900","899","899","903","903","896","896","896","895"
"RESTITUTION CENTERS","16","13","13","12","12","12","13","14","14","14"
"Greenwood","6","5","5","5","5","5","6","6","6","6"
"Hinds","6","6","6","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","3","3","3","3","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","37","40","10","9","9","9","40","40","41"
"TOTALS","25,611","22,173","22,159","22,160","22,099","22,150","22,137","22,161","22,153","22,143"
"","","19-Jan-13","20-Jan-13","21-Jan-13","22-Jan-13","23-Jan-13","24-Jan-13","25-Jan-13","26-Jan-13","27-Jan-13"
