"Location","Capacity","28-Aug-09","29-Aug-09","30-Aug-09","31-Aug-09","","Avg Population"
"Mississippi State Penitentiary","4,435","3,889","3,887","3,888","3,910","","3,894"
"Central Mississippi Correctional Facility","3,665","3,156","3,156","3,154","3,155","","3,168"
"South Mississippi Correctional Institution","3,204","2,957","2,954","2,954","2,922","","3,012"
"County Jails","1,525","1,437","1,437","1,437","1,467","","1,491"
"COMMUNITY WORK CENTERS","1,848","1,583","1,582","1,580","1,588","","1,576"
"Alcorn Satellite Facility","92","60","60","60","63","","69"
"Bolivar Satellite Facility","102","77","77","77","77","","75"
"Forrest Satellite Facility","96","75","76","76","77","","76"
"George Satellite Facility","102","88","88","87","85","","88"
"Harrison Satellite Facility","102","65","65","65","70","","70"
"Jackson Satellite Facility","102","94","94","94","94","","94"
"Jefferson Satellite Facility","102","94","94","94","95","","92"
"Leflore Satellite Facility","102","72","72","72","70","","68"
"Madison Satellite Facility","102","93","93","93","95","","95"
"Noxubee Satellite Facility","92","83","83","83","87","","85"
"Pike Satellite Facility","93","73","73","73","73","","85"
"Quitman Satellite Facility","93","87","87","85","87","","71"
"Rankin Satellite Facility","260","249","249","249","249","","247"
"Simpson Satellite Facility","102","100","99","99","99","","96"
"Washington Satellite Facility","102","83","82","83","82","","76"
"Wilkinson Satellite Facility","102","92","92","92","90","","93"
"Yazoo Satellite Facility","102","98","98","98","95","","96"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,926","2,923","2,922","2,924","","2,919"
"Bolivar County","294","278","278","278","279","","279"
"Carroll County","280","266","265","265","263","","265"
"George County","280","267","267","267","267","","265"
"Holmes County","280","265","265","265","265","","260"
"Issaquena County","274","257","257","256","261","","259"
"Jefferson County","280","265","265","265","262","","265"
"Kemper County","355","266","266","266","266","","266"
"Leake County","280","264","264","264","265","","265"
"Marion County","280","266","264","264","265","","266"
"Stone County","280","266","266","266","266","","265"
"Winston County","280","266","266","266","265","","265"
"PRIVATE PRISONS","5,972","5,553","5,548","5,545","5,540","","5,503"
"Delta","972","956","956","956","957","","955"
"East Mississippi","1,500","1,367","1,366","1,365","1,362","","1,361"
"Marshall County","1,000","983","982","981","981","","982"
"Walnut Grove","1,500","1,271","1,269","1,268","1,267","","1,231"
"Wilkinson County","1,000","976","975","975","973","","975"
"RESTITUTION CENTERS","16","13","13","13","10","","10"
"Greenwood","6","6","6","6","5","","5"
"Hinds","6","5","5","5","3","","3"
"Pascagoula","4","2","2","2","2","","2"
"GOVERNOR'S MANSION","6","6","6","6","6","","6"
"E-CODE","0","31","32","33","15","","20"
"TOTALS","23,834","21,551","21,538","21,532","21,537","","21,600"
"","","28-Aug-09","29-Aug-09","30-Aug-09","31-Aug-09","",""
