"Location","Capacity","11-Jun-02","12-Jun-02","13-Jun-02","14-Jun-02","15-Jun-02","16-Jun-02","17-Jun-02","18-Jun-02","19-Jun-02","20-Jun-02"
"MS STATE PENITENTIARY","5,551","5,375","5,370","5,375","5,362","5,360","5,361","5,346","5,377","5,371","5,386"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,972","2,969","2,959","2,956","2,954","2,954","2,980","2,978","2,978","2,992"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,058","2,064","2,062","2,044","2,044","2,044","2,026","2,023","2,039","2,027"
"COUNTY JAILS","2,135","1,771","1,790","1,823","1,858","1,861","1,861","1,876","1,889","1,900","1,875"
"COMMUNITY WORK CENTERS","1,328","1,287","1,292","1,301","1,253","1,252","1,250","1,290","1,290","1,285","1,284"
"Alcorn Satellite Facility","75","73","73","73","70","70","70","72","72","72","74"
"Bolivar Satellite Facility","75","72","72","74","73","73","73","74","75","75","75"
"Forrest Satellite Facility","75","75","75","75","71","71","70","74","74","74","74"
"George Satellite Facility","75","75","75","75","73","73","73","74","74","74","74"
"Harrison Satellite Facility","75","74","74","74","73","72","73","74","74","74","73"
"Jackson Satellite Facility","75","75","75","75","68","68","68","74","74","74","74"
"Jefferson Satellite Facility","75","74","74","73","66","66","66","75","75","75","75"
"Leflore Satellite Facility","75","72","72","75","73","73","73","74","74","74","74"
"Madison Satellite Facility","75","75","74","75","73","73","73","74","72","71","69"
"Noxubee Satellite Facility","75","71","71","71","69","69","69","71","71","68","72"
"Pike Satellite Facility","75","74","74","74","74","74","74","74","73","73","71"
"Quitman Satellite Facility","75","65","71","71","71","71","69","70","70","67","66"
"Rankin Satellite Facility","128","123","123","123","123","123","123","123","123","125","125"
"Simpson Satellite Facility","75","71","71","71","66","66","66","72","72","75","75"
"Washington Satellite Facility","75","71","71","73","65","65","65","72","71","74","74"
"Wilikinson Satellite Facility","75","74","74","74","73","73","73","71","71","70","70"
"Yazoo Satellite Facility","75","73","73","75","72","72","72","72","75","70","69"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,034","2,034","2,038","2,044","2,043","2,042","2,041","2,038","2,037","2,040"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","201","201","201","201","201","201","201","201","200","200"
"George County (opened on May 10th)","250","199","199","199","201","200","200","199","199","200","200"
"Holmes County","250","200","199","200","200","200","200","200","200","199","200"
"Issaquena County","250","199","198","198","200","200","200","199","199","200","199"
"Jefferson County","250","211","211","213","213","213","213","213","213","213","213"
"Kemper County","250","226","227","227","226","226","226","228","226","225","227"
"Leake County","250","200","200","201","203","203","202","200","200","199","198"
"Marion County","250","197","198","198","202","202","202","202","202","202","202"
"Stone County","250","201","201","201","198","198","198","198","197","200","200"
"Winston County","250","200","200","200","200","200","200","201","201","199","201"
"PRIVATE PRISONS","4,750","3,609","3,606","3,605","3,602","3,600","3,600","3,604","3,600","3,600","3,602"
"Delta","1,000","846","844","843","843","843","843","843","843","841","843"
"East MS","1,000","499","500","500","500","500","500","500","500","500","499"
"Marshall County","1,000","874","872","872","871","871","871","871","869","871","870"
"Walnut Grove","750","517","517","517","515","513","513","513","512","512","509"
"Wilkinson County","1,000","873","873","873","873","873","873","877","876","876","881"
"RESITITUTION CENTERS","24","16","17","17","17","17","17","17","17","17","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","5"
"Hinds","12","8","9","9","9","9","9","9","9","9","9"
"Pascagoula","6","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","21,807","19,128","19,148","19,186","19,142","19,137","19,135","19,186","19,218","19,233","19,228"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","11-Jun-02","12-Jun-02","13-Jun-02","14-Jun-02","15-Jun-02","16-Jun-02","17-Jun-02","18-Jun-02","19-Jun-02","20-Jun-02"
