"Location","Capacity","27-Jul-05","28-Jul-05","29-Jul-05","30-Jul-05","31-Jul-05"
"Mississippi State Penitentiary","4,630","4,561","4,541","4,523","4,512","4,506"
"Central Mississippi Correctional Facility","3,233","3,019","3,027","3,053","3,047","3,047"
"South Mississippi Correctional Institution","2,226","2,149","2,144","2,144","2,139","2,138"
"County Jails","2,247","1,757","1,741","1,733","1,733","1,733"
"COMMUNITY WORK CENTERS","1,816","1,706","1,700","1,664","1,658","1,655"
"Alcorn Satellite Facility","92","91","90","88","88","88"
"Bolivar Satellite Facility","102","99","98","97","97","97"
"Forrest Satellite Facility","96","93","93","88","87","87"
"George Satellite Facility","102","89","89","87","87","87"
"Harrison Satellite Facility","102","95","95","99","99","99"
"Jackson Satellite Facility","102","93","93","92","92","91"
"Jefferson Satellite Facility","102","95","92","87","87","87"
"Leflore Satellite Facility","102","101","100","100","100","100"
"Madison Satellite Facility","102","101","101","101","101","101"
"Noxubee Satellite Facility","92","88","91","86","86","86"
"Pike Satellite Facility","93","80","78","77","75","74"
"Quitman Satellite Facility","93","74","74","73","72","72"
"Rankin Satellite Facility","228","216","216","211","210","209"
"Simpson Satellite Facility","102","98","98","97","97","97"
"Washington Satellite Facility","102","100","99","97","97","97"
"Wilkinson Satellite Facility","102","95","95","87","87","87"
"Yazoo Satellite Facility","102","98","98","97","96","96"
"REGIONAL CORRECTIONAL FACILITIES","2,834","2,778","2,810","2,823","2,823","2,819"
"Bolivar County","250","244","248","250","250","249"
"Carroll County","250","250","249","250","250","248"
"George County","250","249","250","250","250","250"
"Holmes County","250","250","250","250","250","250"
"Issaquena County","274","272","272","269","269","269"
"Jefferson County","250","250","248","248","248","248"
"Kemper County","250","250","249","250","250","249"
"Leake County","280","270","270","280","280","280"
"Marion County","250","249","250","250","250","250"
"Stone County","280","244","275","277","277","277"
"Winston County","250","250","249","249","249","249"
"PRIVATE PRISONS","5,100","4,877","4,873","4,866","4,864","4,859"
"Delta","972","970","970","970","970","967"
"East Mississippi","1,000","875","876","875","875","875"
"Marshall County","1,000","994","995","995","993","992"
"Tallahatchie County","128","127","127","128","128","128"
"Walnut Grove","1,000","920","920","914","914","913"
"Wilkinson County","1,000","991","985","984","984","984"
"RESTITUTION CENTERS","16","10","10","9","9","9"
"Greenwood","6","3","3","2","2","2"
"Hinds","6","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","","7","7","44","46","46"
"TOTALS","22,108","20,869","20,858","20,864","20,836","20,817"
"","","27-Jul-05","28-Jul-05","29-Jul-05","30-Jul-05","31-Jul-05"
