"Location","Capacity","1-Aug-09","2-Aug-09","3-Aug-09","4-Aug-09","5-Aug-09","6-Aug-09","7-Aug-09","8-Aug-09","9-Aug-09"
"Mississippi State Penitentiary","4,435","3,890","3,887","3,891","3,898","3,902","3,891","3,900","3,900","3,897"
"Central Mississippi Correctional Facility","3,665","3,181","3,180","3,018","3,187","3,208","3,226","3,178","3,181","3,180"
"South Mississippi Correctional Institution","3,204","3,015","3,013","3,191","3,008","3,010","3,020","3,017","3,015","3,014"
"County Jails","1,525","1,509","1,509","1,516","1,517","1,490","1,478","1,494","1,494","1,494"
"COMMUNITY WORK CENTERS","1,848","1,595","1,595","1,601","1,596","1,585","1,569","1,590","1,587","1,583"
"Alcorn Satellite Facility","92","74","74","74","74","74","74","73","73","73"
"Bolivar Satellite Facility","102","73","73","74","74","74","73","72","72","72"
"Forrest Satellite Facility","96","83","83","83","83","75","74","76","76","76"
"George Satellite Facility","102","89","89","90","90","90","89","86","86","86"
"Harrison Satellite Facility","102","80","80","81","78","77","73","73","73","73"
"Jackson Satellite Facility","102","93","93","93","96","96","95","94","94","91"
"Jefferson Satellite Facility","102","93","93","94","91","91","90","95","95","95"
"Leflore Satellite Facility","102","71","71","69","69","71","70","69","68","67"
"Madison Satellite Facility","102","91","91","90","90","89","89","96","96","96"
"Noxubee Satellite Facility","92","83","83","83","83","83","83","88","88","88"
"Pike Satellite Facility","93","86","86","87","86","86","88","88","88","88"
"Quitman Satellite Facility","93","67","67","70","70","70","69","69","68","68"
"Rankin Satellite Facility","260","244","244","245","245","244","242","248","248","248"
"Simpson Satellite Facility","102","98","98","94","94","92","90","91","91","91"
"Washington Satellite Facility","102","79","79","80","80","80","80","80","80","80"
"Wilkinson Satellite Facility","102","90","90","92","92","92","92","98","97","97"
"Yazoo Satellite Facility","102","101","101","102","101","101","98","94","94","94"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,903","2,902","2,900","2,905","2,910","2,915","2,915","2,913","2,910"
"Bolivar County","294","280","280","280","279","279","280","279","279","279"
"Carroll County","280","262","262","262","263","264","264","265","265","265"
"George County","280","265","265","265","265","265","266","266","265","264"
"Holmes County","280","250","250","250","250","250","250","251","250","250"
"Issaquena County","274","260","260","260","257","259","260","260","260","259"
"Jefferson County","280","261","260","260","265","265","266","265","265","264"
"Kemper County","355","266","266","265","266","266","266","265","265","265"
"Leake County","280","266","266","266","265","264","266","266","266","266"
"Marion County","280","266","266","265","266","266","265","266","266","266"
"Stone County","280","266","266","266","266","266","266","266","266","266"
"Winston County","280","261","261","261","263","266","266","266","266","266"
"PRIVATE PRISONS","5,972","5,492","5,492","5,487","5,495","5,502","5,498","5,495","5,493","5,493"
"Delta","972","957","957","957","957","955","953","953","953","953"
"East Mississippi","1,500","1,361","1,361","1,361","1,362","1,362","1,359","1,357","1,356","1,356"
"Marshall County","1,000","983","983","983","983","983","983","981","980","980"
"Walnut Grove","1,500","1,223","1,223","1,219","1,220","1,228","1,226","1,227","1,227","1,227"
"Wilkinson County","1,000","968","968","967","973","974","977","977","977","977"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","9","9","9"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","29","29","9","10","13","13","32","32","31"
"TOTALS","23,834","21,630","21,623","21,629","21,632","21,636","21,626","21,636","21,630","21,617"
