"Location","Capacity","1-Aug-01","2-Aug-01","3-Aug-01","4-Aug-01","5-Aug-01","6-Aug-01","7-Aug-01","8-Aug-01","9-Aug-01","10-Aug-01"
"MS STATE PENITENTIARY","5,612","5,336","5,332","5,326","5,326","5,325","5,347","5,312","5,308","5,299","5,299"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,019","3,037","3,023","3,023","3,023","3,014","3,019","3,034","3,020","3,038"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,977","1,972","1,950","1,950","1,949","1,940","1,959","1,949","1,977","1,952"
"COUNTY JAILS","2,122","1,481","1,476","1,476","1,476","1,494","1,509","1,509","1,491","1,486","1,476"
"COMMUNITY WORK CENTERS","1,320","1,248","1,247","1,197","1,196","1,197","1,227","1,229","1,239","1,247","1,211"
"Alcorn Satellite Facility","75","74","74","70","70","70","72","73","73","73","70"
"Bolivar Satellite Facility","75","73","72","69","68","68","67","67","73","73","70"
"Forrest Satellite Facility","75","70","72","67","67","68","72","71","75","75","72"
"George Satellite Facility","75","72","72","68","69","69","72","72","74","75","74"
"Harrison Satellite Facility","75","73","72","70","70","70","72","70","70","75","74"
"Jackson Satellite Facility","75","74","74","70","70","70","73","73","73","74","70"
"Jefferson Satellite Facility","75","74","74","68","68","68","71","71","74","73","71"
"Leflore Satellite Facility","75","73","73","71","71","71","69","75","75","75","74"
"Madison Satellite Facility","75","74","74","72","72","72","73","74","74","74","72"
"Noxubee Satellite Facility","75","75","75","71","71","71","75","75","75","75","73"
"Pike Satellite Facility","75","62","61","61","60","60","59","59","59","59","59"
"Quitman Satellite Facility","75","50","49","50","50","50","50","49","48","48","44"
"Rankin Satellite Facility","120","111","114","109","109","109","113","112","108","111","108"
"Simpson Satellite Facility","75","74","74","72","72","72","73","73","73","70","70"
"Washington Satellite Facility","75","75","75","72","72","72","75","75","75","75","70"
"Wilikinson Satellite Facility","75","71","71","65","65","65","69","68","68","68","67"
"Yazoo Satellite Facility","75","73","71","72","72","72","72","72","72","74","73"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,003","2,008","2,033","2,032","2,032","2,028","2,020","2,009","2,002","2,013"
"Bolivar County","250","210","210","210","210","210","210","209","208","208","208"
"Carroll County","250","195","198","198","198","198","197","195","194","193","193"
"Holmes County","250","197","198","198","198","198","198","198","196","193","192"
"Issaquena County","250","183","183","195","195","195","194","193","192","194","194"
"Jefferson County","250","209","209","212","212","212","212","211","207","207","213"
"Kemper County","250","221","221","224","224","224","223","223","222","222","224"
"Leake County","250","198","198","200","200","200","200","200","200","200","201"
"Marion County","250","196","196","200","200","200","200","200","200","198","197"
"Stone County","250","195","195","199","199","199","198","197","196","193","193"
"Winston County","250","199","200","197","196","196","196","194","194","194","198"
"PRIVATE PRISONS","3,900","3,468","3,474","3,480","3,480","3,480","3,468","3,462","3,459","3,473","3,485"
"Delta","1,000","838","842","840","840","840","836","835","834","837","843"
"East MS","500","491","491","491","491","491","491","491","490","499","499"
"Marshall County","1,000","864","866","866","866","866","862","859","859","861","868"
"Walnut Grove","500","403","403","405","405","405","404","404","403","405","404"
"Wilkinson County","900","872","872","878","878","878","875","873","873","871","871"
"RESITITUTION CENTERS","24","17","17","17","17","17","17","17","17","17","18"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","10","10","10","10","10","10","10","10","10","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","5","5","5","6","6","6","6","6"
"TOTALS","20,747","18,555","18,569","18,507","18,505","18,522","18,556","18,533","18,512","18,527","18,498"
