"Location","Capacity","1-Nov-14","2-Nov-14","3-Nov-14","4-Nov-14","5-Nov-14","6-Nov-14","7-Nov-14","8-Nov-14","9-Nov-14"
"Mississippi State Penitentiary","4,648","3,163","3,163","3,160","3,146","3,147","3,136","3,135","3,134","3,128"
"Central Mississippi Correctional Facility","3,469","2,292","2,297","2,325","2,305","2,276","2,248","2,231","2,233","2,232"
"Youthful Offender Unit","58","88","32","32","33","33","33","32","33","33"
"CMCF TVC","350","33","87","85","86","116","124","119","120","118"
"South Mississippi Correctional Institution 3,282","","2,800","2,798","2,799","2,802","2,807","2,802","2,788","2,790","2,791"
"County Jails","1,973","1,687","1,573","1,527","1,515","1,492","1,607","1,544","1,532","1,541"
"COMMUNITY WORK CENTERS","1,848","1,073","1,038","1,092","1,104","1,098","998","1,079","1,071","1,070"
"Alcorn Satellite Facility","92","88","88","89","87","86","86","85","85","85"
"Bolivar Satellite Facility","102","50","50","50","49","49","49","49","48","48"
"Forrest Satellite Facility","96","45","45","46","50","50","51","50","50","50"
"George Satellite Facility","102","51","51","51","51","51","50","49","49","49"
"Harrison Satellite Facility","102","47","47","46","46","44","43","43","46","42"
"Jackson Satellite Facility","102","45","45","49","48","48","48","47","39","43"
"Jefferson Satellite Facility","102","44","43","44","43","45","45","45","42","42"
"Leflore Satellite Facility","102","52","52","53","53","52","51","50","51","51"
"Madison Satellite Facility","102","50","50","49","54","54","54","53","56","56"
"Noxubee Satellite Facility","92","61","61","65","65","65","65","64","62","62"
"Pike Satellite Facility","93","78","78","88","88","86","88","87","88","87"
"Quitman Satellite Facility","93","53","53","55","55","55","55","54","53","53"
"Rankin Satellite Facility","260","176","142","173","183","182","180","179","177","177"
"Simpson Satellite Facility","102","98","98","98","97","97","49","94","94","94"
"Washington Satellite Facility","102","49","49","49","49","49","39","48","49","49"
"Wilkinson Satellite Facility","102","41","41","41","41","40","45","38","39","39"
"Yazoo Satellite Facility","102","45","45","46","45","45","0","44","43","43"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,133","4,276","4,257","4,250","4,256","4,259","4,246","4,252","4,249"
"Alcorn County","300","299","299","298","297","297","298","297","298","298"
"Bolivar County","369","359","359","361","359","361","361","360","359","359"
"Carroll County","280","270","270","268","267","267","265","264","264","263"
"Chickasaw County","300","300","300","300","298","297","300","299","298","297"
"George County","280","271","271","267","269","269","271","270","270","270"
"Holmes County","280","266","266","263","260","260","259","258","260","260"
"Issaquena County","274","260","260","258","257","259","258","257","262","262"
"Jefferson County","280","269","269","267","266","263","268","267","266","266"
"Kemper County","355","341","340","337","337","337","333","332","334","333"
"Leake County","280","256","256","254","255","254","253","252","249","249"
"Marion County","280","278","278","276","268","280","280","279","280","280"
"Stone County","280","279","279","280","280","279","278","277","277","277"
"Washington County","300","132","279","279","278","278","277","276","283","283"
"Winston County","280","270","268","266","269","265","267","267","264","264"
"Yazoo County","300","283","282","283","290","290","291","291","288","288"
"PRIVATE PRISONS","5,972","4,316","4,313","4,302","4,307","4,294","4,293","4,293","4,294","4,290"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,188","1,187","1,190","1,193","1,193","1,190","1,190","1,193","1,193"
"Marshall County","1,000","999","998","994","993","991","1,001","1,001","1,000","1,000"
"Walnut Grove","1,500","1,301","1,300","1,295","1,288","1,278","1,271","1,271","1,251","1,247"
"Wilkinson County","1,000","828","828","823","833","832","831","831","850","850"
"RESTITUTION CENTERS","16","5","5","5","5","5","8","8","8","8"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","1","1","1","1","1","4","4","4","4"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,710","19,590","19,582","19,584","19,553","19,524","19,508","19,475","19,467","19,460"
"","","1-Nov-14","2-Nov-14","3-Nov-14","4-Nov-14","5-Nov-14","6-Nov-14","7-Nov-14","8-Nov-14","9-Nov-14"
