"","","","","","",""
"Location","Capacity","28-Aug-13","29-Aug-13","30-Aug-13","","31-Aug-13 Avg Population"
"Mississippi State Penitentiary","4,648","3,370","3,373","3,367","3,362","3,382"
"Central Mississippi Correctional Facility","3,557","3,313","3,323","3,323","3,321","3,317"
"Youthful Offender Unit","42","35","34","34","34","35"
"South Mississippi Correctional Institution 3,282","","3,233","3,234","3,239","3,233","3,231"
"County Jails","1,872","2,266","2,291","2,310","2,310","2,237"
"COMMUNITY WORK CENTERS","1,848","1,441","1,423","1,417","1,410","1,445"
"Alcorn Satellite Facility","92","89","88","91","91","90"
"Bolivar Satellite Facility","102","66","66","65","65","70"
"Forrest Satellite Facility","96","67","69","72","72","67"
"George Satellite Facility","102","67","67","67","66","69"
"Harrison Satellite Facility","102","90","92","93","93","88"
"Jackson Satellite Facility","102","80","79","77","76","79"
"Jefferson Satellite Facility","102","66","65","63","62","60"
"Leflore Satellite Facility","102","73","73","72","71","72"
"Madison Satellite Facility","102","79","78","73","72","80"
"Noxubee Satellite Facility","92","76","76","76","76","76"
"Pike Satellite Facility","93","92","92","92","91","92"
"Quitman Satellite Facility","93","88","88","88","88","90"
"Rankin Satellite Facility","260","234","222","223","222","231"
"Simpson Satellite Facility","102","98","96","95","95","100"
"Washington Satellite Facility","102","64","63","64","64","70"
"Wilkinson Satellite Facility","102","53","51","49","49","52"
"Yazoo Satellite Facility","102","59","58","57","57","59"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,430","4,434","4,433","4,429","4,425"
"Alcorn County","300","300","300","300","299","298"
"Bolivar County","369","368","370","370","370","368"
"Carroll County","280","278","280","280","280","279"
"Chickasaw County","300","299","300","300","299","300"
"George County","280","280","279","280","278","279"
"Holmes County","280","279","280","280","280","279"
"Issaquena County","274","272","273","274","274","274"
"Jefferson County","280","279","280","277","277","279"
"Kemper County","355","355","355","355","355","355"
"Leake County","280","280","280","280","280","278"
"Marion County","280","281","281","280","280","279"
"Stone County","280","280","280","280","280","280"
"Washington County","300","299","298","300","300","298"
"Winston County","280","280","279","280","280","279"
"Yazoo County","300","300","299","297","297","300"
"PRIVATE PRISONS","5,972","4,389","4,385","4,391","4,383","4,398"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,195","1,192","1,194","1,193","1,195"
"Marshall County","1,000","1,000","996","1,000","998","998"
"Walnut Grove","1,500","1,301","1,303","1,304","1,303","1,310"
"Wilkinson County","1,000","893","894","893","889","896"
"RESTITUTION CENTERS","16","13","11","11","11","13"
"Greenwood","6","4","4","4","4","5"
"Hinds","6","5","3","3","3","4"
"Pascagoula","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0"
"TOTALS","25,681","22,490","22,508","22,525","22,493","22,483"
"","","28-Aug-13","29-Aug-13","30-Aug-13","31-Aug-13",""
