"Location","Capacity","18-Aug-17","19-Aug-17","20-Aug-17","21-Aug-17","22-Aug-17","23-Aug-17","24-Aug-17","25-Aug-17","26-Aug-17","27-Aug-17","28-Aug-17","29-Aug-17","30-Aug-17","31-Aug-17","Avg Population"
"Mississippi State Penitentiary","3,590","3,381","3,382","3,382","3,373","3,392","3,388","3,382","3,370","3,369","3,366","3,375","3,386","3,368","3,362","3,367"
"Central Mississippi Correctional Facility","3,750","3,304","3,304","3,304","3,300","3,296","3,283","3,276","3,259","3,259","3,258","3,286","3,303","3,311","3,328","3,300"
"Youthful Offender Unit","58","32","32","32","32","32","32","32","32","32","32","32","32","32","32","31"
"CMCF TVC","0","28","28","28","27","28","28","28","25","25","25","12","9","10","10","23"
"South Mississippi Correctional Institution","3,082","3,046","3,043","3,043","3,038","3,041","3,036","3,040","3,043","3,043","3,043","3,042","3,041","3,037","3,042","3,041"
"County Jails","1,781","1,258","1,258","1,258","1,310","1,324","1,332","1,300","1,292","1,292","1,292","1,292","1,284","1,289","1,294","1,268"
"COMMUNITY WORK CENTERS","1,188","894","891","893","899","892","905","910","922","922","921","914","908","902","900","902"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","55","55","55","55","55","55","62","63","63","63","63","63","63","63","57"
"George Satellite Facility","102","70","70","70","72","72","72","72","71","71","71","72","72","71","68","72"
"Harrison Satellite Facility","102","58","58","58","59","59","58","57","57","57","57","57","58","59","60","61"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","71","71","71","70","68","77","76","76","76","75","69","67","65","69","71"
"Leflore TVC Support","20","17","17","17","17","17","17","17","20","20","20","20","20","19","19","17"
"Madison Satellite Facility","62","60","60","60","60","62","61","62","62","62","62","62","61","60","60","61"
"Noxubee Satellite Facility","58","47","47","47","51","51","51","51","50","50","50","50","50","50","50","50"
"Pike Satellite Facility","93","75","75","75","78","76","76","76","75","75","75","76","76","78","77","77"
"Quitman Satellite Facility","93","52","50","50","51","51","51","50","51","51","51","51","51","51","49","47"
"Rankin Satellite Facility","178","170","170","170","168","168","168","168","168","168","168","168","168","166","166","169"
"Rankin RID","28","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Flowood TVC","50","10","10","10","10","10","8","7","15","15","15","12","12","11","11","11"
"Simpson TVC","82","71","71","71","70","66","74","73","73","73","73","73","71","70","69","70"
"Simpson TVC Support","20","15","15","17","15","15","15","15","15","15","15","15","15","15","15","16"
"Washington Satellite Facility","60","58","57","57","57","57","57","57","59","59","59","59","59","60","60","59"
"Wilkinson Satellite Facility","62","55","55","55","56","55","55","57","57","57","57","57","55","54","54","55"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,815","3,814","3,812","3,805","3,799","3,801","3,814","3,822","3,820","3,819","3,812","3,804","3,814","3,814","3,821"
"Alcorn County","300","240","240","240","240","240","239","239","240","240","240","240","240","240","239","240"
"Bolivar County","369","293","293","293","292","290","287","293","290","289","289","289","288","292","289","291"
"Carroll County","280","252","251","251","250","250","260","250","250","250","250","251","250","251","251","254"
"Chickasaw County","310","278","278","278","278","278","276","275","275","275","275","274","273","273","273","276"
"George County","280","272","272","272","272","271","271","273","273","273","273","272","272","272","273","271"
"Holmes County","280","224","224","224","224","224","224","223","223","223","223","223","223","224","224","223"
"Issaquena County","274","273","273","272","271","269","268","268","273","273","272","271","271","272","272","272"
"Jefferson County","280","278","278","277","277","277","279","280","279","278","278","276","275","279","276","278"
"Kemper County","355","344","344","344","343","344","344","351","352","352","352","352","352","350","352","350"
"Leake County","280","198","198","198","197","200","198","198","199","199","199","200","200","201","201","198"
"Marion County","280","224","224","224","224","224","223","221","224","224","224","223","223","224","224","223"
"Stone County","326","262","262","262","262","261","262","261","262","262","262","262","262","263","263","262"
"Washington County","300","222","222","222","222","222","222","222","221","221","221","219","217","216","216","226"
"Winston County","280","217","217","217","216","213","213","224","222","222","222","221","221","222","224","221"
"Yazoo County","300","238","238","238","237","236","235","236","239","239","239","239","237","235","237","237"
"PRIVATE PRISONS","5,972","3,087","3,089","3,089","3,087","3,086","3,097","3,119","3,128","3,128","3,128","3,128","3,122","3,122","3,119","3,085"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,201","1,202","1,202","1,202","1,201","1,214","1,222","1,230","1,230","1,230","1,230","1,226","1,226","1,225","1,193"
"Marshall County","1,000","999","999","999","999","999","998","998","1,000","1,000","1,000","1,000","998","1,000","1,000","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","887","888","888","886","886","885","899","898","898","898","898","898","896","894","894"
"RESTITUTION CENTERS","16","11","11","11","11","13","13","13","13","13","13","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5"
"Pascagoula","4","1","1","1","1","3","3","3","3","3","3","3","3","3","3","2"
"TRANSITIONAL HOUSING","164","30","30","30","29","31","32","32","31","31","31","31","31","30","37","26"
"Madison","40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Noxubee","34","26","26","26","25","25","26","26","25","25","25","25","25","24","31","21"
"Rankin/Flowood","8","3","3","3","3","5","5","5","5","5","5","5","5","5","5","4"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,095","18,886","18,882","18,882","18,911","18,934","18,947","18,946","18,937","18,934","18,928","18,937","18,933","18,928","18,951","18,877"
"","","18-Aug-17","19-Aug-17","20-Aug-17","21-Aug-17","22-Aug-17","23-Aug-17","24-Aug-17","25-Aug-17","26-Aug-17","27-Aug-17","28-Aug-17","29-Aug-17","30-Aug-17","31-Aug-17","Avg Population"
