"Location","Capacity","10-Apr-15","11-Apr-15","12-Apr-15","13-Apr-15","14-Apr-15","15-Apr-15","16-Apr-15","17-Apr-15","18-Apr-15"
"Mississippi State Penitentiary","4,648","3,142","3,142","3,142","3,146","3,147","3,152","3,153","3,153","3,152"
"MSP TVC","108","91","91","91","88","96","94","92","91","90"
"Central Mississippi Correctional Facility","3,469","2,341","2,341","2,341","2,380","2,375","2,410","2,437","2,415","2,415"
"Youthful Offender Unit","58","25","25","25","26","26","26","26","24","24"
"CMCF TVC","158","131","131","131","123","127","125","126","123","121"
"South Mississippi Correctional Institution","3,282","2,392","2,391","2,390","2,428","2,440","2,441","2,432","2,434","2,436"
"SMCI TVC","0","86","85","84","95","97","97","93","90","89"
"County Jails","1,995","1,549","1,548","1,547","1,484","1,463","1,473","1,447","1,464","1,464"
"COMMUNITY WORK CENTERS","1,848","1,047","1,044","1,041","1,032","1,025","1,016","1,025","1,014","1,011"
"Alcorn Satellite Facility","92","57","57","57","52","51","51","51","51","51"
"Bolivar Satellite Facility","102","45","45","45","46","46","45","45","45","45"
"Forrest Satellite Facility","96","49","49","49","48","49","49","51","48","48"
"George Satellite Facility","102","60","60","60","58","59","58","57","58","58"
"Harrison Satellite Facility","102","41","41","41","39","37","37","42","42","42"
"Jackson Satellite Facility","102","53","53","53","52","52","52","49","49","48"
"Jefferson Satellite Facility","102","42","42","42","44","48","48","48","45","45"
"Leflore Satellite Facility","102","41","41","41","43","44","44","43","43","43"
"Madison Satellite Facility","102","47","47","47","42","43","42","42","42","42"
"Noxubee Satellite Facility","92","57","57","57","61","60","60","62","61","61"
"Pike Satellite Facility","93","85","85","85","86","84","82","83","81","81"
"Quitman Satellite Facility","93","60","60","60","58","57","53","52","52","51"
"Rankin Satellite Facility","260","178","178","178","180","180","180","181","178","178"
"Simpson Satellite Facility","102","93","93","93","84","83","83","87","88","88"
"Washington Satellite Facility","102","46","45","44","43","40","39","39","38","38"
"Wilkinson Satellite Facility","102","48","47","46","52","50","50","50","50","50"
"Yazoo Satellite Facility","102","45","44","43","44","42","43","43","43","42"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,193","4,190","4,186","4,181","4,173","4,182","4,186","4,186","4,184"
"Alcorn County","300","299","299","299","300","300","300","299","298","298"
"Bolivar County","369","351","351","351","357","359","357","356","352","352"
"Carroll County","280","275","275","275","275","275","274","274","273","272"
"Chickasaw County","300","296","296","296","300","299","298","298","300","299"
"George County","280","259","259","259","254","259","261","262","263","263"
"Holmes County","280","275","275","275","263","262","267","266","264","264"
"Issaquena County","274","257","257","257","252","252","251","251","257","257"
"Jefferson County","280","261","261","261","260","262","264","259","259","259"
"Kemper County","355","335","335","335","331","320","320","322","318","318"
"Leake County","280","254","254","254","253","253","255","256","264","264"
"Marion County","280","270","270","270","267","267","267","270","269","269"
"Stone County","280","276","276","275","275","273","274","277","277","277"
"Washington County","300","247","246","245","245","245","245","248","248","248"
"Winston County","280","256","255","254","260","260","263","262","259","259"
"Yazoo County","300","282","281","280","289","287","286","286","285","285"
"PRIVATE PRISONS","5,972","4,007","4,007","4,004","3,986","3,989","3,982","3,980","3,984","3,985"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,151","1,151","1,151","1,148","1,149","1,144","1,141","1,141","1,141"
"Marshall County","1,000","988","988","987","994","999","998","998","997","998"
"Walnut Grove","1,500","964","964","963","953","950","950","948","954","954"
"Wilkinson County","1,000","904","904","903","891","891","890","893","892","892"
"RESTITUTION CENTERS","16","6","6","7","9","10","10","10","9","9"
"Greenwood","6","2","2","2","4","5","5","5","4","4"
"Hinds","6","2","2","2","3","3","3","3","3","3"
"Pascagoula","4","2","2","3","2","2","2","2","2","2"
"TOTALS","25,726","19,010","19,001","18,989","18,978","18,968","19,008","19,007","18,987","18,980"
